Artist,Title,Album,Air Time,Duration,Letter,First Word,Year
Patsy Cline,She's Got You,Greatest Hits,2023-12-09 17:06:54,2,S,She's,1962
Lucinda Williams,Right In Time,Car Wheels On A Gravel Road,2023-12-09 17:09:49,4,R,Right,1998
Lucinda Williams,Joy,Car Wheels On A Gravel Road,2023-12-09 17:14:29,3,J,Joy,1998
Japanese Breakfast,Paprika,Jubilee,2023-12-09 17:18:27,4,P,Paprika,2021
X-Ray Spex,Oh Bondage Up Yours!,Germfree Adolescents,2023-12-09 17:23:11,2,O,Oh,1977
Joni Mitchell,Hejira,Hejira,2023-12-09 17:25:56,6,H,Hejira,1976
Lauryn Hill,Ex-Factor,The Miseducation Of Lauryn Hill,2023-12-09 17:32:36,6,E,Ex-Factor,1998
TLC,Waterfalls,CrazySexyCool,2023-12-09 17:38:47,4,W,Waterfalls,1995
Liz Phair,Supernova,Whip-Smart,2023-12-09 17:43:04,2,S,Supernova,1994
Janis Joplin,Get It While You Can,Pearl,2023-12-09 17:45:50,4,G,Get,1971
'Til Tuesday,Voices Carry,Voices Carry,2023-12-09 17:50:06,4,V,Voices,1985
Blondie,Hanging On The Telephone,Parallel Lines,2023-12-09 17:54:20,2,H,Hanging,1978
Lisa Loeb,Stay (I Missed You),Tails,2023-12-09 17:56:36,3,S,Stay,1994
Nina Simone,I Wish I Knew How It Would Feel To Be Free,Silk & Soul,2023-12-10 11:00:33,5,I,I,1991
Nina Simone,Strange Fruit,Pastel Blues,2023-12-10 11:05:49,3,S,Strange,1965
Ani DiFranco,Both Hands,Ani DiFranco,2023-12-10 11:09:12,3,B,Both,1990
Madonna,Like A Virgin,Like A Virgin,2023-12-10 11:12:48,3,L,Like,1984
Melanie,Lay Down (Candles In The Rain),Candles in the Rain,2023-12-10 11:16:22,5,L,Lay,1982
Madonna,Express Yourself,Like A Prayer,2023-12-10 11:21:39,4,E,Express,1989
The Carpenters,"We've Only Just Begun
",Close To You,2023-12-10 11:26:00,3,W,We've,1992
Cyndi Lauper,All Through The Night,She's So Unusual,2023-12-10 11:29:15,5,A,All,1983
Iris Dement,Our Town,Infamous Angel,2023-12-10 11:35:09,5,O,Our,1992
Carly Simon,Nobody Does It Better,The Spy Who Loved Me,2023-12-10 11:40:11,3,N,Nobody,1971
Bonnie Tyler,Total Eclipse of the Heart,Faster Than The Speed of Light,2023-12-10 11:43:33,5,T,Total,1983
Madonna,Holiday,Madonna,2023-12-10 11:49:20,3,H,Holiday,1983
Sheryl Crow,Strong Enough,Tuesday Night Music Club,2023-12-10 11:53:11,3,S,Strong,1994
First Aid Kit,Emmylou,The Lion's Roar,2023-12-10 11:56:19,4,E,Emmylou,2012
Taylor Swift,Shake it Off,1989 (Taylor's Version),2023-12-10 12:00:22,5,S,Shake,2013
Melissa Etheridge,Like The Way I Do,Melissa Etheridge,2023-12-10 12:05:41,5,L,Like,1988
Bonnie Raitt,Give It Up Or Let Me Go,Give It Up,2023-12-10 12:10:58,5,G,Give,1972
"Joan Armatrading
",Willow,Show Some Emotion,2023-12-10 12:16:30,3,W,Willow,1977
Whitney Houston,Greatest Love Of All,Whitney Houston,2023-12-10 12:19:56,6,G,Greatest,1985
Siouxsie & The Banshees,Cities In Dust,Tinderbox,2023-12-10 12:26:21,3,C,Cities,1985
Beyoncé,Formation,Lemonade,2023-12-10 12:30:08,3,F,Formation,2016
M. I. A.,Paper Planes,Kala,2023-12-10 12:33:42,3,P,Paper,2007
Lady Gaga,Born This Way,Born THis Way,2023-12-10 12:37:04,6,B,Born,2011
Björk,Army Of Me,Post,2023-12-10 12:43:45,4,A,Army,1995
Natalie Merchant,Carnival,Tigerlily,2023-12-10 12:47:48,5,C,Carnival,1995
Peggy Lee,Fever,The Best Of Miss Peggy Lee,2023-12-10 12:53:38,2,F,Fever,1961
Brandi Carlile,The Eye,The Firewatcher's Daughter,2023-12-10 12:56:30,3,T,The,2014
Alison Krauss & Union Station,When You Say Nothing At All,Keith Whitley: A Tribute Album,2023-12-10 13:00:29,5,W,When,1994
Shawn Colvin,Shotgun Down The Avalanche,Steady On,2023-12-10 13:06:02,4,S,Shotgun,1989
Pat Benatar,We Belong,Tropico,2023-12-10 13:10:43,3,W,We,1992
Darlene Love,Christmas (Baby Please Come Home),A Christmas Gift for You from Philles Records,2023-12-10 13:14:15,2,C,Christmas,1963
ABBA,Dancing Queen,Arrival,2023-12-10 13:16:48,5,D,Dancing,1978
The Pretenders,Kid,Pretenders,2023-12-10 13:21:54,2,K,Kid,1987
Yaz,Only You,Upstairs At Eric's,2023-12-10 13:24:47,3,O,Only,2017
Whitney Houston,I Have Nothing,The Bodyguard (soundtrack From The Motion Picture),2023-12-10 13:27:57,6,I,I,1992
Dolly Parton,Here You Come Again,Here You Come Again,2023-12-10 13:34:10,4,H,Here,1977
Stan Getz & Joao Gilberto,The Girl From Ipanema (feat. Astrud Gilberto and Antonio Carlos Jobim),Getz / Gilberto,2023-12-10 13:38:10,1,T,The,1964
The Pretenders,Tattooed Love Boys,Pretenders,2023-12-10 13:39:45,4,T,Tattooed,2006
Petula Clark,Downtown,DOWNTOWN,2023-12-10 13:44:07,3,D,Downtown,1988
Sinéad O'Connor,Black Boys On Mopeds,I Do Not Want What I Haven't Got,2023-12-10 13:47:08,3,B,Black,1990
DNA & Suzanne Vega,Tom's Diner (remix),Tom's Album,2023-12-10 13:51:02,3,T,Tom's,1987
Indigo Girls,Least Complicated,Swamp Ophelia,2023-12-10 13:54:40,4,L,Least,1994
Hole,Violet,Live Through This,2023-12-10 13:59:03,4,V,Violet,1994
Liz Phair,Divorce Song,Exile In Guyville,2023-12-10 14:04:02,3,D,Divorce,1991
Patsy Cline,I Fall To Pieces,The Patsy Cline Story,2023-12-10 14:07:17,2,I,I,1987
Laurie Anderson,O Superman,Big Science,2023-12-10 14:10:08,8,O,O,1981
Phoebe Snow,Poetry Man,PHOEBE SNOW,2023-12-10 14:18:16,5,P,Poetry,1974
Renaissance,Carpet Of The Sun,Ashes Are Burning,2023-12-10 14:24:06,3,C,Carpet,1973
Eva Cassidy,Fields Of Gold,Songbird,2023-12-10 14:27:36,4,F,Fields,1996
Rosanne Cash,Seven Year Ache,Seven Year Ache,2023-12-10 14:32:20,5,S,Seven,1981
Fiona Apple,Paper Bag,When The Pawn...,2023-12-10 14:37:25,3,P,Paper,1999
Tracy Chapman,Talkin' Bout A Revolution,Tracy Chapman,2023-12-10 14:41:06,2,T,Talkin',1988
Corinne Bailey Rae,Put Your Records On,Corinne Bailey Rae,2023-12-10 14:43:32,4,P,Put,2006
Melissa Etheridge,Come To My Window,Yes I Am,2023-12-10 14:48:25,3,C,Come,1993
Bette Midler,The Rose,The Rose (soundtrack),2023-12-10 14:52:11,3,T,The,1987
Fleetwood Mac,Gypsy,Mirage,2023-12-10 14:55:45,4,G,Gypsy,1982
No Doubt,Just A Girl,Tragic Kingdom,2023-12-11 08:01:34,3,J,Just,1995
Tori Amos,Winter,Little Earthquakes,2023-12-11 08:04:55,8,W,Winter,1991
Ella Fitzgerald,Someone to Watch Over Me,Ella Fitzgerald Sings the George and Ira Gershwin Song Book,2023-12-11 08:13:25,4,S,Someone,1950
Sade,No Ordinary Love,Love Deluxe,2023-12-11 08:17:54,4,N,No,1993
Linda Ronstadt,Desperado,Don't Cry Now,2023-12-11 08:22:33,6,D,Desperado,1973
Emmylou Harris,Wrecking Ball,Wrecking Ball,2023-12-11 08:28:44,4,W,Wrecking,1995
Blondie,One Way Or Another,Parallel Lines,2023-12-11 08:33:24,3,O,One,1978
The Highwomen,Crowded Table,The Highwomen,2023-12-11 08:36:57,5,C,Crowded,2019
Ella Fitzgerald,Mack The Knife,Ella: The Lost Berlin Tapes (Live),2023-12-11 08:42:22,3,M,Mack,1990
Lucinda Williams,Can't Let Go,Car Wheels On A Gravel Road,2023-12-11 08:45:53,3,C,Can't,1998
Stevie Nicks,Stand Back,The Wild Heart,2023-12-11 08:49:20,10,S,Stand,1983
Janet Jackson,Rhythm Nation,Janet Jackson's Rhythm Nation 1814,2023-12-11 08:59:30,3,R,Rhythm,1989
Rufus & Chaka Khan,Ain't Nobody,Stompin' At The Savoy,2023-12-11 09:02:57,6,A,Ain't,1996
"10,000 Maniacs",Because the Night (Live),"MTV Unplugged: 10,000 Maniacs",2023-12-11 09:09:05,3,B,Because,1993
