Artist,Title,Air Time_x,Play,Year,Letter,First Word,Duration,Air Time_y
Muddy Waters,Crosseyed Cat,2017-12-01 11:22:00,0,1977,C,Crosseyed,6,2016-12-02 21:24:00
Nick Lowe,Cruel To Be Kind,2017-12-01 11:37:00,0,1979,C,Cruel,3,2016-12-02 22:00:00
Janis Joplin,Cry Baby,2017-12-01 12:39:00,0,1971,C,Cry,4,2016-12-02 22:18:00
Joe Cocker,Cry Me A River,2017-12-01 12:48:00,0,1970,C,Cry,5,2016-12-02 22:33:00
Nils Lofgren,Cry Tough,2017-12-01 12:53:00,0,1976,C,Cry,6,2016-12-02 22:37:00
Grateful Dead,Cumberland Blues,2017-12-01 13:17:00,0,1970,C,Cumberland,3,2016-12-02 23:00:00
Led Zeppelin,Custard Pie,2017-12-01 13:20:00,0,1975,C,Custard,7,2016-12-02 23:03:00
Rod Stewart,Cut Across Shorty,2017-12-01 13:27:00,0,1970,C,Cut,6,2016-12-02 23:10:00
The Who,Cut My Hair,2017-12-01 13:33:00,0,1979,C,Cut,4,2016-12-02 23:16:00
Average White Band,Cut The Cake,2017-12-01 13:37:00,0,1975,C,Cut,8,2016-12-02 23:20:00
Peter Gabriel,D.I.Y.,2017-12-01 13:45:00,0,1978,D,D,6,2016-12-02 23:30:00
Led Zeppelin,D'yer Mak'er,2017-12-01 14:00:00,0,1973,D,D'yer,5,2016-12-03 18:25:00
Gang Of Four,Damaged Goods,2017-12-01 14:14:00,0,1979,D,Damaged,4,2016-12-02 23:46:00
Roxy Music,Dance Away,2017-12-01 14:18:00,0,1979,D,Dance,3,2016-12-03 00:00:00
The Rolling Stones,Dance Little Sister,2017-12-01 14:21:00,0,1974,D,Dance,5,2016-12-03 00:07:00
Santana,Dance Sister Dance,2017-12-01 14:32:00,0,1976,D,Dance,8,2016-12-03 00:16:00
Frank Zappa,Dancin' Fool,2017-12-01 14:48:00,0,1979,D,Dancin',4,2016-12-03 00:34:00
Grateful Dead,Dancin' In The Streets,2017-12-01 14:52:00,0,1977,D,Dancin',4,2016-12-03 00:39:00
Patti Smith,Dancing Barefoot,2017-12-01 14:56:00,0,1979,D,Dancing,5,2016-12-03 00:47:00
Led Zeppelin,Dancing Days,2017-12-01 15:01:00,0,1973,D,Dancing,4,2016-12-03 00:51:00
King Harvest,Dancing In The Moonlight,2017-12-01 15:05:00,0,1973,D,Dancing,2,2016-12-03 00:59:00
Thin Lizzy,Dancing In The Moonlight,2017-12-01 15:07:00,0,1977,D,Dancing,6,2016-12-03 01:02:00
Abba,Dancing Queen,2017-12-01 15:19:00,0,1976,D,Dancing,4,2016-12-03 01:08:00
The Rolling Stones,Dancing With Mr. D,2017-12-01 15:23:00,0,1973,D,Dancing,7,2016-12-03 01:13:00
David Bromberg,Danger Man,2017-12-01 15:38:00,0,1974,D,Danger,3,2016-12-03 01:25:00
Elton John,Daniel,2017-12-01 15:45:00,0,1973,D,Daniel,4,2016-12-03 01:32:00
George Harrison,Dark Horse,2017-12-01 16:01:00,0,1974,D,Dark,5,2016-12-03 01:41:00
Crosby Stills & Nash,Dark Star,2017-12-01 16:12:00,0,1977,D,Dark,4,2016-12-03 01:51:00
Bruce Springsteen,Darkness On The Edge Of Town,2017-12-01 16:16:00,0,1978,D,Darkness,5,2016-12-03 02:04:00
Badfinger,Day After Day,2017-12-01 16:29:00,0,1971,D,Day,3,2016-12-03 02:32:00
Robin Trower,Day Of The Eagle,2017-12-01 16:40:00,0,1974,D,Day,5,2016-12-03 02:36:00
Little Feat,Day Or Night,2017-12-01 16:45:00,0,1975,D,Day,7,2016-12-03 02:41:00
Steely Dan,Deacon Blues,2017-12-01 17:05:00,0,1977,D,Deacon,9,2016-12-03 03:11:00
The Rolling Stones,Dead Flowers,2017-12-01 17:21:00,0,1971,D,Dead,6,2016-12-03 03:19:00
Loudon Wainwright III,Dead Skunk,2017-12-01 17:27:00,0,1972,D,Dead,3,2016-12-03 03:29:00
Jerry Garcia,Deal,2017-12-01 17:30:00,0,1972,D,Deal,3,2016-12-03 03:32:00
The Clash,Death or Glory,2017-12-01 18:11:00,0,1979,D,Death,4,2016-12-03 04:05:00
Crosby Stills Nash & Young,Deja Vu,2017-12-01 18:34:00,0,1970,D,Deja,4,2016-12-03 04:30:00
Leon Russell,Delta Lady,2017-12-01 18:41:00,0,1970,D,Delta,4,2016-12-03 04:43:00
The Eagles,Desperado,2017-12-01 18:52:00,0,1973,D,Desperado,4,2016-12-03 05:11:00
Warren Zevon,Desperados Under The Eaves,2017-12-01 18:56:00,0,1976,D,Desperados,4,2016-12-03 05:14:00
The J. Geils Band,Detroit Breakdown,2017-12-01 19:12:00,0,1974,D,Detroit,6,2016-12-03 05:30:00
David Bowie,Diamond Dogs,2017-12-01 19:28:00,0,1974,D,Diamond,6,2016-12-03 05:49:00
Joan Baez,Diamonds And Rust,2017-12-01 19:38:00,0,1975,D,Diamonds,6,2016-12-03 05:55:00
The Beatles,Dig A Pony,2017-12-01 20:00:00,0,1970,D,Dig,4,2016-12-03 06:31:00
Boz Scaggs,Dinah Flo,2017-12-01 20:10:00,0,1972,D,Dinah,5,2016-12-03 06:42:00
Frank Zappa,Dirty Love,2017-12-01 20:42:00,0,1973,D,Dirty,2,2016-12-03 06:50:00
The Inmates,Dirty Water,2017-12-01 20:44:00,0,1979,D,Dirty,3,2016-12-03 06:58:00
Steely Dan,Dirty Work,2017-12-01 20:47:00,0,1972,D,Dirty,4,2016-12-03 07:04:00
The Beach Boys,Disney Girls (1957),2017-12-01 21:13:00,0,1971,D,Disney,4,2016-12-03 07:13:00
Little Feat,Dixie Chicken,2017-12-01 21:21:00,0,1973,D,Dixie,4,2016-12-03 07:35:00
Eddie & The Hot Rods,Do Anything You Wanna Do,2017-12-01 21:28:00,0,1977,D,Do,4,2016-12-03 07:49:00
B. T. Express,Do It ('til Your Satisfied),2017-12-01 21:38:00,0,1974,D,Do,3,2016-12-03 07:58:00
Steely Dan,Do It Again,2017-12-01 21:41:00,0,1972,D,Do,6,2016-12-03 08:02:00
Howlin' Wolf,Do The Do,2017-12-01 22:00:00,0,1971,D,Do,2,2016-12-03 08:15:00
Electric Light Orchestra,Do Ya,2017-12-01 22:09:00,0,1976,D,Do,4,2016-12-03 08:19:00
Lee Michaels,Do You Know What I Mean,2017-12-01 22:38:00,0,1971,D,Do,3,2016-12-03 08:32:00
The Ramones,Do You Wanna Dance?,2017-12-01 22:44:00,0,1977,D,Do,2,2016-12-03 08:47:00
Jackson Browne,Doctor My Eyes,2017-12-01 22:49:00,0,1972,D,Doctor,5,2016-12-03 08:54:00
Steely Dan,Doctor Wu,2017-12-01 22:54:00,0,1975,D,Doctor,4,2016-12-03 08:59:00
Bruce Springsteen,Does This Bus Stop At 82nd Street,2017-12-01 22:58:00,0,1972,D,Does,2,2016-12-03 09:14:00
Pink Floyd,Dogs,2017-12-01 23:00:00,0,1977,D,Dogs,17,2016-12-03 09:21:00
James Brown,Doing It To Death,2017-12-01 23:17:00,0,1973,D,Doing,11,2016-12-03 09:52:00
Van Morrison,Domino,2017-12-01 23:28:00,0,1970,D,Domino,3,2016-12-03 09:48:00
Neil Young,Don't Be Denied,2017-12-01 23:46:00,0,1973,D,Don't,6,2016-12-03 10:03:00
Electric Light Orchestra,Don't Bring Me Down,2017-12-01 23:52:00,0,1979,D,Don't,8,2016-12-03 10:24:00
Neil Young,Don't Cry No Tears,2017-12-02 00:03:00,0,1975,D,Don't,2,2016-12-03 10:51:00
The Band,Don't Do It,2017-12-02 00:05:00,0,1972,D,Don't,5,2016-12-03 10:55:00
Tom Petty & The Heartbreakers,Don't Do Me Like That,2017-12-02 00:10:00,0,1979,D,Don't,3,2016-12-03 11:00:00
Joni Mitchell,Don't Interrupt The Sorrow,2017-12-02 00:26:00,0,1975,D,Don't,4,2016-12-03 11:42:00
Neil Young,Don't Let It Bring You Down,2017-12-02 01:00:00,0,1970,D,Don't,3,2016-12-03 11:57:00
James Taylor,Don't Let Me Be Lonely Tonight,2017-12-02 01:03:00,0,1976,D,Don't,3,2016-12-03 12:00:00
Boston,Don't Look Back,2017-12-02 01:19:00,0,1978,D,Don't,6,2016-12-03 12:13:00
Peter Tosh,Don't Look Back,2017-12-02 01:25:00,0,1978,D,Don't,3,2016-12-03 12:19:00
Ry Cooder,Don't Mess Up A Good Thing,2017-12-02 01:28:00,0,1979,D,Don't,4,2016-12-03 12:28:00
Fleetwood Mac,Don't Stop,2017-12-02 01:42:00,0,1977,D,Don't,4,2016-12-03 12:45:00
Steely Dan,Don't Take Me Alive,2017-12-02 01:56:00,0,1976,D,Don't,4,2016-12-03 13:04:00
Stevie Wonder,Don't You Worry Bout A Thing,2017-12-02 02:19:00,0,1973,D,Don't,5,2016-12-03 14:01:00
The Rolling Stones,Doo Doo Doo Doo Doo (Heartbreaker),2017-12-02 02:24:00,0,1973,D,Doo,4,2016-12-03 14:06:00
Led Zeppelin,Down By The Seaside,2017-12-02 02:52:00,0,1975,D,Down,5,2016-12-03 14:27:00
Bob Dylan,Down In The Flood,2017-12-02 03:00:00,0,1975,D,Down,3,2016-12-03 14:47:00
The Stooges,Down On The Street,2017-12-02 03:07:00,0,1970,D,Down,5,2016-12-03 14:56:00
Little Feat,Down The Road,2017-12-02 03:12:00,0,1979,D,Down,3,2016-12-03 15:00:00
Dire Straits,Down To The Waterline,2017-12-02 03:18:00,0,1978,D,Down,3,2016-12-03 15:04:00
Joni Mitchell,Down To You,2017-12-02 03:21:00,0,1974,D,Down,6,2016-12-03 15:08:00
Richard & Linda Thompson,Down Where The Drunkards Roll,2017-12-02 03:27:00,0,1974,D,Down,4,2016-12-03 15:20:00
Tommy James & The Shondells,Draggin' The Line,2017-12-02 03:44:00,0,1970,D,Draggin',3,2016-12-03 15:37:00
10cc,Dreadlock Holiday,2017-12-02 03:50:00,0,1978,D,Dreadlock,6,2016-12-03 15:45:00
Suicide,Dream Baby Dream,2017-12-02 03:56:00,0,1979,D,Dream,6,2016-12-03 15:54:00
Aerosmith,Dream On,2017-12-02 04:02:00,0,1973,D,Dream,5,2016-12-03 16:00:00
Supertramp,Dreamer,2017-12-02 04:11:00,0,1974,D,Dreamer,4,2016-12-03 16:11:00
Blondie,Dreaming,2017-12-02 04:20:00,0,1979,D,Dreaming,3,2016-12-03 16:19:00
Fleetwood Mac,Dreams,2017-12-02 04:23:00,0,1977,D,Dreams,4,2016-12-03 16:43:00
Dobie Gray,Drift Away,2017-12-02 04:34:00,0,1973,D,Drift,5,2016-12-03 16:49:00
Neil Young,Drive Back,2017-12-02 04:39:00,0,1975,D,Drive,3,2016-12-03 17:05:00
David Bowie,Drive-in Saturday,2017-12-02 04:42:00,0,1973,D,Drive-in,5,2016-12-03 17:18:00
Sniff N The Tears,Driver's Seat,2017-12-02 04:47:00,0,1978,D,Driver's,3,2016-12-03 17:28:00
Paul Simon,Duncan,2017-12-02 05:15:00,0,1972,D,Duncan,5,2016-12-03 18:04:00
Emmylou Harris,Easy From Now On,2017-12-02 05:50:00,0,1978,E,Easy,4,2016-12-03 18:50:00
Eric Clapton,Easy Now,2017-12-02 06:01:00,0,1970,E,Easy,2,2016-12-03 18:54:00
Hot Tuna,Easy Now,2017-12-02 06:03:00,0,1974,E,Easy,7,2016-12-03 18:57:00
Bob Marley & The Wailers,Easy Skanking,2017-12-02 06:10:00,0,1978,E,Easy,2,2016-12-03 19:10:00
Little Feat,Easy To Slip,2017-12-02 06:12:00,0,1972,E,Easy,4,2016-12-03 19:17:00
Joni Mitchell,Edith And The Kingpin,2017-12-02 07:08:00,0,1975,E,Edith,3,2016-12-03 19:41:00
Simon & Garfunkel,El Condor Pasa (If I Could),2017-12-02 07:21:00,0,1970,E,El,3,2016-12-03 19:53:00
Elton John,Elderberry Wine,2017-12-02 07:28:00,0,1973,E,Elderberry,4,2016-12-03 19:56:00
Alice Cooper,Elected,2017-12-02 07:32:00,0,1973,E,Elected,5,2016-12-03 20:06:00
Genesis,Eleventh Earl Of Mar,2017-12-02 07:37:00,0,1976,E,Eleventh,7,2016-12-03 20:32:00
Traffic,Empty Pages,2017-12-02 08:01:00,0,1970,E,Empty,4,2016-12-03 21:09:00
Grateful Dead,Estimated Prophet,2017-12-02 08:29:00,0,1977,E,Estimated,6,2016-12-03 21:54:00
Tom Petty & The Heartbreakers,Even The Losers,2017-12-02 08:45:00,0,1979,E,Even,4,2016-12-03 22:03:00
The Buzzcocks,Ever Fallen In Love?,2017-12-02 08:49:00,0,1978,E,Ever,2,2016-12-03 22:22:00
Robert Palmer,Every Kind Of People,2017-12-02 09:04:00,0,1978,E,Every,4,2016-12-03 22:35:00
Paul McCartney,Every Night,2017-12-02 09:08:00,0,1970,E,Every,3,2016-12-03 22:57:00
Rod Stewart,Every Picture Tells A Story,2017-12-02 09:11:00,0,1971,E,Every,6,2016-12-03 23:02:00
Roy Ayers,Everybody Loves The Sunshine,2017-12-02 09:29:00,0,1976,E,Everybody,3,2016-12-03 23:44:00
The Main Ingredient,Everybody Plays The Fool,2017-12-02 09:32:00,0,1972,E,Everybody,4,2016-12-03 23:47:00
The Kinks,Everybody's A Star,2017-12-02 09:36:00,0,1975,E,Everybody's,5,2016-12-03 23:56:00
Santana,Everybody's Everything,2017-12-02 09:41:00,0,0,E,Everybody's,3,2016-12-04 00:03:00
The Buzzcocks,Everybody's Happy Nowadays,2017-12-02 09:44:00,0,1979,E,Everybody's,3,2016-12-04 00:14:00
Steely Dan,Everyone's Gone To The Movies,2017-12-02 09:51:00,0,1975,E,Everyone's,5,2016-12-04 00:44:00
Electric Light Orchestra,Evil Woman,2017-12-02 10:15:00,0,1975,E,Evil,4,2016-12-04 01:39:00
Warren Zevon,Excitable Boy,2017-12-02 10:22:00,0,1978,E,Excitable,3,2016-12-04 01:48:00
Bob Marley & The Wailers,Exodus,2017-12-02 10:25:00,0,1977,E,Exodus,7,2016-12-04 01:52:00
Charles Wright & The Watts 103rd Street Rhythm Band,Express Yourself,2017-12-02 10:44:00,0,1970,E,Express,4,2016-12-04 01:59:00
Grateful Dead,Eyes Of The World,2017-12-02 10:48:00,0,1973,E,Eyes,6,2016-12-04 02:21:00
Hall & Oates,Fall In Philadelphia,2017-12-02 11:17:00,0,1972,F,Fall,4,2016-12-04 03:13:00
David Bowie,Fame,2017-12-02 11:34:00,0,1975,F,Fame,6,2016-12-04 03:33:00
Sly & The Family Stone,Family Affair,2017-12-02 11:40:00,0,1971,F,Family,3,2016-12-04 03:38:00
The Rolling Stones,Far Away Eyes,2017-12-02 12:05:00,0,1978,F,Far,5,2016-12-04 03:41:00
David Bowie,Fascination,2017-12-02 12:16:00,0,1975,F,Fascination,6,2016-12-04 03:54:00
Jefferson Starship,Fast Buck Freddie,2017-12-02 12:22:00,0,1975,F,Fast,4,2016-12-04 04:08:00
Little Feat,Fat Man In The Bathtub,2017-12-02 12:26:00,0,1973,F,Fat,4,2016-12-04 04:18:00
Little Feat,Feats Don't Fail Me Now,2017-12-02 12:51:00,0,1979,F,Feats,5,2016-12-04 04:34:00
Joe Cocker,Feelin' Alright,2017-12-02 13:13:00,0,1970,F,Feelin',5,2016-12-04 04:50:00
Ohio Players,Fire,2017-12-02 14:12:00,0,1974,F,Fire,5,2016-12-04 06:12:00
Electric Light Orchestra,Fire On High,2017-12-02 14:36:00,0,1975,F,Fire,6,2016-12-04 06:25:00
Grateful Dead,Fire On The Mountain,2017-12-02 14:42:00,0,1978,F,Fire,4,2016-12-04 06:38:00
John Prine,Fish And Whistle,2017-12-02 15:03:00,0,1978,F,Fish,3,2016-12-04 06:54:00
David Bowie,Five Years,2017-12-02 15:15:00,0,1972,F,Five,5,2016-12-04 07:15:00
Parliament,Flashlight,2017-12-02 15:23:00,0,1977,F,Flashlight,7,2016-12-04 07:31:00
Silver Convention,Fly Robin Fly,2017-12-02 15:55:00,0,1975,F,Fly,6,2016-12-04 07:50:00
Genesis,Follow You Follow Me,2017-12-02 16:27:00,0,1978,F,Follow,4,2016-12-04 08:07:00
The Rolling Stones,Fool To Cry,2017-12-02 16:42:00,0,1976,F,Fool,5,2016-12-04 08:18:00
Tom Petty & The Heartbreakers,Fooled Again (I Don't Like It),2017-12-02 16:51:00,0,1976,F,Fooled,5,2016-12-04 08:24:00
Grand Funk Railroad,Footstompin' Music,2017-12-02 17:05:00,0,1971,F,Footstompin',6,2016-12-04 08:40:00
Jackson Browne,For A Dancer,2017-12-02 17:15:00,0,1974,F,For,4,2016-12-04 08:44:00
Jackson Browne,For Everyman,2017-12-02 17:19:00,0,1973,F,For,8,2016-12-04 08:49:00
The O'Jays,For The Love Of Money,2017-12-02 17:30:00,0,1973,F,For,4,2016-12-04 09:07:00
Neil Young,For The Turnstiles,2017-12-02 17:48:00,0,1974,F,For,3,2016-12-04 09:12:00
Bruce Springsteen,For You,2017-12-02 17:51:00,0,1972,F,For,6,2016-12-04 09:18:00
The Beatles,For You Blue,2017-12-02 18:01:00,0,1970,F,For,2,2016-12-04 09:22:00
Led Zeppelin,For Your Life,2017-12-02 18:03:00,0,1976,F,For,7,2016-12-04 09:26:00
Bob Dylan,Forever Young,2017-12-02 18:20:00,0,1974,F,Forever,5,2016-12-04 09:52:00
Jackson Browne,Fountain Of Sorrow,2017-12-02 18:25:00,0,1974,F,Fountain,7,2016-12-04 10:16:00
Led Zeppelin,Four Sticks,2017-12-02 18:32:00,0,1971,F,Four,5,2016-12-04 10:23:00
Edgar Winter Group,Frankenstein,2017-12-02 18:56:00,0,1972,F,Frankenstein,5,2016-12-04 10:50:00
Curtis Mayfield,Freddie's Dead,2017-12-02 19:12:00,0,1972,F,Freddie's,5,2016-12-04 11:00:00
Joni Mitchell,Free Man In Paris,2017-12-02 19:34:00,0,1974,F,Free,3,2016-12-04 11:25:00
Jeff Beck,Freeway Jam,2017-12-02 19:48:00,0,1975,F,Freeway,7,2016-12-04 12:01:00
Quicksilver Messenger Service,Fresh Air,2017-12-02 20:00:00,0,1970,F,Fresh,6,2016-12-04 12:06:00
Grateful Dead,Friend Of The Devil,2017-12-02 20:12:00,0,1970,F,Friend,3,2016-12-04 12:27:00
Led Zeppelin,Friends,2017-12-02 20:15:00,0,1970,F,Friends,4,2016-12-04 12:30:00
Emerson Lake & Palmer,From The Beginning,2017-12-02 20:34:00,0,1972,F,From,3,2016-12-04 13:01:00
Elton John,Funeral For A Friend/Love Lies Bleeding,2017-12-02 21:10:00,0,1973,F,Funeral,10,2016-12-04 13:13:00
James Gang,Funk #49,2017-12-02 21:20:00,0,1970,F,Funk,4,2016-12-04 13:24:00
James Brown,Funky Drummer,2017-12-02 21:45:00,0,1970,F,Funky,10,2016-12-04 13:35:00
Toots & The Maytals,Funky Kingston,2017-12-02 21:55:00,0,1973,F,Funky,5,2016-12-04 13:43:00
The Beginning Of The End,Funky Nassau,2017-12-02 22:10:00,0,1971,F,Funky,3,2016-12-04 13:48:00
James Brown,Funky President,2017-12-02 22:13:00,0,1974,F,Funky,4,2016-12-04 13:51:00
The Beach Boys,Funky Pretty,2017-12-02 22:17:00,0,1973,F,Funky,4,2016-12-04 13:56:00
Kool & The Gang,Funky Stuff,2017-12-02 22:21:00,0,1973,F,Funky,4,2016-12-04 14:01:00
The Spinners,Games People Play,2017-12-02 23:00:00,0,1975,G,Games,7,2016-12-04 14:21:00
Rod Stewart,Gasoline Alley,2017-12-02 23:11:00,0,1970,G,Gasoline,5,2016-12-04 14:35:00
Willie Nelson,Georgia On My Mind,2017-12-02 23:27:00,0,1978,G,Georgia,4,2016-12-04 14:53:00
The Beatles,Get Back,2017-12-02 23:44:00,0,1970,G,Get,3,2016-12-04 15:05:00
Janis Joplin,Get It While You Can,2017-12-03 00:19:00,0,1971,G,Get,4,2016-12-04 15:24:00
James Brown,Get On The Good Foot,2017-12-03 00:33:00,0,1972,G,Get,5,2016-12-04 15:54:00
NRBQ,Get Rhythm,2017-12-03 00:56:00,0,1978,G,Get,4,2016-12-04 16:18:00
Brothers Johnson,Get The Funk Out Ma Face,2017-12-03 01:00:00,0,1976,G,Get,6,2016-12-04 16:24:00
James Brown,Get Up Offa That Thing,2017-12-03 01:15:00,0,1976,G,Get,4,2016-12-04 16:36:00
Bob Marley & The Wailers,"Get Up, Stand Up",2017-12-03 01:26:00,0,1973,G,Get,4,2016-12-04 16:40:00
Earth Wind & Fire,Getaway,2017-12-03 01:32:00,0,1976,G,Getaway,5,2016-12-04 15:01:00
The Who,Gettin' In Tune,2017-12-03 01:37:00,0,1971,G,Gettin',4,2016-12-04 16:43:00
Bram Tchaikovsky,Girl Of My Dreams,2017-12-03 02:27:00,0,1979,G,Girl,4,2016-12-04 17:46:00
Supertramp,Give A Little Bit,2017-12-03 02:40:00,0,1977,G,Give,5,2016-12-04 18:31:00
The J. Geils Band,Give It To Me,2017-12-03 02:45:00,0,1973,G,Give,6,2016-12-04 18:45:00
Bonnie Raitt,Give It Up Or Let Me Go,2017-12-03 02:55:00,0,1972,G,Give,5,2016-12-04 18:56:00
Robert Palmer,Give Me An Inch,2017-12-03 03:00:00,0,1975,G,Give,3,2016-12-04 19:04:00
Chairmen Of The Board,Give Me Just A Little More Time,2017-12-03 03:03:00,0,1970,G,Give,4,2016-12-04 19:10:00
George Harrison,Give Me Love,2017-12-03 03:07:00,0,1973,G,Give,3,2016-12-04 19:12:00
Parliament,Give Up The Funk (Tear The Roof Off The Sucker),2017-12-03 03:16:00,0,1975,G,Give,7,2016-12-04 19:26:00
Faces,Glad And Sorry,2017-12-03 03:32:00,0,1973,G,Glad,3,2016-12-04 19:57:00
New Riders Of The Purple Sage,Glendale Train,2017-12-03 03:39:00,0,1972,G,Glendale,4,2016-12-04 20:07:00
Patti Smith,Gloria,2017-12-03 03:43:00,0,1975,G,Gloria,5,2016-12-04 20:13:00
The Raspberries,Go All The Way,2017-12-03 03:53:00,0,1972,G,Go,4,2016-12-04 20:34:00
Fleetwood Mac,Go Your Own Way,2017-12-03 04:06:00,0,1977,G,Go,3,2016-12-04 20:57:00
John Lennon,God,2017-12-03 04:09:00,0,1970,G,God,4,2016-12-04 21:01:00
Argent,God Gave Rock And Roll To You,2017-12-03 04:13:00,0,1973,G,God,7,2016-12-04 21:05:00
The Sex Pistols,God Save The Queen,2017-12-03 04:22:00,0,1977,G,God,3,2016-12-04 21:21:00
Nils Lofgren,Goin' Back,2017-12-03 04:29:00,0,1975,G,Goin',4,2016-12-04 21:24:00
Steve Forbert,Goin' Down To Laurel,2017-12-03 04:33:00,0,1978,G,Goin',5,2016-12-04 21:32:00
Freddie King,Going Down,2017-12-03 04:43:00,0,1971,G,Going,3,2016-12-04 21:41:00
Jeff Beck,Going Down,2017-12-03 04:46:00,0,1972,G,Going,8,2016-12-04 21:45:00
Yes,Going For The One,2017-12-03 04:54:00,0,1977,G,Going,6,2016-12-04 21:55:00
The Who,Going Mobile,2017-12-03 05:00:00,0,1971,G,Going,4,2016-12-04 22:04:00
Led Zeppelin,Going To California,2017-12-03 05:04:00,0,1971,G,Going,3,2016-12-04 22:12:00
Steve Miller Band,Going To The Country,2017-12-03 05:07:00,0,1970,G,Going,4,2016-12-04 22:18:00
Bob Dylan,"Going, Going, Gone",2017-12-03 05:11:00,0,1974,G,Going,4,2016-12-04 22:30:00
Fleetwood Mac,Gold Dust Woman,2017-12-03 05:19:00,0,1977,G,Gold,5,2016-12-04 22:56:00
Stevie Wonder,Golden Lady,2017-12-03 05:24:00,0,1973,G,Golden,5,2016-12-04 23:00:00
David Bowie,Golden Years,2017-12-03 05:29:00,0,1976,G,Golden,4,2016-12-04 23:06:00
Paul Simon,Gone At Last,2017-12-03 05:38:00,0,1975,G,Gone,4,2016-12-04 23:14:00
Bad Company,Gone Gone Gone,2017-12-03 05:46:00,0,1979,G,Gone,4,2016-12-04 23:21:00
Bob Dylan,Gonna Change My Way Of Thinking,2017-12-03 05:50:00,0,1979,G,Gonna,6,2016-12-04 23:32:00
Bonnie Raitt,Good Enough,2017-12-03 06:05:00,0,1975,G,Good,3,2016-12-05 00:00:00
Grateful Dead,Good Lovin',2017-12-03 06:17:00,0,1978,G,Good,6,2016-12-05 00:13:00
Muddy Waters,Good Morning Little School Girl,2017-12-03 06:25:00,0,1978,G,Good,3,2016-12-05 00:21:00
The Cars,Good Times Roll,2017-12-03 06:45:00,0,1978,G,Good,4,2016-12-05 00:48:00
Supertramp,Goodbye Stranger,2017-12-03 07:02:00,0,1979,G,Goodbye,6,2016-12-05 01:03:00
Elton John,Goodbye Yellow Brick Road,2017-12-03 07:16:00,0,1973,G,Goodbye,3,2016-12-05 01:09:00
Earth Wind & Fire,Got To Get You Into My Life,2017-12-03 07:34:00,0,1978,G,Got,7,2016-12-05 01:33:00
Marvin Gaye,Got To Give It Up,2017-12-03 07:41:00,0,1977,G,Got,12,2016-12-05 01:40:00
Harry Nilsson,Gotta Get Up,2017-12-03 08:00:00,0,1971,G,Gotta,3,2016-12-05 01:52:00
Bob Dylan,Gotta Serve Somebody,2017-12-03 08:03:00,0,1979,G,Gotta,5,2016-12-05 01:59:00
Steely Dan,Green Earrings,2017-12-03 08:31:00,0,1976,G,Green,6,2016-12-05 02:33:00
The Outlaws,Green Grass & High Tides,2017-12-03 08:37:00,0,1975,G,Green,10,2016-12-05 02:50:00
Sugarloaf,Green-Eyed Lady,2017-12-03 08:59:00,0,1970,G,Green-Eyed,7,2016-12-05 02:39:00
King Floyd,Groove Me,2017-12-03 09:06:00,0,1971,G,Groove,4,2016-12-05 03:12:00
Bruce Springsteen,Growing Up,2017-12-03 09:18:00,0,1972,G,Growing,4,2016-12-05 03:17:00
Faces,Had Me A Real Good Time,2017-12-03 09:54:00,0,1971,H,Had,7,2016-12-05 03:53:00
Steely Dan,Haitian Divorce,2017-12-03 10:06:00,0,1976,H,Haitian,8,2016-12-05 03:59:00
Janis Joplin,Half Moon,2017-12-03 10:16:00,0,1971,H,Half,4,2016-12-05 04:11:00
The Rolling Stones,Hand Of Fate,2017-12-03 10:43:00,0,1976,H,Hand,4,2016-12-05 04:38:00
David Bowie,Hang Onto Yourself,2017-12-03 10:47:00,0,1972,H,Hang,3,2016-12-05 05:13:00
Blondie,Hanging On The Telephone,2017-12-03 10:55:00,0,1978,H,Hanging,2,2016-12-05 05:25:00
The Nerves,Hanging On The Telephone,2017-12-03 10:57:00,0,1976,H,Hanging,3,2016-12-05 05:27:00
Brian Auger's Oblivion Express,Happiness Is Just Around The Bend,2017-12-03 11:00:00,0,1973,H,Happiness,7,2016-12-05 05:32:00
The Rolling Stones,Happy,2017-12-03 11:07:00,0,1972,H,Happy,6,2016-12-05 05:43:00
Boz Scaggs,Hard Times,2017-12-03 11:19:00,0,1977,H,Hard,4,2016-12-05 06:00:00
Warren Zevon,Hasten Down The Wind,2017-12-03 12:00:00,0,1976,H,Hasten,3,2016-12-05 06:47:00
Pink Floyd,Have A Cigar,2017-12-03 12:06:00,0,1975,H,Have,6,2016-12-05 06:56:00
The Chi-Lites,Have You Seen Her,2017-12-03 12:31:00,0,1971,H,Have,6,2016-12-05 07:23:00
Stevie Wonder,He's Mistra Know It All,2017-12-03 13:20:00,0,1973,H,He's,5,2016-12-05 13:28:00
Kate & Anna McGarrigle,Heart Like A Wheel,2017-12-03 13:59:00,0,1975,H,Heart,3,2016-12-05 08:32:00
Blondie,Heart Of Glass,2017-12-03 14:02:00,0,1978,H,Heart,6,2016-12-05 08:35:00
Neil Young,Heart Of Gold,2017-12-03 14:08:00,0,1972,H,Heart,4,2016-12-05 08:42:00
Yes,Heart Of The Sunrise,2017-12-03 14:17:00,0,1971,H,Heart,10,2016-12-05 08:50:00
The Eagles,Heartache Tonight,2017-12-03 14:27:00,0,1979,H,Heartache,5,2016-12-05 09:01:00
