Artist,Title,Air Time,Play,Year,Letter,First Word
Neil Young,Heart Of Gold,2017-12-03 14:08:00,0,1972,H,Heart
Yes,Heart Of The Sunrise,2017-12-03 14:17:00,0,1971,H,Heart
Todd Rundgren,Hello It's Me,2017-12-03 15:55:00,0,1975,H,Hello
Joni Mitchell,Help Me,2017-12-03 16:08:00,0,1974,H,Help
David Bowie,Heroes,2017-12-03 17:16:00,0,1977,H,Heroes
Stevie Wonder,Higher Ground,2017-12-03 18:43:00,0,1973,H,Higher
The Eagles,Hotel California,2017-12-03 22:11:00,0,1976,H,Hotel
Bob Dylan,Hurricane,2017-12-03 23:44:00,0,1976,H,Hurricane
The Ramones,I Wanna Be Sedated,2017-12-04 07:27:00,0,1978,I,I
Grand Funk Railroad,I'm Your Captain,2017-12-04 13:02:00,0,1970,I,I'm
Bob Dylan,Idiot Wind,2017-12-04 14:00:00,0,1975,I,Idiot
John Lennon,Imagine,2017-12-04 15:46:00,0,1971,I,Imagine
Led Zeppelin,Immigrant Song,2017-12-04 15:49:00,0,1970,I,Immigrant
Van Morrison,Into The Mystic,2017-12-04 18:47:00,0,1970,I,Into
George Harrison,Isn't It A Pity,2017-12-04 19:53:00,0,1970,I,Isn't
The Band,It Makes No Difference,2017-12-04 21:08:00,0,1975,I,It
Dolly Parton,Jolene,2017-12-05 02:11:00,0,1973,J,Jolene
Bruce Springsteen,Jungleland,2017-12-05 03:29:00,0,1975,J,Jungleland
Bob Dylan,Just Like A Woman,2017-12-05 04:17:00,0,1971,J,Just
Led Zeppelin,Kashmir,2017-12-05 05:21:00,0,1975,K,Kashmir
Queen,Killer Queen,2017-12-05 07:10:00,0,1974,K,Killer
Paul Simon,Kodachrome,2017-12-05 08:41:00,0,1973,K,Kodachrome
Fleetwood Mac,Landslide,2017-12-05 10:45:00,0,1975,L,Landslide
Jackson Browne,Late For The Sky,2017-12-05 11:03:00,0,1974,L,Late
Bill Withers,Lean On Me,2017-12-05 12:09:00,0,1972,L,Lean
The Beatles,Let It Be,2017-12-05 12:59:00,0,1970,L,Let
Marvin Gaye,Let's Get It On,2017-12-05 14:03:00,0,1973,L,Let's
Al Green,Let's Stay Together,2017-12-05 14:34:00,0,1972,L,Let's
Elton John,Levon,2017-12-05 14:50:00,0,1971,L,Levon
Neil Young,Like A Hurricane,2017-12-05 16:34:00,0,1977,L,Like
Jethro Tull,Locomotive Breath,2017-12-05 19:47:00,0,1971,L,Locomotive
The Kinks,Lola,2017-12-05 19:52:00,0,1970,L,Lola
The Clash,London Calling,2017-12-05 20:04:00,0,1979,L,London
The Clash,Lost In The Supermarket,2017-12-05 22:10:00,0,1979,L,Lost
The Who,Love Reign O'er Me,2017-12-06 00:20:00,0,1979,L,Love
The Rolling Stones,Loving Cup,2017-12-06 01:50:00,0,1972,L,Loving
Iggy Pop,Lust For Life,2017-12-06 02:59:00,0,1977,L,Lust
Jimi Hendrix,Machine Gun,2017-12-06 03:45:00,0,1970,M,Machine
Muddy Waters,Mannish Boy,2017-12-06 06:45:00,0,1977,M,Mannish
Bruce Springsteen,Meeting Across The River,2017-12-06 09:27:00,0,1975,M,Meeting
The Police,Message In A Bottle,2017-12-06 10:50:00,0,1979,M,Message
The Rolling Stones,Midnight Rambler,2017-12-06 11:58:00,0,1970,M,Midnight
The Rolling Stones,Miss You,2017-12-06 13:36:00,0,1978,M,Miss
Elton John,Mona Lisas And Mad Hatters,2017-12-06 14:34:00,0,1972,M,Mona
Pink Floyd,Money,2017-12-06 14:42:00,0,1973,M,Money
David Bowie,Moonage Daydream,2017-12-06 15:49:00,0,0,M,Moonage
Van Morrison,Moondance,2017-12-06 15:54:00,0,1970,M,Moondance
The Rolling Stones,Moonlight Mile,2017-12-06 15:58:00,0,1971,M,Moonlight
Boston,More Than A Feeling,2017-12-06 16:13:00,0,1976,M,More
Curtis Mayfield,Move On Up,2017-12-06 18:00:00,0,1970,M,Move
Electric Light Orchestra,Mr. Blue Sky,2017-12-06 18:42:00,0,1977,M,Mr
Steely Dan,My Old School,2017-12-06 20:48:00,0,1973,M,My
George Harrison,My Sweet Lord,2017-12-06 21:15:00,0,1970,M,My
Bruce Springsteen,New York City Serenade,2017-12-07 00:05:00,0,1973,N,New
Billy Joel,New York State Of Mind,2017-12-07 00:15:00,0,1976,N,New
Led Zeppelin,No Quarter,2017-12-07 02:36:00,0,1973,N,No
Nick Drake,Northern Sky,2017-12-07 03:46:00,0,1970,N,Northern
Neil Young,Old Man,2017-12-07 07:05:00,0,1972,O,Old
Led Zeppelin,Over The Hills And Far Away,2017-12-07 13:50:00,0,1973,O,Over
The Doors,Peace Frog,2017-12-07 16:22:00,0,1970,P,Peace
Lou Reed,Perfect Day,2017-12-07 17:11:00,0,1972,P,Perfect
Nick Drake,Pink Moon,2017-12-07 18:57:00,0,1972,P,Pink
Neil Young,Powderfinger,2017-12-07 21:28:00,0,0,P,Powderfinger
Elvis Costello,Pump It Up,2017-12-07 23:57:00,0,0,P,Pump
David Bowie,Queen Bitch,2017-12-08 01:00:00,0,1971,Q,Queen
Golden Earring,Radar Love,2017-12-08 01:35:00,0,1973,R,Radar
Fleetwood Mac,Rhiannon,2017-12-08 07:01:00,0,1975,R,Rhiannon
The Doors,Riders On The Storm,2017-12-08 07:45:00,0,1971,R,Riders
Al Stewart,Roads To Moscow,2017-12-08 09:52:00,0,1973,R,Roads
Led Zeppelin,Rock And Roll,2017-12-08 10:39:00,0,1971,R,Rock
The Rolling Stones,Rocks Off,2017-12-08 13:44:00,0,1972,R,Rocks
Bruce Springsteen,Rosalita,2017-12-08 15:12:00,0,1973,R,Rosalita
Yes,Roundabout,2017-12-08 15:24:00,0,1971,R,Roundabout
The Police,Roxanne,2017-12-08 15:40:00,0,1978,R,Roxanne
The Clash,Rudie Can't Fail,2017-12-08 16:07:00,0,0,,Rudie
The Clash,Rudie Can't Fail,2017-12-08 16:08:00,1,0,,Rudie
Jackson Browne,Running On Empty,2017-12-08 17:17:00,0,1977,R,Running
Earth Wind & Fire,September,2017-12-08 22:19:00,0,0,S,September
Big Star,September Gurls,2017-12-08 22:23:00,0,0,S,September
