First Word,Count
The,175
I,118
Don't,51
Love,40
You,38
A,31
My,29
All,24
No,21
I'm,21
It's,21
One,20
She's,19
This,19
Rock,18
When,18
What,17
Just,17
We,16
If,16
New,16
In,16
Take,14
Never,14
Let,13
She,12
Big,12
Let's,11
Bad,11
Time,10
I'll,10
Red,10
Too,9
Dancing,9
Kiss,9
Say,9
Get,9
On,9
Walk,9
Black,9
Come,9
Hey,9
Hold,8
Can't,8
So,8
Do,8
How,8
Private,8
Every,8
Like,8
