Artist,Title,Air Time,Letter,First Word,Duration,Year
Dexy's Midnight Runners,Come On Eileen,2018-11-29 19:39:00,C,Come,4,1982
Journey,Don't Stop Believin',2018-11-30 11:04:00,D,Don't,5,1984
Bon Jovi,Livin' On A Prayer,2018-12-03 10:17:00,L,Livin',5,1988
Toni Basil,Mickey,2018-12-03 23:38:00,M,Mickey,4,1981
Styx,Mr. Roboto,2018-12-04 03:38:00,M,Mr,4,1981
Rick Astley,Never Gonna Give You Up,2018-12-04 07:57:00,N,Never,4,1988
Eddie Murphy,Party All The Time,2018-12-04 21:54:00,P,Party,4,1985
Phil Collins,Sussudio,2018-12-06 19:45:00,S,Sussudio,5,1985
