Artist,Count
Bruce Springsteen,52
U2,37
R. E. M.,36
Prince,30
Talking Heads,29
The Replacements,28
The Pretenders,27
The Smiths,26
The Rolling Stones,24
Husker Du,22
The Police,22
Lou Reed,20
Elvis Costello,20
The Clash,20
XTC,20
Psychedelic Furs,18
Madonna,18
The Cure,17
Bob Dylan,16
Stevie Ray Vaughan,16
B-52's,15
Joe Jackson,15
Echo & The Bunnymen,14
Peter Gabriel,14
Tom Waits,14
Paul Simon,14
X,13
Devo,13
David Bowie,13
Squeeze,13
Neil Young,13
Dire Straits,13
Van Morrison,13
John Hiatt,13
The Dream Syndicate,12
Depeche Mode,12
John Lennon,12
The Fall,12
New Order,12
Pete Townshend,12
Billy Joel,12
The Jam,12
Journey,12
Tom Petty & The Heartbreakers,12
Duran Duran,12
Hall & Oates,12
Paul McCartney,12
Jackson Browne,12
INXS,11
Michael Jackson,11
Rickie Lee Jones,11
Van Halen,11
Oingo Boingo,11
Dead Milkmen,11
Steve Winwood,11
The Stone Roses,10
Run-DMC,10
The Jesus And Mary Chain,10
Eurythmics,10
Adam & The Ants,9
Mission Of Burma,9
The Hooters,9
Genesis,9
Lyle Lovett,9
Prince & The Revolution,9
The Feelies,9
Sonic Youth,9
The Cramps,9
Camper Van Beethoven,9
Royal Crescent Mob,9
George Harrison,9
The English Beat,9
Rush,9
Kate Bush,9
The Pixies,9
Midnight Oil,8
Bob Seger & The Silver Bullet Band,8
Warren Zevon,8
Grateful Dead,8
Stevie Wonder,8
John Mellencamp,8
Nick Lowe,8
Todd Rundgren,8
Phil Collins,8
Billy Bragg,8
Yes,8
Orchestral Manoeuvres In The Dark,8
Pet Shop Boys,8
AC/DC,8
Simple Minds,8
Dwight Yoakam,8
Bauhaus,8
UB40,8
De La Soul,8
Beastie Boys,7
Bangles,7
Tom Petty,7
The Smithereens,7
The Waterboys,7
"10,000 Maniacs",7
Tears For Fears,7
Was (Not Was),7
Los Lobos,7
Heart,7
Billy Idol,7
Sting,7
The Blasters,7
Roxy Music,7
Whitney Houston,7
Culture Club,7
Suzanne Vega,7
Siouxsie & The Banshees,7
The J. Geils Band,7
Metallica,7
The Ramones,7
The Cars,7
Fleetwood Mac,7
The Pogues,7
Def Leppard,7
Indigo Girls,6
Cyndi Lauper,6
Soft Cell,6
King Crimson,6
Janet Jackson,6
Hoodoo Gurus,6
Stan Ridgway,6
Missing Persons,6
Black Flag,6
Love And Rockets,6
