Artist,Title,Album,Air Time,Letter,First Word,Duration
Elton John,Circle Of Life,The Lion King Soundtrack,2022-12-02 08:03:28,C,Circle,4
Soul Coughing,Circles,El Oso,2022-12-02 08:08:16,C,Circles,4
Luscious Jackson,Citysong,NATURAL INGREDIENTS,2022-12-02 08:12:58,C,Citysong,4
Wu-Tang Clan,Clan In Da Front,Enter The Wu-Tang (36 Chambers),2022-12-02 08:17:13,C,Clan,8
Shawn Colvin,Climb On (A Back That's Strong),Fat City,2022-12-02 08:25:57,C,Climb,4
Tom Petty & The Heartbreakers,Climb That Hill,She's The One (soundtrack),2022-12-02 08:30:09,C,Climb,3
Radiohead,Climbing Up the Walls,OK Computer,2022-12-02 08:34:06,C,Climbing,6
Nine Inch Nails,Closer,The Downward Spiral,2022-12-02 08:40:16,C,Closer,6
Bodeans,Closer To Free,Go Slow Down,2022-12-02 08:46:39,C,Closer,3
Leonard Cohen,Closing Time,The Future,2022-12-02 08:50:20,C,Closing,5
Semisonic,Closing Time,Feeling Strangely Fine,2022-12-02 08:56:11,C,Closing,4
Gang Starr,Code of the Streets,Hard to Earn,2022-12-02 09:00:30,C,Code,3
Blur,Coffee and T.V.,13,2022-12-02 09:04:03,C,Coffee,6
G. Love & Special Sauce,Cold Beverage,G Love & Special Sauce,2022-12-02 09:10:46,C,Cold,2
Bob Dylan,Cold Irons Bound,Time Out of Mind,2022-12-02 09:13:15,C,Cold,7
MC Lyte,Cold Rock A Party (ft. Missy Elliott),Bad As I Wanna Be,2022-12-02 09:20:35,C,Cold,6
Michelle Shocked,Come A Long Way,Arkansas Traveller,2022-12-02 09:27:20,C,Come,4
Nirvana,Come As You Are,MTV Unplugged In New York,2022-12-02 09:31:57,C,Come,8
Mary Chapin Carpenter,Come On Come On,Come On Come On,2022-12-02 09:40:15,C,Come,4
Los Lobos,Come On Let's Go,La Bamba (soundtrack),2022-12-02 09:45:08,C,Come,1
The Offspring,Come Out and Play (Keep 'Em Seperated),Smash,2022-12-02 09:47:06,C,Come,4
Peter Gabriel,Come Talk To Me,Us,2022-12-02 09:51:18,C,Come,7
Melissa Etheridge,Come To My Window,Yes I Am,2022-12-02 09:58:40,C,Come,4
Primal Scream,Come Together,Screamadelica,2022-12-02 10:03:11,C,Come,9
Bush,Comedown,Sixteen Stone,2022-12-02 10:12:56,C,Comedown,5
Crash Test Dummies,Comin' Back Soon,The Ghosts That Haunt Me,2022-12-02 10:18:20,C,Comin',4
Pulp,Common People,Different Class,2022-12-02 10:22:48,C,Common,6
Selena,Como La Flor,Entre A Mi Mundo,2022-12-02 10:29:42,C,Como,2
Ozomatli,Como Ves,Ozomatli,2022-12-02 10:32:40,C,Como,3
John Mayall,Congo Square,A Sense Of Place,2022-12-02 10:36:17,C,Congo,6
Sonny Landreth,Congo Square,South Of I-10,2022-12-02 10:42:29,C,Congo,6
The Afghan Whigs,Conjure Me,Congregation,2022-12-02 10:48:51,C,Conjure,5
Stereo MC's,Connected,Connected,2022-12-02 10:54:40,C,Connected,5
Elastica,Connection,Elastica,2022-12-02 11:00:19,C,Connection,2
k. d. lang,Constant Craving,Ingenue,2022-12-02 11:02:35,C,Constant,4
Richard Thompson,Cooksferry Queen,Mock Tudor,2022-12-02 11:06:57,C,Cooksferry,6
Bonnie Raitt,Cool Clear Water,Longing In Their Hearts,2022-12-02 11:13:31,C,Cool,5
James Taylor,Copperline,NEW MOON SHINE,2022-12-02 11:18:48,C,Copperline,4
Pearl Jam,Corduroy,Vitalogy,2022-12-02 11:23:01,C,Corduroy,6
Tori Amos,Cornflake Girl,Under The Pink,2022-12-02 11:29:26,C,Cornflake,3
Jamiroquai,Cosmic Girl,Traveling Without Moving,2022-12-02 11:33:16,C,Cosmic,4
Aimee Mann,Could've Been Anyone,Whatever,2022-12-02 11:37:20,C,Could've,5
Lindsey Buckingham,Countdown,Out Of The Cradle,2022-12-02 11:42:51,C,Countdown,3
Tom Petty & The Heartbreakers,Counting On You,Echo,2022-12-02 11:46:15,C,Counting,5
Blur,Country House,The Great Escape,2022-12-02 11:51:34,C,Country,3
The Fugees,Cowboys,The Score,2022-12-02 11:55:21,C,Cowboys,5
Dave Matthews Band,Crash Into Me,Crash,2022-12-02 12:41:37,C,Crash,5
Richard Thompson,Crawl Back Under My Stone,Mock Tudor,2022-12-02 12:46:44,C,Crawl,4
Tom Petty,Crawling Back To You,Wildflowers,2022-12-02 12:50:48,C,Crawling,5
Aerosmith,Crazy,Get A Grip,2022-12-02 12:56:46,C,Crazy,5
Seal,Crazy,Seal,2022-12-02 13:02:15,C,Crazy,5
Victoria Williams,Crazy Mary,Loose,2022-12-02 13:08:02,C,Crazy,6
Prince,Cream,Diamonds And Pearls,2022-12-02 13:14:45,C,Cream,5
Radiohead,Creep,Pablo Honey,2022-12-02 13:19:59,C,Creep,3
The Afghan Whigs,Creep,Bonnie & Clyde (e.p.),2022-12-02 13:23:56,C,Creep,4
TLC,Creep,CrazySexyCool,2022-12-02 13:28:35,C,Creep,4
Stone Temple Pilots,Creep,Core,2022-12-02 13:32:51,C,Creep,5
Fiona Apple,Criminal,Tidal,2022-12-02 13:38:25,C,Criminal,7
EPMD,Crossover,Business Never Personal,2022-12-02 13:45:39,C,Crossover,3
Tori Amos,Crucify,Little Earthquakes,2022-12-02 13:49:30,C,Crucify,6
Dave Matthews Band,Crush,Before These Crowded Streets,2022-12-02 13:55:48,C,Crush,4
R. E. M.,Crush With Eyeliner,Monster,2022-12-02 14:00:24,C,Crush,4
Jodeci,Cry for You,Diary of a Mad Band,2022-12-02 14:05:01,C,Cry,5
John Hiatt,Cry Love,Walk On,2022-12-02 14:10:40,C,Cry,5
Aerosmith,Cryin',Get A Grip,2022-12-02 14:16:33,C,Cryin',5
The Blazers,Cumbia Del Sol,East Side Soul,2022-12-02 14:21:34,C,Cumbia,5
Pavement,Cut Your Hair,Crooked Rain Crooked Rain,2022-12-02 14:26:38,C,Cut,4
Stereolab,Cybele's Reverie,Emperor Tomato Ketchup,2022-12-02 14:31:00,C,Cybele's,4
Oasis,D'You Know What I Mean,Be Here Now,2022-12-02 14:35:39,D,D'You,8
Outkast,Da Art of Stroytelln' Pt. 1,Aquemini,2022-12-02 14:44:22,D,Da,3
Daft Punk,Da Funk,Homework,2022-12-02 14:47:39,D,Da,5
blink-182,Dammit,Dude Ranch,2022-12-02 14:52:53,D,Dammit,4
Geto Boys,Damn It Feels Good To Be A Gangsta,(single),2022-12-02 14:57:44,D,Damn,5
Sophie B. Hawkins,Damn I Wish I Was Your Lover,Tongues and Tails,2022-12-02 15:03:21,D,Damn,5
Buddy Guy,Damn Right I've Got The Blues,"Damn Right, I've Got The Blues",2022-12-02 15:08:23,D,Damn,4
John Mellencamp,Dance Naked,Dance Naked,2022-12-02 15:12:43,D,Dance,4
Outback,Dance The Devil Away,Dance The Devil Away,2022-12-02 15:17:36,D,Dance,7
The Mavericks,Dance The Night Away,Trampoline,2022-12-02 15:25:00,D,Dance,5
Rosanne Cash,Dance With The Tiger,Interiors,2022-12-02 15:30:11,D,Dance,3
Entrain,Dancin' In The Light,Can U Get It,2022-12-02 15:33:51,D,Dancin',0
