Artist,Count
"Hamilton, Joe Frank & Reynolds",2
The Partridge Family,2
Dennis Wilson,2
The Main Ingredient,2
Jerry Jeff Walker,2
Greg Kihn,2
Marianne Faithfull,2
The Specials,2
Maria Muldaur,2
Abba,2
Squeeze,2
Freddie Hubbard,2
Willie Alexander And The Boom Boom Band,2
Eddie Money,2
Gordon Lightfoot,2
The Inmates,2
England Dan & John Ford Coley,2
X-Ray Spex,2
Joy Of Cooking,2
Hot Chocolate,2
Richard & Linda Thompson,2
Bread,2
Leo Kottke,2
Ron Wood,2
Renaissance,2
Rory Gallagher,2
The Trammps,2
George Benson,2
Graham Nash,2
Free,2
The Pointer Sisters,2
Pat Metheny Group,2
Pat Travers,2
Elvis Costello & The Attractions,2
Pete Townshend,2
The Stills-Young Band,2
Edgar Winter,2
Chairmen Of The Board,2
Bobby Bloom,2
Harold Melvin & The Bluenotes,2
Terry Reid,2
Herbie Hancock,2
Brian Auger's Oblivion Express,2
King Crimson,2
Tuff Darts,2
"Johnny ""Guitar"" Watson",2
George McCrae,2
Melanie,2
Mac Davis,2
Jerry Reed,2
The Outlaws,2
Frankie Valli,2
Kate & Anna McGarrigle,2
William Onyeabor,2
Graham Central Station,2
The Dickies,2
Harry Chapin,2
Rose Royce,2
Sparks,2
Lucinda Williams,2
Captain Beyond,2
Willie Hutch,2
Echo & The Bunnymen,2
Hawkwind,2
Daryl Hall,2
Journey,2
The Dramatics,2
The Osmonds,2
Johnny Nash,2
Delaney & Bonnie & Friends,2
The Crusaders,2
MC5,2
Dickey Betts & Great Southern,2
B. T. Express,2
Gary Numan & Tubeway Army,2
The Raincoats,2
Gary Wright,2
Gentle Giant,2
Generation X,2
Lonnie Liston Smith,2
Utopia,2
Charlie,2
Con Funk Shun,2
Gregg Allman,2
James Gang,2
Taj Mahal,2
Donny Hathaway,2
Brick,2
Billy Preston,2
Mick Ronson,2
Eric Andersen,1
Crosby & Nash,1
Foxy,1
Wet Willie,1
Smokey Robinson,1
Skull Snaps,1
Climax Blues Band,1
Eddie & The Hot Rods,1
Kevin Ayres,1
Steve Martin & The Toot Uncommons,1
Elf,1
Nick Gilder,1
Poobah,1
Eric Burdon & War,1
Freda Payne,1
Blues Image,1
The Blues Brothers,1
Luther Grovesnor,1
Labelle,1
C.J.& Co.,1
Dennis Brown,1
ACE,1
Gilbert O'Sullivan,1
KC and the Sunshine Band,1
Rick Dees,1
The Slickers,1
The Roches,1
Arlo Guthrie,1
Josie & The Pussycats,1
The Rubinoos,1
Yvonne Elliman,1
Disco Circus,1
20/20,1
Junior Murvin,1
Merry Clayton,1
Don McLean,1
The New Seekers,1
Bette Midler,1
Sun Ra,1
The Hello People,1
Third World,1
Peoples Chocie,1
Chris Spedding,1
The Charlie Daniels Band,1
Fairport Convention,1
Ted Nugent,1
Blue Swede,1
Chakachas,1
Manfred Mann,1
Player,1
Roy Buchanan,1
Subway Sect,1
Fela Kuti,1
Barbra Streisand,1
Donald Byrd,1
Bo Donaldson & The Heywoods,1
Looking Glass,1
Firefall,1
Brighter Side Of Darkness,1
Stiff Little Fingers,1
Bobbi Humphrey,1
King Floyd,1
Donovan,1
Lee Michaels,1
Blood Sweat & Tears,1
The Mothers Of Invention,1
Nino Rota,1
Judas Priest,1
Brian Auger & Julie Tippetts,1
The Bellamy Brothers,1
"Emerson, Lake & Palmer",1
Timmy Thomas,1
Kenny Rankin,1
Canned Heat,1
Blue Ash,1
Love Unlimited Orchestra,1
McFadden & Whitehead,1
Crystal Gayle,1
Delaney & Bonnie,1
Off Broadway,1
The Laughing Dogs,1
Radio Birdman,1
The Cure,1
Golden Earring,1
Morris Albert,1
Tin Huey,1
Buddy Miles,1
Grin,1
Andrew Gold,1
Dwight Twilley Band,1
Rocky Horror Picture Show Cast,1
Johnny Paycheck,1
Minnie Ripperton,1
The Jags,1
Candi Staton,1
Penny McLean,1
William DeVaughn,1
Samantha Sang,1
Siouxsie & The Banshees,1
Rachel Sweet,1
Destroy All Monsters,1
Junior Byles,1
Toto,1
Mark Lindsay,1
Wizzard,1
The Groundhogs,1
Edison Lighthouse,1
"Muddy Waters, Johnny Winter & James Cotton",1
The Pipkins,1
Stevie Wright,1
Leon Haywood,1
Twink & The Fairies,1
Shirley & Company,1
Madness,1
Nite-Liters,1
Jimmy Webb,1
Sister Sledge,1
Soft Machine,1
David Sancious,1
Walter Egan,1
Sniff N The Tears,1
Bobby Womack,1
Moon Martin,1
Flora Purim,1
Mungo Jerry,1
Max Romeo,1
Frank Zappa & The Mothers,1
John Kongos,1
Suicide Commandos,1
Redbone,1
Nine Nine Nine,1
Tower Of Power,1
CHIP TAYLOR,1
Back Street Crawler,1
Sammy Johns,1
The Shirts,1
The Soul Children,1
Edgar Winter's White Trash,1
Giorgio Moroder,1
The Pioneers,1
Mouth & MacNeal,1
Robert Gordon with Link Wray,1
The Slits,1
Jerry Garcia Band,1
Chambers Brothers,1
King Harvest,1
Quincy Jones,1
Andy Kim,1
"Crosby, Stills, Nash, & Young",1
Johnny Winter,1
Nitty Gritty Dirt Band,1
Tonio K.,1
Herbie Mann,1
Automatic Man,1
The Beginning Of The End,1
