Artist,Duration
David Bowie,251
Neil Young,250
Led Zeppelin,248
Elton John,246
The Rolling Stones,244
Grateful Dead,226
Bob Dylan,191
Joni Mitchell,184
Steely Dan,182
Genesis,173
Pink Floyd,170
Bruce Springsteen,168
Fleetwood Mac,159
Jackson Browne,148
Stevie Wonder,143
The Allman Brothers,134
Yes,127
Bob Marley & The Wailers,121
The Eagles,121
James Brown,117
Todd Rundgren,113
Eric Clapton,111
Little Feat,107
Van Morrison,105
The Clash,103
Jethro Tull,100
John Lennon,100
Electric Light Orchestra,100
Cat Stevens,98
Lou Reed,96
Queen,87
Lynyrd Skynyrd,87
The Doobie Brothers,87
Frank Zappa,87
Tom Petty & The Heartbreakers,86
Al Green,82
Curtis Mayfield,81
The Who,81
Paul McCartney & Wings,81
Billy Joel,78
The Isley Brothers,77
The Ramones,76
George Harrison,73
James Taylor,73
The Band,72
Black Sabbath,72
Patti Smith,71
Mott The Hoople,71
War,70
Talking Heads,69
Kraftwerk,69
Roxy Music,66
Rod Stewart,65
Paul Simon,63
Aretha Franklin,63
Elvis Costello,63
Bee Gees,62
Tom Waits,62
Earth Wind & Fire,62
Ry Cooder,61
Muddy Waters,59
The Doors,58
Hall & Oates,58
Cheap Trick,56
Santana,56
Wings,56
Dan Fogelberg,55
T Rex,55
Bonnie Raitt,54
10cc,54
Grand Funk Railroad,52
The Kinks,52
Warren Zevon,52
Marvin Gaye,52
Paul McCartney,51
Supertramp,51
Derek & The Dominos,50
Chicago,49
Leon Russell,49
Crosby Stills Nash & Young,49
The Spinners,48
Big Star,48
The Commodores,47
Randy Newman,47
Graham Parker,47
Creedence Clearwater Revival,46
Aerosmith,46
Blondie,46
Bad Company,46
The J. Geils Band,45
Budgie,45
Isaac Hayes,45
Sly & The Family Stone,45
John Prine,45
Faces,44
Steve Miller Band,44
Jerry Garcia,44
Jefferson Starship,43
Ohio Players,43
Traffic,43
Alice Cooper,42
Boz Scaggs,42
Kiss,42
Peter Tosh,41
Iggy Pop,41
Peter Frampton,41
ZZ Top,41
The Police,41
XTC,41
Television,41
Nick Drake,40
Bob Seger & The Silver Bullet Band,39
The Beach Boys,39
Funkadelic,39
Brian Eno,39
Nick Lowe,39
The Moody Blues,38
Joe Walsh,38
Kool & The Gang,38
Robert Palmer,37
Robin Trower,37
The O'Jays,37
The Jam,36
The Modern Lovers,36
David Bromberg,36
Miles Davis,36
Jeff Beck,35
The Cars,35
The Beatles,35
Parliament,35
Meatloaf,35
Dr. John,35
Weather Report,35
Caravan,34
The Meters,34
Joe Jackson,34
Linda Ronstadt,33
Gram Parsons,33
The Guess Who,33
Dire Straits,33
Rush,32
Average White Band,32
Harry Nilsson,32
Brothers Johnson,32
Devo,32
Dave Edmunds,32
The Temptations,32
Loggins & Messina,31
Bill Withers,31
Peter Gabriel,31
Al Stewart,30
Bob Weir,30
Ian Hunter,30
John Cale,30
Three Dog Night,29
Deep Purple,29
Boston,29
Carly Simon,29
Bachman-Turner Overdrive,28
George Benson,28
John Denver,28
Procol Harum,28
Mountain,28
The Raspberries,27
Dave Mason,27
The Boomtown Rats,27
Humble Pie,27
Herbie Hancock,27
Heart,27
Hawkwind,27
Simon & Garfunkel,27
Ian Dury & The Blockheads,26
Jimi Hendrix,26
Donna Summer,26
New York Dolls,26
John Martyn,26
Kris Kristofferson,26
The Carpenters,26
The Alan Parsons Project,26
The Staple Singers,25
Rare Earth,25
Montrose,25
The Velvet Underground,25
Styx,25
AC/DC,25
Foreigner,25
The Damned,24
Slade,24
Can,24
Joan Baez,24
Kansas,24
Sweet,24
Ambrosia,24
Emerson Lake & Palmer,24
Thin Lizzy,24
Grover Washington Jr.,23
Chic,23
Gordon Lightfoot,23
Ringo Starr,23
America,23
Carole King,23
New Riders Of The Purple Sage,23
Rufus,23
Bloodrock,22
The Bar-Kays,22
Stephen Stills,22
Willie Nelson,22
Eddie Kendricks,22
Roberta Flack,22
Janis Joplin,22
Gladys Knight & the Pips,22
Leonard Cohen,22
Public Image Ltd.,22
Crosby Stills & Nash,21
Toots & The Maytals,21
B-52's,21
Nils Lofgren,21
James Gang,21
Robert Fripp & Brian Eno,21
Gang Of Four,21
Freddie Hubbard,21
Bob Dylan And The Band,20
Bob Seger,20
Barry Manilow,20
Graham Central Station,20
Andy Pratt,20
Ted Nugent,20
Sparks,20
Uriah Heep,20
Soft Machine,20
Richard Hell & The Voidoids,20
Emmylou Harris,20
Joe Cocker,20
Steeleye Span,20
Gentle Giant,19
Return To Forever,19
Foghat,19
Natalie Cole,19
Quincy Jones,19
The Congos,19
John Hartford,19
NRBQ,19
Iggy & The Stooges,19
The Stooges,19
J. J. Cale,19
Harry Chapin,19
Pat Metheny Group,18
