Title,Artist
Long Hot Summer,The Style Council
Long Live Rock,The Who
Long May You Run,The Stills-Young Band
Long Road,Junior Reid
Long Tall Sally,Little Richard
Long Time Gone,Billie Joe + Norah
Long Time Gone,Crosby Stills & Nash
Long Way Home,Tom Waits
Longer,Lydia Loveless
Longing In Their Hearts,Bonnie Raitt
Look Back In Anger,David Bowie
Look It Here,Nathaniel Rateliff & The Night Sweats
Look Out For My Love,Neil Young
Look Sharp,Joe Jackson
Look The Other Way,Justin Townes Earle
Look What You've Done For Me,Al Green
Lookin' For A Love,Bobby Womack
Looking At The Sun,Matthew Sweet
Looking For A Love,The J. Geils Band
Looking For Clues,Robert Palmer
Looking For The Summer,Chris Rea
Lookout Joe,Neil Young
Looks Like Rain,Bob Weir
Lose Again,Linda Ronstadt
Loser,Beck
Losing My Religion,R. E. M.
Lost At Sea,Dawg Yawp
Lost In My Mind,The Head And The Heart
Lost In The Flood,Bruce Springsteen
Lost In The Supermarket,The Clash
Lost Together,Blue Rodeo
Lost Weekend,Pete Yorn
Lost!,Coldplay
Lotta Love,Neil Young
Lotus,R. E. M.
Loud Places,Jamie xx
Louie Louie,The Kingsmen
Louisiana 1927,Randy Newman
Love,G Love
Love & Hate,Michael Kiwanuka
Love (can Make You Happy),Mercy
Love Ain't For Keeping,The Who
Love And Affection,Joan Armatrading
Love And Happiness,Al Green
Love And Happiness,Toots Hibbert
Love At The Five & Dime,Nanci Griffith
Love Grows (Where My Rosemary Goes),Edison Lighthouse
Love Hangover,Diana Ross
Love Has No Pride,Bonnie Raitt
Love Her Madly,The Doors
Love Hurts,Nazareth
Love Hurts,Gram Parsons
Love In A Trashcan,The Raveonettes
Love In Action,Utopia
Love In Vain,The Rolling Stones
Love In An Elevator,Aerosmith
Love Is,Kate & Anna McGarrigle
Love Is Blue,Paul Mauriat
Love Is A Good Thing,Sheryl Crow
Love Is A Losing Game,Amy Winehouse
Love Is Alive,Gary Wright
Love Is All Around,The Troggs
Love Is Everything,Jane Siberry
Love Is Like An Itching In My Heart,The Supremes
Love Is Like Oxygen,Sweet
Love Is Strange,Mickey & Sylvia
Love Is The Answer,Utopia
Love Is The Drug,Roxy Music
Love Is The Seventh Wave,Sting
Love Jones,Brighter Side Of Darkness
Love Letter,Bonnie Raitt
Love Me Do,The Beatles
Love Me Like A Man,Bonnie Raitt
Love Me Tomorrow,Boz Scaggs
Love Me Two Times,The Doors
Love Minus Zero / No Limit,Bob Dylan
Love Missle F1-11,Sigue Sigue Sputnik
Love My Way,Psychedelic Furs
Love of my Life,Santana
Love Of The Common Man,Todd Rundgren
Love on the Weekend,John Mayer
Love Or Confusion,Jimi Hendrix
Love Plus One,Haircut One Hundred
Love Potion Number Nine,The Searchers
Love Reign O'er Me,The Who
Love Rollercoaster,Ohio Players
Love Rollercoaster,Red Hot Chili Peppers
Love Shack,B-52's
Love Sneakin' Up On You,Bonnie Raitt
Love Song,Elton John
Love Song,Sara Bareilles
Love Stinks,The J. Geils Band
Love Struck Baby,Stevie Ray Vaughan
Love The One You're With,Stephen Stills
Love Throws A Line,Patty Griffin
Love TKO,Teddy Pendergrass
Love To Love You Baby,Donna Summer
Love Train,The O'Jays
Love Vigilantes,Iron And Wine
Love Vigilantes,New Order
Love Will Find A Way,Pablo Cruise
Love Will Tear Us Apart,Joy Division
Love Won't Let Me Wait,Major Harris
Love Without Anger,Devo
Lovefool,The Cardigans
Lovely Day,Bill Withers
Lovely Rita,The Beatles
Lover Lover Lover,Leonard Cohen
Lover of the Light,Mumford & Sons
Lover To Lover,Florence And The Machine
"Lover, You Should've Come Over",Jeff Buckley
Lovers In A Dangerous Time,Bruce Cockburn
Lovers In Japan,Coldplay
Lover's Rock,The Clash
Love's In Need of Love Today,Stevie Wonder
Loves Me Like A Rock,Paul Simon
Love's Theme,Love Unlimited Orchestra
Lovesong,The Cure
Lovin' In My Baby's Eyes,Taj Mahal
Loving Cup,The Rolling Stones
Low,Cracker
Low Budget,The Kinks
Low Rider,War
Low Spark Of High-heeled Boys,Traffic
Lowdown,Boz Scaggs
Lowdown,My Morning Jacket
Lucille,Little Richard
Luck Of The Draw,Bonnie Raitt
Lucky Man,Emerson Lake & Palmer
Lucretia Macevil,Blood Sweat & Tears
Luka,Suzanne Vega
Luka,The Lemonheads
Lust For Life,Iggy Pop
