ABC,Jackson 5
Anyone Who Had A Heart,Dionne Warwick
Anything Could Happen,Ellie Goulding
Anyway Anyhow Anywhere,The Who
Anywhere Is,Enya
Apostrophe,Frank Zappa
Apple Scruffs,George Harrison
April Fools,Rufus Wainwright
April Skies,The Jesus And Mary Chain
A-Punk,Vampire Weekend
Aquarius / Let The Sunshine In,The Fifth Dimension
Arc Of A Diver,Steve Winwood
Are Friends Electric?,Gary Numan & Tubeway Army
Are You Experienced?,Jimi Hendrix
Are You Gonna Go My Way,Lenny Kravitz
Are You Ready For The Country?,Neil Young
Are You Ready?,Pacific Gas & Electric
Arms Of A Woman,Amos Lee
Army,Ben Folds Five
Arnold Layne,Pink Floyd
Around The World In A Day,Prince & The Revolution
Art For Art's Sake,10cc
As,Stevie Wonder
Ashes To Ashes,David Bowie
Ask The Angels,Patti Smith
Asking For Flowers,Kathleen Edwards
Astral Freak,Ben Arnold
Astral Plane,Valerie June
Astral Weeks,Van Morrison
Astronaut,G Love
At Last,Etta James
At The Hop,Danny & The Juniors
Atlantic City,Bruce Springsteen
Atlantis,Donovan
Atomic Dog,George Clinton
Atomic Power,Uncle Tupelo
Australia,The Shins
Avalon,Roxy Music
Avant Gardener,Courtney Barnett
Avenging Annie,Andy Pratt
