Title,Artist,Letter,Year,First Word
Afternoon Delight,Starland Vocal Band,A,1976,Afternoon
Bohemian Rhapsody,Queen,B,1975,Bohemian
Disco Duck,Rick Dees,D,1978,Disco
Feelings,Morris Albert,F,1974,Feelings
Free Bird,Lynyrd Skynyrd,F,1973,Free
Horse With No Name,America,H,1971,Horse
Hotel California,The Eagles,H,1976,Hotel
Mandy,Barry Manilow,M,0,Mandy
Margaritaville,Jimmy Buffett,M,0,Margaritaville
