Title,Artist
Mr. Big Stuff,Jean Knight
Mr. Bojangles,David Bromberg
Mr. Bojangles,Jerry Jeff Walker
Mr. Brightside,The Killers
Mr. Jones,Counting Crows
Mr. Jones,Talking Heads
Mr. Pitiful,Otis Redding
Mr. Roboto,Styx
Mr. Soul,Buffalo Springfield
Mr. Spaceman,The Byrds
Mr. Tambourine Man,The Byrds
Mrs. Robinson,Simon & Garfunkel
Mrs. Robinson,The Lemonheads
Mud Slide Slim,James Taylor
Murder (or A Heart Attack),Old 97's
Murder By Numbers,The Police
Mushaboom,Feist
Musta Got Lost,The J. Geils Band
Mustang Sally,Buddy Guy
Mustang Sally,Wilson Pickett
My Adiddas,Run-DMC
My Baby Blue,John Hiatt
My Baby Don't Tolerate,Lyle Lovett
My Baby Gives It Away,Pete Townshend & Ronnie Lane
My Back Pages,Bob Dylan
My Biggest Fan,Loudon Wainwright III
My Boyfriend's Back,The Angels
My Cherie Amour,Stevie Wonder
My City Was Gone,The Pretenders
My Definition Of A Boombastic Jazz Style,Dream Warriors
My Doorbell,The White Stripes
My Ever Changing Moods,The Style Council
My Father's Gun,Elton John
My Favorite Mistake,Sheryl Crow
My Favorite Things,John Coltrane
My Feet Can't Fail Me Now,The Dirty Dozen Brass Band
My First Lover,Gillian Welch
My Generation,The Who
My Guitar Wants To Kill Your Mama,Frank Zappa
My Whole World Ended,David Ruffin
My Hometown,Bruce Springsteen
My Little Red Book,Love
My Little Town,Paul Simon
My Love,Paul McCartney & Wings
My Love Life,Morrissey
My Lover's Prayer,Otis Redding
My My Hey Hey (out Of The Blue),Neil Young
My Old Friend,John Hiatt
My Old Man,Joni Mitchell
My Old School,Steely Dan
My Pledge Of Love,Joe Jeffrey Group
My Rights Versus Yours,The New Pornographers
My Sharona,The Knack
My Sister,The Juliana Hatfield Three
My Stupid Mouth,John Mayer
My Sweet Lord,George Harrison
My Sweet Love,John Mellencamp
My Time,Minus The Bear
My Way,Frank Sinatra
My Wife,The Who
My World Is Empty Without You,The Supremes
Mysterious Ways,U2
Mystery Achievement,The Pretenders
Mystery Dance,Elvis Costello
Mystery Train,Elvis Presley
