Title,Artist,AirTime
13 Questions,Seatrain,2017-04-08 12:25:00
15 Step,Radiohead,2017-04-08 12:28:00
16 Candles,The Crests,2017-04-08 12:32:00
16 Days,Whiskeytown,2017-04-08 12:35:00
16 Military Wives,The Decemberists,2017-04-08 12:39:00
16 Shells From A Thirty-Ought-Six,Tom Waits,2017-04-08 12:44:00
19,Paul Hardcastle,2017-04-08 12:51:00
1901,Phoenix,2017-04-08 12:54:00
1904,The Tallest Man On Earth,2017-04-08 12:58:00
1952 Vincent Black Lightning,Richard Thompson,2017-04-08 13:02:00
1969,The Stooges,2017-04-08 13:06:00
1972,Josh Rouse,2017-04-08 13:12:00
1973,Beth Orton,2017-04-08 13:16:00
1977,The Clash,2017-04-08 13:19:00
1979,Darlingside,2017-04-08 13:22:00
1979,Smashing Pumpkins,2017-04-08 13:26:00
1983 (A Merman I Should Turn To Be),Jimi Hendrix,2017-04-08 13:31:00
1984,David Bowie,2017-04-08 13:45:00
1984,David Bowie,2017-04-08 13:45:00
1993,Boz Scaggs,2017-04-08 13:48:00
1998,Chet Faker,2017-04-08 13:53:00
1999,Prince,2017-04-08 14:00:00
19th Nervous Breakdown,The Rolling Stones,2017-04-08 14:03:00
2 H.B.,Roxy Music,2017-04-08 14:09:00
2 Kool 2 B Forgotten,Lucinda Williams,2017-04-08 14:14:00
2 Wicky,Hooverphonic,2017-04-08 14:18:00
2+2=5 (The Lukewarm),Radiohead,2017-04-08 14:22:00
2000 Light Years From Home,Son Volt,2017-04-08 14:28:00
2000 Light Years From Home,The Rolling Stones,2017-04-08 14:33:00
2001: A Space Odyssey,City Of Prague Philharmonic,2017-04-08 14:40:00
2080,Yeasayer,2017-04-08 14:42:00
20th Century Boy,T Rex,2017-04-08 14:47:00
20th Century Fox,The Doors,2017-04-08 14:53:00
20th Century Man,The Kinks,2017-04-08 14:55:00
2112,Rush,2017-04-08 15:03:00
22 (OVER S??N),Bon Iver,2017-04-08 15:26:00
24,Game Theory,2017-04-08 15:30:00
24 Frames,Jason Isbell,2017-04-08 15:35:00
2-4-6-8 Motorway,Tom Robinson Band,2017-04-08 15:38:00
25 Miles,Edwin Starr,2017-04-08 15:41:00
25 O'clock,The Dukes Of Stratosphear,2017-04-08 15:46:00
25 Or 6 To 4,Chicago,2017-04-08 15:51:00
26 Miles (Santa Catalina),The Four Preps,2017-04-08 15:57:00
27 Jennifers,Mike Doughty,2017-04-08 16:00:00
27 Spanishes,Los Lobos,2017-04-08 16:03:00
28,Steppenwolf,2017-04-08 16:07:00
3/5 Of A Mile In 10 Seconds,Jefferson Airplane,2017-04-08 16:12:00
30 Days In The Hole,Humble Pie,2017-04-08 16:16:00
32 Flavors,Ani DiFranco,2017-04-08 16:19:00
32 Flavors,Ani DiFranco,2017-04-08 16:20:00
"33 ""GOD""",Bon Iver,2017-04-08 16:25:00
33 Rpm Soul,Michelle Shocked,2017-04-08 16:31:00
33's & 45's,Wreckless Eric,2017-04-08 16:34:00
36 Inches High,Nick Lowe,2017-04-08 16:43:00
36-22-36,"Bobby ""Blue"" Bland",2017-04-08 16:45:00
38th Street Blues,B. B. King,2017-04-08 16:48:00
'39,Queen,2017-04-08 16:51:00
3am Spiritual,Smith Westerns,2017-04-08 16:56:00
3's & 7's,Queens Of The Stone Age,2017-04-09 12:01:00
3WW,Alt-J,2017-04-09 12:05:00
4 & 20,Crosby Stills Nash & Young,2017-04-09 12:10:00
40,U2,2017-04-09 12:14:00
40 Day Dream,Edward Sharpe & The Magnetic Zeros,2017-04-09 12:17:00
40 Days And 40 Nights,Ellis Hooks,2017-04-09 12:21:00
"40,000 Headmen",Traffic,2017-04-09 12:25:00
409,The Beach Boys,2017-04-09 12:30:00
42,Coldplay,2017-04-09 12:32:00
45,Elvis Costello,2017-04-09 12:36:00
45,The Gaslight Anthem,2017-04-09 12:39:00
46 Days,Phish,2017-04-09 12:43:00
48 Hours,The Clash,2017-04-09 12:50:00
49 Bye-byes,Crosby Stills & Nash,2017-04-09 12:51:00
4th and Roebling,The Districts,2017-04-09 12:57:00
4th Of July,Aimee Mann,2017-04-09 13:02:00
4th Of July,X,2017-04-09 13:05:00
"4th Of July, Asbury Park (Sandy)",Bruce Springsteen,2017-04-09 13:09:00
4th Time Around,Bob Dylan,2017-04-09 13:16:00
5 Days In May,Blue Rodeo,2017-04-09 13:21:00
5 O'Clock World,Julian Cope,2017-04-09 13:25:00
5:15,The Who,2017-04-09 13:31:00
5:15 The Angels Have Gone,David Bowie,2017-04-09 13:35:00
50 Ways To Leave Your Lover,Paul Simon,2017-04-09 13:42:00
500,Lush,2017-04-09 13:45:00
500 Miles,Rosanne Cash,2017-04-09 13:49:00
500 Miles,Tori Amos,2017-04-09 13:52:00
51 Phantom,North Mississippi Allstars,2017-04-09 13:57:00
5-10-15-20 (25-30 Years of Love),The Presidents,2017-04-09 14:01:00
51st Anniversary,The Jimi Hendrix Experience,2017-04-09 14:04:00
52 Girls,B-52's,2017-04-09 14:07:00
52nd Street,Billy Joel,2017-04-09 14:11:00
53 Miles West Of Venus,B-52's,2017-04-09 14:14:00
53rd & 3rd,The Ramones,2017-04-09 14:19:00
54-46 (Thats My Number),Toots & The Maytals,2017-04-09 14:22:00
57 Channels (And Nothin' On),Bruce Springsteen,2017-04-09 14:24:00
59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,2017-04-09 14:28:00
5D (Fifth Dimension),The Byrds,2017-04-09 14:30:00
6 AM,Fitz & The Tantrums,2017-04-09 14:32:00
6 String Belief,Son Volt,2017-04-09 14:37:00
6 Underground,Sneaker Pimps,2017-04-09 14:41:00
"6'1""",Liz Phair,2017-04-09 14:45:00
'63,Olin & The Moon,2017-04-09 14:48:00
"634-5789 (Soulsville, U.S.A)",Wilson Pickett,2017-04-09 14:54:00
66,The Afghan Whigs,2017-04-09 14:57:00
'68 Comeback,Retribution Gospel Choir,2017-04-09 15:01:00
6th Avenue Heartache,The Wallflowers,2017-04-09 15:02:00
7 And 7 Is,Love,2017-04-09 15:08:00
7 Deadly Sins,Traveling Wilburys,2017-04-09 15:13:00
7 Seconds,Youssou N'Dour,2017-04-09 15:16:00
