Title,Artist,Letter
Comfortably Numb,Pink Floyd,C
Comin' Home,Delaney & Bonnie,C
Concrete Jungle,Bob Marley & The Wailers,C
Coney Island Baby,Lou Reed,C
Confusion,Stevie Wonder,C
Congoman,The Congos,C
Congratulations,Paul Simon,C
Conquistador,Procol Harum,C
Constantinople,The Residents,C
Contort Yourself,James White And The Blacks,C
Conversation,Joni Mitchell,C
Convoy,C.W. McCall,C
Cookies,Brother Soul,C
Cool Change,Little River Band,C
Cool For Cats,Squeeze,C
Cool Metro,David Johansen,C
Copacabana (At the Copa),Barry Manilow,C
Corners Without Exits,Hot Tuna,C
Cortez The Killer,Neil Young,C
Cosmic Slop,Funkadelic,C
Cosmik Debris,Frank Zappa,C
Could Heaven Ever Be Like This,Idris Muhammed,C
Could It Be I'm Falling In Love,The Spinners,C
Couldn't Get It Right,Climax Blues Band,C
Couldn't I Just Tell You,Todd Rundgren,C
Count On Me,Jefferson Starship,C
Country Comfort,Elton John,C
Country Girl,Crosby Stills Nash & Young,C
Country Road,James Taylor,C
County Fair,Joe Walsh,C
Court & Spark,Joni Mitchell,C
Covered Up In Aces,Elizabeth Barraclaugh,C
Cowboy Song,Thin Lizzy,C
Coyote,Joni Mitchell,C
Cracked Actor,David Bowie,C
Crackerbox Palace,George Harrison,C
Cracking Up,Nick Lowe,C
Cracklin' Rosie,Neil Diamond,C
Crash Course In Brain Surgery,Budgie,C
Crawling From The Wreckage,Dave Edmunds,C
Crazy Baldhead,Bob Marley & The Wailers,C
Crazy Feeling,Lou Reed,C
Crazy Fingers,Grateful Dead,C
Crazy Little Thing Called Love,Queen,C
Crazy Love,The Allman Brothers,C
Crazy Love,Van Morrison,C
Crazy Mama,J. J. Cale,C
Crazy Mama,The Rolling Stones,C
Crazy On You,Heart,C
Creepin',Kenny Rankin,C
Creepin',Stevie Wonder,C
Crime Of The Century,Supertramp,C
Cripple Creek,Leo Kottke,C
Crippled Inside,John Lennon,C
Crisis,Bob Marley & The Wailers,C
Crocodile Rock,Elton John,C
Cross-eyed Mary,Jethro Tull,C
Crosseyed Cat,Muddy Waters,C
Crow,Dan Fogelberg,C
Crow Black Chicken,Ry Cooder,C
Cruel To Be Kind,Nick Lowe,C
Cruel To Be Kind (original Version),Nick Lowe,C
Cruise Control,Dixie Dregs,C
Cruisin',Michael Nesmith,C
Cruisin',Smokey Robinson,C
Cry Baby,Janis Joplin,C
Cry For The Bad Man,Lynyrd Skynyrd,C
Cry Me A River,Joe Cocker,C
Cry Tough,Nils Lofgren,C
Crying Blind,Jimmy Reed,C
Crystal Closet Queen,Leon Russell,C
Crystal Silence,Return To Forever,C
Cuckoo Cocoon,Genesis,C
Cumberland Blues,Grateful Dead,C
Custard Pie,Led Zeppelin,C
Cut Across Shorty,Rod Stewart,C
Cut My Hair,The Who,C
Cut The Cake,Average White Band,C
