Title,Artist,Letter
Lost In The Flood,Bruce Springsteen,L
Lost In The Supermarket,The Clash,L
Lotta Love,Neil Young,L
Lotta Love,Nicolette Larson,L
Loudmouth,The Ramones,L
Louie Louie,Motorhead,L
Louie Louie,Toots & The Maytals,L
Louisiana 1927,Randy Newman,L
Louisiana Rain,Tom Petty & The Heartbreakers,L
Love,John Lennon,L
Love & Affection,Joan Armatrading,L
Love Ain't For Keeping,The Who,L
Love And Happiness,Al Green,L
Love Ballad,L.T.D.,L
Love Ballad,L.T.D.,L
Love For You And Me,Budgie,L
Love Grows (Where My Rosemary Goes),Edison Lighthouse,L
Love Hangover,Diana Ross,L
Love Has Brought Me Around,James Taylor,L
Love Has No Pride,Bonnie Raitt,L
Love Has No Pride,Linda Ronstadt,L
Love Her Madly,The Doors,L
Love Hurts,Gram Parsons,L
Love In Action,Utopia,L
Love In Song,Wings,L
Love Is A Rose,Linda Ronstadt,L
Love Is Alive,Gary Wright,L
Love Is Like Oxygen,Sweet,L
Love Is The Answer,England Dan & John Ford Coley,L
Love Is The Answer,Utopia,L
Love Is Thicker Than Water,Andy Gibb,L
Love Jones,Brighter Side Of Darkness,L
Love Machine (Part 1),The Miracles,L
Love Me Like A Man,Bonnie Raitt,L
Love Me Tomorrow,Boz Scaggs,L
Love Of The Common Man,Todd Rundgren,L
Love Reign O'er Me,The Who,L
Love Rollercoaster,Ohio Players,L
Love Scene Improvisations Version 1,Jerry Garcia,L
Love So Tough,Iron City Houserockers,L
Love Song,Elton John,L
Love Song,Elton John,L
Love The One You're With,Stephen Stills,L
Love The One You're With,The Isley Brothers,L
Love To Love You Baby,Donna Summer,L
Love Train,The O'Jays,L
Love Will Find A Way,Pablo Cruise,L
Love Will Keep Us Together,Captain & Tennille,L
Love Won't Let Me Wait,Major Harris,L
Love You Inside Out,Bee Gees,L
Love-itis,The J. Geils Band,L
Love's In Need of Love Today,Stevie Wonder,L
Love's Theme,Love Unlimited Orchestra,L
Lovely Day,Bill Withers,L
Lover Of The Bayou,The Byrds,L
Lover's Rock,The Clash,L
Loves Me Like A Rock,Paul Simon,L
Loves Me Like A Rock,Paul Simon,L
Lovin' You,Minnie Ripperton,L
Loving Cup,The Rolling Stones,L
Low Budget,The Kinks,L
Low Life,Public Image Ltd.,L
Low Rider,War,L
Low Spark Of High-heeled Boys,Traffic,L
Lowdown,Boz Scaggs,L
Lowdown,Chicago,L
Lucky Man,Emerson Lake & Palmer,L
Lucky Number,Lene Lovich,L
Lucky Seven,Chris Squire,L
Lucky Seven,Chris Squire,L
Lucretia Macevil,Blood Sweat & Tears,L
Lucy In The Sky With Diamonds,Elton John,L
Luna,Tom Petty & The Heartbreakers,L
Lunch Hour,Rupert Holmes,L
Lust For Life,Iggy Pop,L
Luv N' Haight,Sly & The Family Stone,L
Luxury,The Rolling Stones,L
Lyin' Eyes,The Eagles,L
