Title,Artist,Year
Abandoned Luncheonette,Hall & Oates,1973
Abracadabra (Have You Seen Her?),Blue Ash,1973
Across 110th Street,Bobby Womack,1973
Ain't No Woman (Like The One I've Got),Four Tops,1973
Ain't Nothin' But A Houseparty,The J. Geils Band,1973
Aladdin Sane,David Bowie,1973
Alison Gross,Steeleye Span,1973
All I Know,Art Garfunkel,1973
All The Way From Memphis,Mott The Hoople,1973
American Tune,Paul Simon,1973
Andalucia,John Cale,1973
Angel,Aretha Franklin,1973
Angel Fingers,Wizzard,1973
Angie,The Rolling Stones,1973
Any Old Time,Maria Muldaur,1973
Apache,Michael Viner's Incredible Bongo Band,1973
Are You Man Enough,Four Tops,1973
Avenging Annie,Andy Pratt,1973
Back In '72,Bob Seger,1973
Bad Motor Scooter,Montrose,1973
"Bad, Bad Leroy Brown",Jim Croce,1973
Band On The Run,Paul McCartney & Wings,1973
Basketball Jones,Cheech & Chong,1973
Beautiful Sunday,Daniel Boone,1973
Beauty Queen,Roxy Music,1973
Bennie and the Jets,Elton John,1973
Best Thing That Ever Happened To Me,Gladys Knight & the Pips,1973
Billion Dollar Babies,Alice Cooper,1973
Bio,Chuck Berry,1973
Birds Of Fire,Mahavishnu Orchestra,1973
Black Rose,Waylon Jennings,1973
Bluebird,Paul McCartney & Wings,1973
Bodhisattva,Steely Dan,1973
Bra,Cymande,1973
Brain Damage/Eclipse,Pink Floyd,1973
Breadfan,Budgie,1973
Bringing Home The Bacon,Procol Harum,1973
Brother Louie,Stories,1973
Brothers Gonna Work It Out,Willie Hutch,1973
Burning Love,Elvis Presley,1973
Caldonia,B. B. King,1973
California,The Beach Boys,1973
Call Me (Come Back Home),Al Green,1973
Camarillo Brillo,Frank Zappa,1973
Can You Understand,Renaissance,1973
Candle In The Wind,Elton John,1973
Can't Say Nothin',Curtis Mayfield,1973
Can't You See,Marshall Tucker Band,1973
Captain Jack,Billy Joel,1973
Carpet Of The Sun,Renaissance,1973
Celestial Terrestrial Commuters,Mahavishnu Orchestra,1973
Chameleon,Herbie Hancock,1973
Chevy Van,Sammy Johns,1973
China Grove,The Doobie Brothers,1973
Cindy Incidentally,Faces,1973
Closing Time,Tom Waits,1973
Come And Get Your Love,Redbone,1973
Come And Go Blues,The Allman Brothers,1973
Come Get To This,Marvin Gaye,1973
Come Go With Me,The Staple Singers,1973
Concrete Jungle,Bob Marley & The Wailers,1973
Cosmic Slop,Funkadelic,1973
Could It Be I'm Falling In Love,The Spinners,1973
Cracked Actor,David Bowie,1973
Crocodile Rock,Elton John,1973
Dancing Days,Led Zeppelin,1973
Dancing In The Moonlight,King Harvest,1973
Dancing With Mr. D,The Rolling Stones,1973
Dancing With The Moonlight Knight,Genesis,1973
Daniel,Elton John,1973
Dark Eyed Cajun Woman,The Doobie Brothers,1973
Dean,Terry Reid,1973
Dear Abby,John Prine,1973
Delta Dawn,Helen Reddy,1973
Desperado,The Eagles,1973
Deteriorata,National Lampoon,1973
Diamond Girl,Seals & Crofts,1973
Dirty Love,Frank Zappa,1973
Dixie Chicken,Little Feat,1973
Do The Strand,Roxy Music,1973
Doing It To Death,James Brown,1973
Don't Be Denied,Neil Young,1973
Don't Want To Know,John Martyn,1973
Don't You Worry Bout A Thing,Stevie Wonder,1973
Doo Doo Doo Doo Doo (Heartbreaker),The Rolling Stones,1973
Dream On,Aerosmith,1973
Drift Away,Dobie Gray,1973
Drive-in Saturday,David Bowie,1973
Drivin' Sister,Mott The Hoople,1973
Dueling Banjos,Eric Weissberg,1973
D'yer Mak'er,Led Zeppelin,1973
Early 1970,Ringo Starr,1973
Editions of You,Roxy Music,1973
Elderberry Wine,Elton John,1973
Elected,Alice Cooper,1973
Emerald Eyes,Fleetwood Mac,1973
Eres Tu (Touch The Wind),Mocedades,1973
Eyes Of The World,Grateful Dead,1973
Fat Man In The Bathtub,Little Feat,1973
Firth of Fifth,Genesis,1973
Flight Time,Donald Byrd,1973
Flying,Strawbs,1973
For Everyman,Jackson Browne,1973
For The Love Of Money,The O'Jays,1973
Free Bird,Lynyrd Skynyrd,1973
From The Sun To The World,Electric Light Orchestra,1973
Funeral For A Friend/Love Lies Bleeding,Elton John,1973
Funeral For A Friend/Love Lies Bleeding,Elton John,1973
Funky Kingston,Toots & The Maytals,1973
Funky Pretty,The Beach Boys,1973
Funky Stuff,Kool & The Gang,1973
Future Shock,Curtis Mayfield,1973
Generation Landslide,Alice Cooper,1973
"Get Up, Stand Up",Bob Marley & The Wailers,1973
Gimme Danger,Iggy & The Stooges,1973
Gimme Three Steps,Lynyrd Skynyrd,1973
Gimme Your Money Please,Bachman-Turner Overdrive,1973
Give It To Me,The J. Geils Band,1973
Give Me Love,George Harrison,1973
Glad And Sorry,Faces,1973
God Gave Rock And Roll To You,Argent,1973
Golden Lady,Stevie Wonder,1973
Good Rocking Tonight,Montrose,1973
Goodbye Yellow Brick Road,Elton John,1973
Gypsy Man,War,1973
Had I Known you Better Then,Hall & Oates,1973
Half Breed,Cher,1973
Happiness Is Just Around The Bend,Brian Auger's Oblivion Express,1973
Harlem River Drive,Bobbi Humphrey,1973
Head To The Sky,Earth Wind & Fire,1973
Helen Wheels,Paul McCartney & Wings,1973
Heroin,Lou Reed,1973
He's Mistra Know It All,Stevie Wonder,1973
Higher Ground,Stevie Wonder,1973
Hollywood Swinging,Kool & The Gang,1973
Honaloochie Boogie,Mott The Hoople,1973
Hypnotized,Fleetwood Mac,1973
I Ain't The One,Lynyrd Skynyrd,1973
I Been Hoodood,Dr. John,1973
I Can't Stand The Rain,Ann Peebles,1973
I Can't Write Left-Handed,Bill Withers,1973
I Don't Want It,Montrose,1973
I Hope That I Don't Fall In Love With You,Tom Waits,1973
I Know (I Know),John Lennon,1973
I Know What I Like,Genesis,1973
I Know What I Like,Genesis,1973
I Love Her More Than You'll Ever Know,Donny Hathaway,1973
I Love The Dead,Alice Cooper,1973
I Need Somebody,Iggy & The Stooges,1973
I Read It In The Rolling Stone,CHIP TAYLOR,1973
I Shot The Sheriff,Bob Marley & The Wailers,1973
I Thought I Was A Child,Jackson Browne,1973
I Wish I Was Your Mother,Mott The Hoople,1973
I Wonder Who's Kissing Her Now,Harry Nilsson,1973
If We Make It Through December,Merle Haggard,1973
If You Want Me To Stay,Sly & The Family Stone,1973
If You Want To Get To Heaven,Ozark Mountain Daredevils,1973
If You're Ready (Come Go With Me),The Staple Singers,1973
If You've Got Love,Dave Mason,1973
In Time,Sly & The Family Stone,1973
