Title,Artist,Year
A Good Feelin' To Know,Poco,1972
A Man Needs A Maid,Neil Young,1972
Ace Supreme,Silverhead,1972
Afro Strut,Nite-Liters,1972
After Midnight,J. J. Cale,1972
Ain't That Loving You,Isaac Hayes,1972
Ain't Wastin' Time No More,The Allman Brothers,1972
Alabama,Neil Young,1972
All Down The Line,The Rolling Stones,1972
All My Life,Uriah Heep,1972
All The Young Dudes,Mott The Hoople,1972
Almendra,Macondo,1972
American City Suite,Cashman & West,1972
Amie,Pure Prairie League,1972
And You And I,Yes,1972
Angelsea,Cat Stevens,1972
Angry Eyes,Loggins & Messina,1972
Ape Is High,Mandrill,1972
Are You Ready For The Country?,Neil Young,1972
Baby Boomerang,T Rex,1972
Baby Don't Get Hooked On Me,Mac Davis,1972
Baby I'm A-Want You,Bread,1972
Back Off Boogaloo,Ringo Starr,1972
Back Stabbers,The O'Jays,1972
Ballad Of El Goodo,Big Star,1972
Ballrooms Of Mars,T Rex,1972
Bare Trees,Fleetwood Mac,1972
Been To Caanan,Carole King,1972
Ben,Michael Jackson,1972
Benedictus,Strawbs,1972
Big Chief,Dr. John,1972
Big Eyed Beans From Venus,Captain Beefheart,1972
Billy The Kid,Ry Cooder,1972
Black And White,Three Dog Night,1972
Blessed Relief,Frank Zappa,1972
Blinded By The Light,Bruce Springsteen,1972
Blow Wind Blow,Dr. John,1972
Blue River,Eric Andersen,1972
Blue Sky,The Allman Brothers,1972
Bo Diddley,Bob Seger,1972
Boogie Woogie Bugle Boy,Bette Midler,1972
Brandy (You're A Fine Girl),Looking Glass,1972
Break Up To Make Up,The Stylistics,1972
Brooklyn (Owes The Charmer Under Me),Steely Dan,1972
Bye-Bye,John Hartford,1972
Cakewalk Into Town,Taj Mahal,1972
Caledonia Mission,The Band,1972
Call Me the Breeze,J. J. Cale,1972
Canned Music,Dan Hicks & The Hot Licks,1972
Can't Keep It In,Cat Stevens,1972
Cassidy,Bob Weir,1972
Celluloid Heroes,The Kinks,1972
Changes,Black Sabbath,1972
Cherry Ball Blues,Ry Cooder,1972
Children Of The Revolution,T Rex,1972
