Title,Artist,Letter
The Load Out / Stay,Jackson Browne,T
The Loco-Motion,Grand Funk Railroad,T
The Logical Song,Supertramp,T
The Long And Winding Road,The Beatles,T
The Look Of Love,Isaac Hayes,T
The Love I Lost,Harold Melvin & The Bluenotes,T
The Love You Save,Jackson 5,T
The Lovely Linda,Paul McCartney,T
The Main Street Moan,David Bromberg,T
The Makings Of You,Curtis Mayfield,T
The Man Who Sold The World,David Bowie,T
The Man With The Child In His Eyes,Kate Bush,T
The Martyr,Utopia,T
The Mighty Quinn (Quinn The Eskimo),Bob Dylan,T
The Model,Kraftwerk,T
The Modern Day,Foreigner,T
The Morning After,Maureen McGovern,T
The Most Beautiful Girl,Charlie Rich,T
The Motivator,T Rex,T
The Music Never Stopped,Grateful Dead,T
The Name Of The Game,Abba,T
The Needle And The Damage Done,Neil Young,T
The New Lee Highway Blues,David Bromberg,T
The Night Chicago Died,Paper Lace,T
The Night The Carousel Burnt Down,Todd Rundgren,T
The Night They Drove Old Dixie Down,Joan Baez,T
The Note You Never Wrote,Wings,T
The Number One Song In Heaven,Sparks,T
The Ocean,Led Zeppelin,T
The Old Country Waltz,Neil Young,T
The Only Living Boy In New York,Simon & Garfunkel,T
The Passenger,Iggy Pop,T
The Payback,James Brown,T
The Persecution and Restoration of Dean Moriarty (On The Road),Aztec Two-Step,T
The Piano Has Been Drinking (Not Me),Tom Waits,T
The Pill,Loretta Lynn,T
The Pretender,Jackson Browne,T
The Pride,The Isley Brothers,T
The Priest,Joni Mitchell,T
The Prince,Madness,T
The Promised Land,Bruce Springsteen,T
The Punk Meets The Godfather,The Who,T
The Rain Song,Led Zeppelin,T
The Real Me,The Who,T
The Return Of The Giant Hogweed,Genesis,T
The Revolution Will Not Be Televised,Gil Scott-Heron,T
The Right Profile,The Clash,T
The Right Thing To Do,Carly Simon,T
The Road,Jackson Browne,T
The Road And The Sky,Jackson Browne,T
The Road To Utopia,Utopia,T
The Robots,Kraftwerk,T
The Rover,Led Zeppelin,T
The Royal Scam,Steely Dan,T
The Sea,Fotheringay,T
The Second Time Around,Shalamar,T
The Secret Life Of Arabia,David Bowie,T
The Shape I'm In,The Band,T
The Shape Of Things To Come,Slade,T
The Shape Of Things To Come,The Headboys,T
The Song Remains The Same,Led Zeppelin,T
The South's Gonna Do It Again,Charlie Daniels Band,T
The Stake,Steve Miller Band,T
The Stealer,Free,T
The Story In Your Eyes,The Moody Blues,T
The Stranger,Billy Joel,T
The Strawberry Revival Festival,Cheech & Chong,T
The Streak,Ray Stevens,T
The Taker,Kris Kristofferson,T
The Thin Ice,Pink Floyd,T
The Things We Do For Love,10cc,T
The Thrill Is Gone,B. B. King,T
The Thrill Of It All,Black Sabbath,T
The Thrill Of It All,Roxy Music,T
The Times You've Come,Jackson Browne,T
"The Verb ""To Love""",Todd Rundgren,T
The Voice,The Alan Parsons Project,T
The Wall Street Shuffle,10cc,T
The Wasp (Texas Radio And The Big Beat),The Doors,T
The Watergate Blues,Howlin' Wolf,T
The Way We Were,Barbra Streisand,T
The Wheel,Jerry Garcia,T
The Whistler,Jethro Tull,T
The Width Of A Circle,David Bowie,T
The Width Of A Circle,David Bowie,T
"The Wild One, Forever",Tom Petty & The Heartbreakers,T
The Wind,Cat Stevens,T
The Wizard,Black Sabbath,T
The World Is A Ghetto,War,T
The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,T
Them Belly Full,Bob Marley & The Wailers,T
