Title,Artist,Letter
"Blue Morning, Blue Day",Foreigner,B
Blue Motel Room,Joni Mitchell,B
Blue River,Eric Andersen,B
Blue Skies,Willie Nelson,B
Blue Sky,The Allman Brothers,B
Blue Sunday,The Doors,B
Bluebird,Paul McCartney & Wings,B
Blues Power,Eric Clapton,B
Bo Diddley,Bob Seger,B
Bob Dylan Blues,Syd Barrett,B
Bodhisattva,Steely Dan,B
Bohemian Rhapsody,Queen,B
Bombs Away,Bob Weir,B
Boogie,John Hartford,B
Boogie Down,Eddie Kendricks,B
Boogie Nights,Heatwave,B
Boogie On Reggae Woman,Stevie Wonder,B
Boogie Ooogie Oogie,A Taste Of Honey,B
Boogie Till You Puke,Root Boy Slim & The Sex Change Band,B
Boogie With Stu,Led Zeppelin,B
Boogie Woogie Bugle Boy,Bette Midler,B
Book Of Rules,The Heptones,B
Bootzilla,Bootsy Collins,B
Border Song,Elton John,B
Border Town,The Souther-Hillman-Furay Band,B
Bored,Destroy All Monsters,B
Boredom,Magazine,B
Born Fighter,Nick Lowe,B
Born In The 50's,The Police,B
Born Late '58,Mott The Hoople,B
Born Loose,Rod Stewart,B
Born To Lose,The Heartbreakers,B
Born To Run,Bruce Springsteen,B
Both Ends Burning,Roxy Music,B
Boulder To Birmingham,Emmylou Harris,B
Box Of Rain,Grateful Dead,B
Boxcars,Joe Ely,B
Boy Blue,Electric Light Orchestra,B
Boys Keep Swinging,David Bowie,B
Bra,Cymande,B
Brain Damage/Eclipse,Pink Floyd,B
Brand New Cadillac,The Clash,B
Brand New Key,Melanie,B
Brandy (You're A Fine Girl),Looking Glass,B
Brass Buttons,Gram Parsons,B
Breadfan,Budgie,B
Break It To Me Gently,Aretha Franklin,B
Break Up To Make Up,The Stylistics,B
Breakdown,The Alan Parsons Project,B
Breakdown,Tom Petty & The Heartbreakers,B
Breakfast In America,Supertramp,B
Breaking Glass,David Bowie,B
Breaking Up Is Hard To Do,Neil Sedaka,B
Breezin',George Benson,B
Brick House,The Commodores,B
Brickyard Blues,Maria Muldaur,B
Bridge Of Sighs,Robin Trower,B
Bridge Over Troubled Water,Aretha Franklin,B
Bridge Over Troubled Water,Simon & Garfunkel,B
Bright Moments,Lonnie Liston Smith,B
Bright Side Of The Road,Van Morrison,B
Bring On The Night,The Police,B
Bringing Home The Bacon,Procol Harum,B
Brokedown Palace,Grateful Dead,B
Broken English,Marianne Faithfull,B
Broken Heart Blues,Frank Marino & Mahogany Rush,B
Bron-Y-Aur Stomp,Led Zeppelin,B
Brontosaurus,The Move,B
Brooklyn (Owes The Charmer Under Me),Steely Dan,B
Brother Louie,Stories,B
Brothers Gonna Work It Out,Willie Hutch,B
Brown Eyes,Axis,B
Brown Sugar,The Rolling Stones,B
Bruised Orange,John Prine,B
Buckets of Rain,Bob Dylan,B
Buffalo Soldier,Bob Marley & The Wailers,B
Buick 48,Jools Holland,B
Bulbs,Van Morrison,B
Bungle In The Jungle,Jethro Tull,B
Burial,Peter Tosh,B
Burn Down The Mission,Elton John,B
Burn It Down,Suicide Commandos,B
Burn This Disco Out,Michael Jackson,B
Burnin' Sky,Bad Company,B
Burning Airlines Give You So Much More,Brian Eno,B
Burning Love,Elvis Presley,B
Bus Driver,Muddy Waters,B
Bush Doctor,Peter Tosh,B
Bustin' Out (On Funk),Rick James,B
Buzzard,Armageddon,B
Bye Bye Love,The Cars,B
Bye-Bye,John Hartford,B
