Title,Artist,Letter
Move Over,Janis Joplin,M
Movin',Brass Construction,M
Movin' On,Bad Company,M
Movin' Out (Anthony's Song),Billy Joel,M
Moving In Stereo,The Cars,M
Mozambique,Bob Dylan,M
Mr. Big Stuff,Jean Knight,M
Mr. Blue Sky,Electric Light Orchestra,M
Mr. Bojangles,David Bromberg,M
Mr. Bojangles,Nitty Gritty Dirt Band,M
Mr. Brown,African Music Machine,M
Mr. Jaws,Dickie Goodman,M
Mr. Tanner,Harry Chapin,M
Mr. Unreliable,The Inmates,M
Mrs. Vandebilt,Paul McCartney & Wings,M
Mud Slide Slim,James Taylor,M
Mull of Kintyre,Wings,M
Music,Cat Stevens,M
Music Is Love,David Crosby,M
Music Is Love,David Crosby,M
Music Man,The Doobie Brothers,M
Muskrat Love,Captain & Tennille,M
Musta Got Lost (live),The J. Geils Band,M
My Baby Gives It Away,Pete Townshend & Ronnie Lane,M
My Baby Left Me,Creedence Clearwater Revival,M
My Baby Loves Lovin',White Plains,M
My Ding-A-Ling,Chuck Berry,M
My Eyes Adored You,Frankie Valli,M
My Father's Gun,Elton John,M
My Guitar Wants To Kill Your Mama,Frank Zappa,M
My Little Town,Paul Simon,M
My Love,Paul McCartney & Wings,M
My Love (Burning Love),Robin Trower,M
My My Hey Hey (Out Of The Blue),Neil Young,M
My Old Man,Ian Dury & The Blockheads,M
My Old Man,Joni Mitchell,M
My Old School,Steely Dan,M
My Pearl,Automatic Man,M
My Radio Sure Sounds Good To Me,Larry Graham & Graham Central Station,M
My Rival,Alex Chilton,M
My Sharona,The Knack,M
My Sweet Lord,George Harrison,M
My Thang,James Brown,M
My Thang,James Brown,M
My Way,Sid Vicious,M
My Wife,The Who,M
Mysterious Traveller,Weather Report,M
Mystery Dance,Elvis Costello,M
