Title,Artist,Year
The Man Who Sold The World,David Bowie,1970.0
The Future,Leonard Cohen,1992.0
My Hero,Foo Fighters,1996.0
Venus In Furs,The Velvet Underground,1967.0
Lovers In A Dangerous Time,Bruce Cockburn,1984.0
Thirty Three,Smashing Pumpkins,1995.0
Midnight City,M83,2010.0
What It Is,Mark Knopfler,2000.0
The Unforgettable Fire,U2,1984.0
See Emily Play,Pink Floyd,1967.0
Joan of Arc,Leonard Cohen,1971.0
Adam Raised A Cain,Bruce Springsteen,1978.0
One Day,Matisyahu,2009.0
The Stranger,Billy Joel,1977.0
In My Life,Judy Collins,1966.0
Baby Blue Sedan,Modest Mouse,1997.0
Wah-Wah,George Harrison,1970.0
Changes,Charles Bradley,2013.0
Plush,Stone Temple Pilots,1992.0
Walkin' To New Orleans,Fats Domino,1960.0
Nowhere Man,The Beatles,1965.0
"Help Me, Rhonda",The Beach Boys,1985.0
Drift While You're Sleeping,Trey Anastasio,2019.0
Kick Out The Jams,MC5,1994.0
I Am The Blues,Laura Nyro,1976.0
Blinded By The Light,Manfred Mann,1976.0
Stormy Weather,Billie Holiday,1953.0
Redbone,Childish Gambino,2016.0
Rain,Patty Griffin,1996.0
You've Really Got A Hold On Me,Smokey Robinson & The Miracles,1988.0
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & the Pips,1973.0
Landed,Ben Folds,2005.0
Into The Great Wide Open,Tom Petty,1976.0
You And Me,The Moody Blues,1972.0
Natural Mystic,Bob Marley & The Wailers,1991.0
Susie Q,Creedence Clearwater Revival,1968.0
Ah! Leah!,Donnie Iris,1980.0
Conversation,Joni Mitchell,1970.0
White Winter Hymnal,Fleet Foxes,2008.0
Wasn't Born To Follow,The Byrds,1968.0
Sweet Virginia,The Rolling Stones,1972.0
Almost Cut My Hair,Crosby Stills Nash & Young,1970.0
Up On Cripple Creek,The Band,1969.0
Handle With Care,Traveling Wilburys,1988.0
Teenage Riot,Sonic Youth,1988.0
Criminal,Fiona Apple,1996.0
Up All Night,The War On Drugs,2017.0
Itchycoo Park,Small Faces,1986.0
Christmas Wrapping,The Waitresses,1981.0
Don't Look Back In Anger,Oasis,1996.0
Just My Imagination (Running Away With Me),The Temptations,1980.0
Private Eyes,Hall & Oates,1981.0
Never Let Me Down Again,Depeche Mode,1987.0
I Put A Spell On You,Screamin' Jay Hawkins,1956.0
The Needle And The Damage Done,Neil Young,1972.0
Overkill,Men At Work,1983.0
Why,Annie Lennox,1992.0
Ordinary World,Duran Duran,1993.0
Heroes and Villains,The Beach Boys,1967.0
Oliver's Army,Elvis Costello & The Attractions,1979.0
L.A. Freeway,Guy Clark,1975.0
Home,LCD Soundsystem,2010.0
Light On,Maggie Rogers,2018.0
Don't Do Me Like That,Tom Petty & The Heartbreakers,1979.0
State Of Independence,Donna Summer,1982.0
Born In The USA,Bruce Springsteen,1984.0
Urge For Going,Tom Rush,1968.0
Mr. Brightside,The Killers,2003.0
Lose Yourself,Eminem,2002.0
Safe European Home,The Clash,1978.0
Sister Golden Hair,America,1975.0
These Days,R. E. M.,1986.0
Riding With The King,John Hiatt,1983.0
The Stable Song,Gregory Alan Isakov,2007.0
A Town Called Malice,The Jam,1982.0
Funk #49,James Gang,1969.0
Tonight's The Night,Neil Young,1975.0
Mais Que Nada,Sergio Mendes & Brasil '66,1967.0
54-46 (Thats My Number),Toots & The Maytals,1984.0
Jeepster,T Rex,1971.0
Damaged Goods,Gang Of Four,1978.0
Lively Up Yourself,Bob Marley & The Wailers,1990.0
Change It,Stevie Ray Vaughan,1985.0
Life's What You Make It,Talk Talk,1986.0
Stolen Car,Beth Orton,1998.0
Funny How Time Slips Away,Willie Nelson,1962.0
Free Nelson Mandela,Special AKA,1984.0
Dancin' Fool,Frank Zappa,1979.0
Freedom,Wham!,1984.0
Crush,Dave Matthews Band,2000.0
Shangri-La,The Kinks,1969.0
These Days,Nico,1967.0
