Title,Artist,Year
45,Elvis Costello,2002
45,The Gaslight Anthem,2012
46 Days,Phish,2002
48 Hours,The Clash,1977
49 Bye-byes,Crosby Stills & Nash,1969
4th and Roebling,The Districts,2015
4th Of July,Aimee Mann,1993
4th Of July,X,1987
"4th Of July, Asbury Park (Sandy)",Bruce Springsteen,1973
4th Time Around,Bob Dylan,1966
5 Days In May,Blue Rodeo,1993
5 O'Clock World,Julian Cope,1988
5:15,The Who,1984
5:15 The Angels Have Gone,David Bowie,2002
50 Ways To Leave Your Lover,Paul Simon,1975
500,Lush,1996
500 Miles,Rosanne Cash,2009
500 Miles,Tori Amos,2009
51 Phantom,North Mississippi Allstars,2001
5-10-15-20 (25-30 Years of Love),The Presidents,1970
51st Anniversary,The Jimi Hendrix Experience,1967
52 Girls,B-52's,1978
52nd Street,Billy Joel,1978
53 Miles West Of Venus,B-52's,1980
54-46 (Thats My Number),Toots & The Maytals,1968
57 Channels (And Nothin' On),Bruce Springsteen,1992
59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel,1966
5D (Fifth Dimension),The Byrds,1966
6 String Belief,Son Volt,2005
38th Street Blues,B. B. King,1992
6 Underground,Sneaker Pimps,1996
"6'1""",Liz Phair,1993
'63,Olin & The Moon,2009
"634-5789 (Soulsville, U.S.A)",Wilson Pickett,1989
66,The Afghan Whigs,1998
'68 Comeback,Retribution Gospel Choir,2010
6th Avenue Heartache,The Wallflowers,1996
7 And 7 Is,Love,1989
7 Deadly Sins,Traveling Wilburys,1990
7 Seconds,Youssou N'Dour,1994
7/4 (Shoreline),Broken Social Scene,2005
70's Scenario,Hall & Oates,1974
'74-'75,The Connells,1994
777-9311,The Time,1982
8 (circle),Bon Iver,2016
8 Miles High,The Byrds,1966
8 Piece Box,Southern Culture On The Skids,1995
'83,John Mayer,2001
88 Lines About 44 Women,The Nails,1984
8-track,Brian Setzer,2001
9 Crimes,Damien Rice,2006
96 Degrees In The Shade,Third World,1980
96 Tears,? & The Mysterians,1966
96 Tears,Garland Jeffreys,1981
99,Toto,1979
99.9 F,Suzanne Vega,1992
992 Arguments,The O'Jays,1972
9th Ward Blues,DJ Logic,2006
