Artist,Title
Laura Marling,Sophia
Red Hot Chili Peppers,Go Robot
Mayer Hawthorne,Someone Like You
Eddie & The Hot Rods,Do Anything You Wanna Do
Nik Greeley & The Operators,Stars
Sturgill Simpson,Brace For Impact
Kathleen Edwards,Asking For Flowers
Chuck Prophet,Bad Year for Rock and Roll
The Wallflowers,One Headlight
Mondo Cozmo,Shine
The Head And The Heart,Rhythm & Blues
Andrew Bird,Fitz And The Dizzyspells
Beck,Loser
Grace Potter And The Nocturnals,Ah Mary
Dawes,Roll With The Punches
Paul Simon,Wristband
Gary Clark Jr.,Ain't Messin' Around
American Dinosaur,Sweepstakes
The Rolling Stones,Hate To See You Go
Sheila Hylton,The Bed's Too Big Without You
The Clash,Rock The Casbah
Sylvan Esso,Radio
The National,Bloodbuzz Ohio
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Phish,Breath and Burning
Psychedelic Furs,The Ghost In You
Midlake,Head Home
Coldplay,Violet Hill
Frank Ocean,Pink + White
The Lion's Paw,Love
Sinead O'Connor,The Emperor's New Clothes
Ryan Adams,Stay With Me
Joseph,SOS (Overboard)
Whitney,No Matter Where We Go
U2,Angel Of Harlem
Frederick Knight,I've Been Lonely For So Long
Aaron Lee Tasjan,Little Movies
Radiohead,There There
Kings Of Leon,Waste A Moment
Rag 'N' Bone Man,Human
Rag 'N' Bone Man,Human
Lucinda Williams,Car Wheels On A Gravel Road
Grateful Dead,Friend Of The Devil
Molly Ledford & Billy Kelly,Here Come The Trees
Lou Gallo & Brady Rymer,Fall Leaves
Zee Avi,Colors Of The Wind
Joanie Leeds & The Nightlights,Tofurky Song
Laurie Berkner,One Two Buckle My Shoe
Nathalia,Dinosaur Dance
KB Whirly,Hole In My Bucket
Devendra Banhart,Lover
Hiss Golden Messenger,Biloxi
Natalie Prass,Bird Of Prey
Neil Young,Peace Trail
Ben Harper,Diamonds On The Inside
Maggie Rogers,Alaska
The Undertones,Teenage Kicks
The Damned,Neat Neat Neat
Richard Hell & The Voidoids,Blank Generation
New York Dolls,Trash
