Artist,Title
Lou Reed,Vicious
Maria McKee,I'm Gonna Soothe You
The Staple Singers,If You're Ready (Come Go With Me)
'Til Tuesday,Voices Carry
The Pretenders,Holy Commotion
R. E. M.,Radio Song
The Beatles,I Call Your Name
Mondo Cozmo,Shine
Foxygen,Follow The Leader
Morrissey,I'm Throwing My Arms Around Paris
Hamilton Leithauser + Rostam,A 1000 Times
Joseph,SOS (Overboard)
Grateful Dead,Scarlet Begonias
Norah Jones,Flipside
Norah Jones,Flipside
Honus Honus,Oh No!
David Byrne,Like Humans Do
Leonard Cohen,You Want It Darker
The Shins,Dead Alive
Earth Wind & Fire,Shining Star
Bruce Springsteen,Prove It All Night
Michael Kiwanuka,Love & Hate
Lee Charles,Get Your House In Order
Earl English,Wanting You
