Artist,Title
Honus Honus,Curious Magic
Honus Honus,Curious Magic
The Damned,Neat Neat Neat
The Men,Gun
Nots,Inherently Low
The King Khan & BBQ Show,I'll Be Loving You
Field Mouse,The Order of Things
Unknown Mortal Orchestra,Swim And Sleep (Like A Shark)
Screaming Females,Wishing Well
Ty Segall,Orange Color Queen
Big Thief,Vegas
Blake Babies,Temptation Eyes
Terry Malts,Seen Everything
Sam Evian,Sleep Easy
Beach House,The Traveller
Gum,Ophelia
Angel Olsen,Give It Up
King Gizzard & The Lizard Wizard,Rattlesnake
Leonard Cohen,Tower of Song
Chuck Prophet,Bad Year for Rock and Roll
Kings Of Leon,Waste A Moment
Wilco,Impossible Germany
Joseph,SOS (Overboard)
Purling Hiss,Fever
Colvin & Earle,You're Right (I'm Wrong)
Jim James,A New Life
Jim James,Here In Spirit
Toots & The Maytals,Funky Kingston
The Frightnrs,Nothing More To Say
Aaron Lee Tasjan,Little Movies
Band Of Horses,Laredo
Florence And The Machine,Dog Days Are Over
Radiohead,High And Dry
Frank Ocean,Pink + White
The Menzingers,Lookers
The War On Drugs,Baby Missiles
Rag 'N' Bone Man,Human
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old
Ian Hunter,Once Bitten Twice Shy
The Count Five,Psychotic Reaction
Foxygen,Follow The Leader
Patty Griffin,One Big Love
Neil Young,Peace Trail
Amos Lee,Running Out Of Time
Amos Lee,Running Out Of Time
Hozier,Jackie and Wilson
Talking Heads,Girlfriend Is Better
Lydia Loveless,Longer
Brent Cobb,Solving Problems
Michael Kiwanuka,Love & Hate
Joan Osborne,Only You Know And I Know
Darlingside,1979
Loamlands,Little River
George Ezra,Budapest
Suzanne Vega,Luka
The Head And The Heart,Rhythm & Blues
Dr. John,Iko Iko
Honus Honus,Oh No!
Hamilton Leithauser + Rostam,A 1000 Times
Bob Dylan,Absolutely Sweet Marie
The Lumineers,Ophelia
Borns,"10,000 Emerald Pools"
Sting,I Can't Stop Thinking About You
Mondo Cozmo,Shine
The White Stripes,Seven Nation Army
Parquet Courts,Black And White
Beach Slang,Spin The Dial
Margaret Glaspy,You & I
Guster,One Man Wrecking Machine
Guster,One Man Wrecking Machine
Modest Mouse,Float On
Warpaint,New Song
The Replacements,Sixteen Blue
Bash & Pop,On The Rocks
The Pretenders,Holy Commotion
The Pretenders,Holy Commotion
Los Lobos,Will The Wolf Survive?
Bonnie Raitt,Thing Called Love
Al Green,How Can You Mend A Broken Heart
Al Green,I Feel Good
Bill Withers,Grandma's Hands (Live)
Bill Withers,Who Is He (And What Is He To You)?
James Brown,Get Up I Feel Like Being A Sex Machine
James Brown,Night Train
The Rolling Stones,Hey Negrita
The Rolling Stones,Hot Stuff
Cameo,Word Up
Cameo,I Just Want To Be
Heatwave,Boogie Nights
Sam & Dave,I Thank You
Sam & Dave,I Can't Stand Up
Aretha Franklin,Rock Steady
Aretha Franklin,Sweet Sweet Baby
Sly & The Family Stone,Dance To The Music
Sly & The Family Stone,Family Affair
Ray Charles,The Right Time
Ray Charles,One Mint Julep
The Meters,Just Kissed My Baby
The Meters,Cissy Strut
Jackson 5,The Love You Save
Jackson 5,Dancing Machine
Rufus,Ain't Nobody
Rufus,Once You Get Started
Curtis Mayfield,Freddie's Dead
Curtis Mayfield,Get Down
Action Figure Party,Everybody Ready
Steely Dan,Everyone's Gone To The Movies
Aaron Lee Tasjan,Little Movies
The Velvet Underground,Sweet Jane
Ron Gallo,"Young Lady, You're Scaring Me"
Valerie June,Astral Plane
Valerie June,Astral Plane
Stevie Ray Vaughan,Crossfire
Chuck Prophet,Bad Year for Rock and Roll
Santana,Love of my Life
Phish,Breath and Burning
Steve Winwood,Freedom Overspill
Dawg Yawp,Lost At Sea
The Avett Brothers,Ain't No Man
Amy Winehouse,You Know I'm No Good
Hiss Golden Messenger,Biloxi
The Police,Spirits In The Material World
Kings Of Leon,Waste A Moment
Bryan Ferry,Slave To Love
The xx,On Hold
Ryan Adams,Cold Roses
Greg Sover,Moment
Morrissey,"Irish Blood, English Heart"
Norah Jones,Flipside
The Flaming Lips,The Castle
Fontella Bass,Rescue Me
Violent Femmes,Gone Daddy Gone
Sylvan Esso,Radio
R. E. M.,Drive
Dawes,Roll With The Punches
Pink Floyd,Welcome To The Machine
Neil Young,Peace Trail
Aimee Mann,Put Me On Top
Red Hot Chili Peppers,Go Robot
Back Door Slam,Come Home
The Arcs,Stay In My Corner
Car Seat Headrest,Vincent
Car Seat Headrest,Vincent
Jerry Garcia,The Wheel
Alabama Shakes,I Found You
Leonard Cohen,You Want It Darker
My Morning Jacket,Wordless Chorus
Jim James,Same Old Lie
The Doors,The Changeling
Nick Waterhouse,Katchi
Vampire Weekend,Diane Young
