Artist,Title
The Blasters,I'm Shakin'
Santana,Europa
King Gizzard & The Lizard Wizard,Rattlesnake
Ron Gallo,"Young Lady, You're Scaring Me"
Emiliana Torrini & The Colorist,When We Dance
Jesca Hoop,The Lost Sky
Sampha,Timmy's Prayer
A Tribe Called Quest,Solid Wall Of Sound
Sylvan Esso,Kick Jump Twist
Zella Day,Man On The Moon
CRX,Ways To Fake It
My Jerusalem,No One Gonna Give You Love
The Last Shadow Puppets,Is This What You Wanted
Jamestown Revival,Love Is A Burden
Chuck Prophet,Bad Year for Rock and Roll
Nick Murphy,Stop Me (Stop You)
Lettuce,The Love You Left Behind
Lee Fields and The Expressions,Make This World
Lee Fields and The Expressions,Make This World
Rubblebucket,If U C My Enemies
Childish Gambino,Redbone
The Sh-Booms,X to Your O
The Sh-Booms,Usage Fee
Frances Luke Accord,Something Moving
Ty Segall,Orange Color Queen
The Dean Ween Group,Mercedes Benz
Flo Morrissey & Matthew E. White,Look At What The Light Did Now
Kadhja Bonet,Honeycomb
John Mayer,Love on the Weekend
Yosi,Just Desserts
The Paisley Pickles,Pie For Breakfast
Little Miss Ann,Three Little Pumpkins
Dog On Fleas,Cranberry Sauce Flotilla
Hullabaloo,Green Beans Everywhere
Gustafer Yellowgold,Gravy Insane
A L O,Mashed Potatoes
Django Jones,Potato Leek Soup
Pete Seeger,Soon As We Cook Sweet Potatoes
Joanie Leeds & The Nightlights,Tofurky Song
Josh & The Jamtones,Turkey Ran Away
Vicki Burke,The Giblet Song
Cathy Fink & Marcy Marxer,From Scratch
Mista Cookie Jar,Gratitude
Jose-Luis Orozco,Thanksgiving
Vanessa Trien & the Jumping Monkeys,Feeling Thankful
Justin Roberts,How Lucky We Are
Rocknoceros,This Thanksgiving
Jessica Lea Mayfield,Our Hearts Are Wrong
Brent Cobb,Solving Problems
Purling Hiss,Fever
The Breeders,Divine Hammer
Led Zeppelin,In The Evening
Ron Gallo,"Young Lady, You're Scaring Me"
Chuck Prophet,Ford Econoline
Lou Reed,Sad Song
George Harrison,Wah-wah
Badfinger,Baby Blue
The Dean Ween Group,Mercedes Benz
Translator,Everywhere That I'm Not
Valerie June,Astral Plane
Frank Ocean,Pink + White
Peter Tosh,Legalize It
Dawg Yawp,Lost At Sea
Red Hot Chili Peppers,Especially In Michigan
The War On Drugs,Under the Pressure
Smith,Baby It's You
Warpaint,New Song
The Andrews Sisters,Boogie Woogie Bugle Boy
The Secret Sisters,I've Gotta Feeling
The Roches,Big Nothin'
The Shangri-La's,Leader Of The Pack
The Pointer Sisters,Yes We Can Can
Middle Kids,Your Love
The Ramones,Sheena Is A Punk Rocker
Dawes,Roll With The Punches
Cat Stevens,Peace Train
Neil Young,Peace Trail
U2,I Fall Down
Childish Gambino,Redbone
Peter Gabriel,Shock The Monkey
Kings Of Leon,Waste A Moment
Material Issue,Valerie Loves Me
Dave Hause,Wild Love
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Air,All I Need
The Bob Seger System,Ramblin' Gamblin' Man
Thin Lizzy,Dancing In The Moonlight
The xx,On Hold
Red Hot Chili Peppers,Go Robot
Graham Parker,Stupefaction
The Figgs,The Go Getter
Michael Kiwanuka,Love & Hate
The Black Keys,Everlasting Light
Ron Gallo,"Young Lady, You're Scaring Me"
Psychedelic Furs,Heaven
The Flaming Lips,The Castle
Mondo Cozmo,Shine
Ray Lamontagne,You Can Bring Me Flowers
case/lang/veirs,Best Kept Secret
Sharon Jones And The Dap-Kings,Inspiration Information
Sharon Jones And The Dap-Kings,100 Days 100 Nights
Joni Mitchell,Raised On Robbery
Ani DiFranco,Wish I May
Kaki King,Playing With Pink Noise
St. Vincent,Birth In Reverse
Sleater-Kinney,A New Wave
Susan Tedeschi,Gonna Move
Bonnie Raitt,Thing Called Love
Bonnie Raitt,Thing Called Love
Joan Jett,I Love Rock & Roll (early single version)
The Pretenders,Tattooed Love Boys
Milky Chance,Cocoon
Arcade Fire,Neighborhood #3 (power Out)
Parquet Courts,Dust
Childish Gambino,Redbone
Robert Plant & Alison Krauss,"Gone, Gone, Gone (Done Moved On)"
Oasis,Wonderwall
Amos Lee,Running Out Of Time
Dr. John,Right Place Wrong Time
Dr. John,I Walk On Gilded Splinters
Band Of Horses,Casual Party
The Clash,Should I Stay Or Should I Go?
The Beatles,Ticket To Ride
Maggie Rogers,Alaska
NRBQ,A Little Bit Of Bad
JD McPherson,Let The Good Times Roll
The Rolling Stones,Hate To See You Go
Phish,Breath and Burning
Rhett Miller,Come Around
Bob Marley & The Wailers,Is This Love (Horns Mix)
Jim James,Here In Spirit
The Avett Brothers,Ain't No Man
The Head And The Heart,Rhythm & Blues
Warren Zevon,Nighttime In The Switching Yard
Hot Tuna,I See The Light
Empire Of The Sun,High And Low
Fleet Foxes,Blue Ridge Mountains
Tame Impala,Elephant
Jackson Browne,Lives In The Balance
Rag 'N' Bone Man,Human
The Hooters,And We Danced
Dawes,If I Wanted Someone
The Airborne Toxic Event,Sometime Around Midnight
Brenton Wood,Gimme Little Sign
Flight Of The Conchords,The Most Beautiful Girl In The Room
Mayer Hawthorne,Someone Like You
Joan Baez,Forever Young
David Gray,Please Forgive Me
Frank Ocean,Pink + White
Amanda Shires,When You're Gone
The Lumineers,Cleopatra
Joseph,SOS (Overboard)
The Frightnrs,Nothing More To Say
Sharon Jones And The Dap-Kings,Stranger to My Happiness
Amy Winehouse,October Song
Hamilton Leithauser + Rostam,A 1000 Times
Brent Cobb,Solving Problems
Tedeschi Trucks Band,Part of Me
Darlingside,1979
Dobie Gray,Drift Away
Car Seat Headrest,Vincent
The Pretenders,Holy Commotion
Leonard Cohen,You Want It Darker
Sugarcubes,Birthday
Bjork,It's Oh So Quiet
Bjork,It's Oh So Quiet
Bash & Pop,On The Rocks
Post War Dream,Fading In
Sylvan Esso,Radio
Kings Of Leon,Waste A Moment
Sturgill Simpson,Brace For Impact
Nick Waterhouse,Katchi
Sharon Jones And The Dap-Kings,I'm Still Here
U2,Trip Through Your Wires
Aaron Lee Tasjan,Little Movies
Dawg Yawp,Lost At Sea
Fionn Regan,Hunter's Map
Vampire Weekend,Holiday
The Record Company,Rita Mae Young
Ron Gallo,"Young Lady, You're Scaring Me"
Local Natives,Fountain of Youth
Foxygen,Follow The Leader
Mondo Cozmo,Shine
Simon & Garfunkel,America
Whitney,No Matter Where We Go
Dusty Springfield,I Only Want To Be With You
Nik Greeley & The Operators,Stars
The Wallflowers,One Headlight
Loamlands,Little River
Michael Kiwanuka,Love & Hate
Solange,Cranes In The Sky
Sharon Jones,Wild Horses
Talking Heads,Take Me To The River
Sting,I Can't Stop Thinking About You
Neil Young,Peace Trail
Crosby Stills & Nash,Marrakesh Express
Bell X1,The Great Defector
Death Cab For Cutie,I Will Possess Your Heart
Lotus,Eats The Light
Billy Bragg & Wilco,California Stars
Roy Orbison,In Dreams
Norah Jones,Flipside
Steely Dan,Haitian Divorce
Robert Palmer,Every Kind Of People
Warpaint,New Song
Dirty Projectors,Stillness Is The Move
Belle & Sebastian,"Get Me Away From Here, I'm Dying"
The Shins,Dead Alive
Joan Osborne,St. Theresa
Pete Yorn,Life On A Chain
Milky Chance,Cocoon
The Story,So Much Mine
Mountain,Never In My Life
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
The Crickets,That'll Be The Day
Lissie,In Sleep
Maggie Rogers,Alaska
Natalie Merchant,Wonder
Robert Cray,Don't Be Afraid Of The Dark
Passion Pit,Little Secrets
Luna,California (All The Way)
Hiss Golden Messenger,Biloxi
Lyle Lovett,I've Been To Memphis
Peter Himmelman,"Woman With The Strength of 10,000 Men"
The J. Geils Band,Ain't Nothin' But A Houseparty
Ryan Adams,Goodnight Rose
Black Joe Lewis & The Honeybears,I'm Broke
Hoots & Hellmouth,Diction
Robin Trower,Little Bit Of Sympathy
The Jam,The Bitterest Pill
Chris Whitley,Big Sky Country
Red Hot Chili Peppers,Go Robot
Lake Street Dive,Close to Me
Supertramp,Give A Little Bit
Jules And The Polar Bears,You Just Don't Wanna Know
Live,Pain Lies On The Riverside
Karla Bonoff,Home
Delta Spirit,California
Aretha Franklin,Sweet Sweet Baby
Middle Kids,Your Love
Citizen Cope,Son's Gonna Rise
Blondie,The Tide Is High
Coldplay,Lovers In Japan
Valerie June,Astral Plane
The Doors,The Unknown Soldier
Pearl Jam,Glorified G
Counting Crows,Rain King
Emerson Lake & Palmer,Lucky Man
Amos Lee,Running Out Of Time
Amos Lee,Running Out Of Time
Haircut One Hundred,Favourite Shirts (Boy Meets Girl)
Los Lobos,Come On Let's Go
Jim James,Here In Spirit
Carsie Blanton,Ravenous
Snow Patrol,Chasing Cars
Kyle Craft,Eye Of A Hurricane
The Flaming Lips,The Castle
Otis Redding,I've Been Loving You Too Long
Lucinda Williams,Changed The Locks
Phish,Breath and Burning
Depeche Mode,People Are People
Childish Gambino,Redbone
Indigo Girls,What Are You Like
The Dean Ween Group,Mercedes Benz
Sea Level,Rain In Spain
Young-Holt Unlimited,Soulful Strut
Dawes,Roll With The Punches
The Rolling Stones,Just Your Fool
The Godfathers,If I Only Had Time
Van Morrison,Days Like This
U2,An Cat Dubh/Into The Heart
Gomez,Revolutionary Kind
Don Henley,Sunset Grill
Politicians,Free Your Mind
