Artist,Title
Dante Bucci,HangFunk
Zee Avi,"Don't Worry, Be Happy"
Kate & Anna McGarrigle,Love Is
John Fahey,Hill High Blues
Pete Seeger,If I Had A Hammer (the Hammer Song)
Carolina Chocolate Drops,Hit 'Em Up Style
Dom Flemons,But They Got It Fixed Right On
Roscoe Holcomb,Darlin Corey
Karen Dalton,Katie Cruel
Leon Russell,A Song For You
The Belle Hollows,Careful How You Break My Heart
Cricket Tell the Weather,Briar
The End of America,Fighters
Leonard Cohen,"So Long, Marianne"
Leonard Cohen,You Want It Darker
Buffy Sainte-Marie,Cod'ine
Billy Bragg & Joe Henry,The L&N Don't Stop Here Anymore
Ani DiFranco,Deportee
Sturgill Simpson,Turtles All The Way Down
Hillfolk Noir,Hard Times
Brandi Carlile,The Eye
Shovels & Rope,St. Anne's Parade
Bob Dylan,Desolation Row
M83,The Wizard
M. Ward,Duet For Guitars #2
Lucinda Williams,Something About What Happens When We Talk
Valerie June,Astral Plane
Bonnie Raitt,Gypsy In Me
The Who,Baba O'Riley
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Phish,Breath and Burning
Arcade Fire,Ready To Start
The Beatles,Taxman
Foxygen,Follow The Leader
Nirvana,Lithium
Nirvana,Lithium
Suicide,Dream Baby Dream
The xx,On Hold
Norah Jones,Flipside
Tom Petty,Into The Great Wide Open
The Flaming Lips,The Castle
Honus Honus,Oh No!
Talking Heads,Love - Building On Fire
Ozomatli,(Who Discovered) America?
The Jesus And Mary Chain,Sometimes Always
Brent Cobb,Solving Problems
Dawg Yawp,Lost At Sea
Neko Case,"Hold On, Hold On"
B-52's,Quiche Lorraine
Warpaint,New Song
Maggie Rogers,Alaska
The Kinks,Waterloo Sunset
Kaiser Chiefs,Never Miss A Beat
The Shins,Dead Alive
Frank Ocean,Pink + White
Joan Osborne,Love Is Alive
The Rolling Stones,Hate To See You Go
Michael Kiwanuka,Love & Hate
Joseph,White Flag
Mondo Cozmo,Shine
Pink Floyd,Point Me At The Sky
Josh Ritter,Getting Ready To Get Down
Shocking Blue,Venus
Dawes,Roll With The Punches
Leonard Cohen,Famous Blue Raincoat
Leonard Cohen,I'm Your Man
Sylvan Esso,Radio
Car Seat Headrest,Vincent
Public Image Ltd.,Public Image
Sting,I Can't Stop Thinking About You
Alabama Shakes,Hold On
Carsie Blanton,Ravenous
The Growlers,I'll Be Around
The Verve,Slide Away
Rag 'N' Bone Man,Human
Sam Smith,I'm Not The Only One
Elvis Costello,Beyond Belief
Rachael Yamagata,Over
Darlingside,Go Back
The Pretenders,Kid
The Pretenders,Holy Commotion
Hamilton Leithauser + Rostam,A 1000 Times
Luna,Tiger Lily
Leon Russell,Masters of War (Old Masters)
Marco Benevento,"Seems So Long Ago, Nancy"
Nina Simone,Suzanne
Leon Russell,Cajun Love Song
Leon Russell,I'm So Lonesome I Could Cry
Spelling Reform,Drag Your Horse
Paul & Linda McCartney,Ram On
Leonard Cohen,Leaving the Table
Leonard Cohen,Samson in New Orleans
Bon Iver,___45____
Charley Pride,Just Between You and Me
Lambchop,Howe
Neil Young,Cinnamon Girl
Luke Temple,The Birds of Late December
Leon Russell,A Song for You
Caetano Veloso,It's a Long Way
Seu Jorge,Oh! You Pretty Things
Margaret Glaspy,Somebody to Anybody
Leonard Cohen,Tower Of Song
Leonard Cohen,I Tried to Leave You
Hiss Golden Messenger,Cracked Windshield
Firefall,Dolphin's Lullaby
Devendra Banhart,Linda
Pink Floyd,"Grantchester Meadows (BBC Session, 12 May 1969)"
Itasca,Daylight Under My Wing
Pink Floyd,Embryo (from 'Picnic')
Leonard Cohen,Last Year's Man
Coleman Hawkins and His Orchestra,Body and Soul
Nick Drake,Way to Blue
Cory Hanson,The Unborn Capitalist from Limbo
Shirley Collins,Polly Vaughan
Leonard Cohen,Lady Midnight
Leonard Cohen,Master Song
John Coltrane,Ev'ry Time We Say Goodbye
Norah Jones,Peace
Wilco,Quarters
John Fahey,View (East from the Top of the Riggs Road/B & O Trestle)
Daniel Bachman,Watermelon Slices on a Blue Bordered Plate
Madeleine Peyroux,Dance Me to the End of Love
Roberta Flack,"Hey, That's No Way To Say Goodbye"
John Cale,Hallelujah
Marianne Faithful,For Wanting You
Frank Sinatra,I'll Never Smile Again
Nick Cave and the Bad Seeds,Distant Sky
Lou Reed,Dreamin'
Gil Scott-Heron & Brian Jackson,Winter In America
Richie Havens,Follow
Lily Mae,Amelie
Sean Watkins,I Am Not What You Want
Sara Watkins,The Love That Got Away
Leonard Cohen,Suzanne
Tom Jones,Tower Of Song
William Ackerman,Happy Ending
Willie Nelson,Always On My Mind
Chet Baker,Time After Time
Marian McPartland,Manhattan
Esme Patterson,Guadalupe
Hope Sandoval And The Warm Inventions,The Hiking Song
Leonard Cohen,Famous Blue Raincoat
Sara McLachlan,Blue
Joni Mitchell,The Circle Game
Brad Mehldau,Blame It On My Youth
Eduardo Fernandez,Receurdos de la Alhambra (Tarrega)
Jonathan Biss,"Adagio/Menuetto Allegretto:Piano Sonata No. 1, Op.2, No 1, in F minor"
Markus Reuter/Zero Ohms,Pinnacle
Steve Roach,The Way Forward
Nimanty,The Starry Sky
K Leimer,Districts
Kristopher Oustad,The Sun Maker
Monolith,Manoeuvering Over the Jupiter Monolith
Sphare Sechs,Enceladus: Part 5
Hotel Neon,The Eye's Mind
Chuck van Zyl,Nuclear Winter
Carl Weingarten,Landreth Lights
Dean De Benedictis,Pagoda Tiempo
Steve Hauschildt,Horizon of Appearances
Ian Boddy,As Above So Below
Chuck van Zyl,untitled
Apocyphos/Kammerheit/Atrium Careri,Avenoir
Legiac,Ambikythera Mechanism
Howard Givens & Madhavi Devi,Pathless Passage
Dave Luxton,Swarm
Vangelis,Return to the Void
Jason Sloan,Aleppo
Johann Johannsson,A Sog for Europa
Martin Nonstatic,Bowed Thoughts
Martin Nonstatic,Into the Nebulae
Eyes Cast Down,Fading Angel
Alex Somers,Remembering
Lingura Lustra,Cloudsong
Marconi Union,Remnants/Shadow Scheme (Radio Edit One)
Solaris,Solaria
Pollard/Daniel/Booth,Toward That Moment (edit)
Rene de Bakker,Day Dream
Neuronium,Ionic Shadows (edit)
Forma,Collapse of Materialists 2
loscil,Drained Lake
Cosmic Ground,Monochrome Ritual
Chuck van Zyl,Until the Kingdom Comes: Part 4
