Artist,Title
John Coltrane & Milt Jackson,The Late Late Blues
Bobby Rush,Snake In The Grass
Andy T,Nick Nixon Band - Drink Drank Drunk
Mose Allison,"Some Right, Some Wrong"
Joe Louis Walker,Stick A Fork In Me Baby
Nancy Wright,Been Waiting That Long
Robert Johnson,I'm A Steady Rollin' Man
Robert Johnson,Ramblin' On My Mind
Jimmy Thackery & The Drivers,I Even Lost The Blues
Toronzo Cannon,Walk It Off
Furry Lewis,Billy Lyons And Stack O'Lee
Clara Smith,You Don't Know My Mind
Alexis P. Suter Ministers Of Sound,A Change Is Gonna Come
Lonnie Brooks,Cold Lonely Night
Muddy Waters,I'm Ready
Vaneese Thomas,Sat'day Night On The River
Eddie Shaw & The Wolf Gang,Howling For My Darling
Barbara Dennerlein,Black And White
Luther Allison,All The King's Horses
Johnnie Temple,Louise Louise Blues
The Fabulous Thunderbirds,Meet Me On The Corner
Slim Harpo,Strange Love
Mississippi Heat,Don't Mess Up A Good Thing
Cedric Burnside Project,Don't Shoot The Dice
R. L. Burnside,Bad Luck City
"Kenny ""Blues Boss"" Wayne",I'm Comin' Home
Ted Taylor,Everywhere I Go
Joanna Connor,Swamp Swim
Bessie Smith,Back Water Blues
Lurrie Bell,Blues Is Trying To Keep Up With Me
Shari Puorto,What's The Matter  With The World?
Albert King,The Hunter
JJ Thames,Bad Man
Mississippi Heat,Life Is Too Short
Fenton Robinson,Somebody Loan Me A Dime
Alexis P. Suter Ministers Of Sound,Wade In The Water
Little Milton,If You Talk In Your Sleep
Lil' Ed & The Blues Imperials,I Like My Hot Sauce Cold
Sugar Ray and The Bluetones,Two Hundred Dollars Too Long
Stevie Ray Vaughan,Cold Shot
Ronnie Earl & The Broadcasters,Double Trouble
Albert Collins,A Good Fool Is Hard To Find
Mighty Sam McClain,Bad Dreams
Bobby Rush,Nighttime Gardener
Dogtown Blues Band,Easy Baby
Blind Lemon Jefferson,Dry Southern Blues
Robert Johnson,Love In Vain Blues
Bo Diddley,Before You Accuse Me
Trudy Lynn,Down On Bended Knee
Dr. John,I Walk On Guilded Splinters
B. B. King,When It All Comes Down (I'll Still Be Around)
Alexis P. Suter Ministers Of Sound,Didn't It Rain
Catherine Russell,I Want A Man
H-Bomb Ferguson,"Love Her, Don't Shove Her"
Billy Seward,Strange How I Miss You
Irene Reid,Aiming At Nothing
Mose Allison,Your Mind Is On Vacation
Teresa James & The Rhythm Tramps,What Happens In Vegas
Lurrie Bell,Sinner's Prayer
Frank Bey & Anthony Paule Band,Still Called The Blues
Joe Louis Walker,Rollin' & Tumblin'
Robert Johnson,If I Had Possession Over Judgment Day
Robert Johnson,Phonograph Blues
Grady Champion,Life Support
Lene Lovich,Lucky Number
Arcade Fire,Reflektor
Muddy Waters,I'm Ready
Rod Stewart,Every Picture Tells A Story
Kings Of Leon,On Call
Prince,1999
Prince,1999
Counting Crows,Anna Begins
Joseph,SOS (Overboard)
G Love & Special Sauce,I-76
The Spinners,Could It Be I'm Falling In Love
Mayer Hawthorne,Someone Like You
Red Hot Chili Peppers,Dani California
The Smiths,How Soon Is Now
Al Green,Look What You've Done For Me
Childish Gambino,Redbone
The Band,Life Is A Carnival
Ryan Adams,Answering Bell
John Mayer,Love on the Weekend
Brent Cobb,Solving Problems
R. E. M.,It's The End Of The World As We Know It (And I Feel Fine)
Jamestown Revival,Love Is A Burden
Bonnie Raitt,I Know
Gary Clark Jr.,Bright Lights
The Rolling Stones,Ain't Too Proud To Beg
Spoon,Anything You Want
Electric Light Orchestra,Strange Magic
Foxygen,Follow The Leader
Matthew Sweet,Girlfriend
The Head And The Heart,All We Ever Knew
The White Stripes,Seven Nation Army
Talking Heads,(Nothing But) Flowers
Of Monsters And Men,Love Love Love
Milky Chance,Cocoon
The Righteous Brothers,(You're My) Soul and Inspiration
Radiohead,15 Step
Lo Moon,Loveless
David Gray,Enter Lightly
Ray Charles,Busted
Norah Jones,Flipside
The Temptations,(I Know) I'm Losing You
Sturgill Simpson,Brace For Impact
Wilco,Impossible Germany
Steely Dan,Black Cow
Neil Young,Cinnamon Girl
Florence And The Machine,Lover To Lover
Rag 'N' Bone Man,Human
The Velvet Underground,Pale Blue Eyes
Sufjan Stevens,Chicago
Sufjan Stevens,Chicago
Bruce Springsteen,Jungleland
Little Feat,Dixie Chicken
Allen Toussaint,Yes We Can Can
Robert Palmer,Work To Make It Work
Johnny Cash,Hurt
U2,"Stay (faraway, So Close)"
Jane's Addiction,Jane Says
Hall & Oates,All You Want Is Heaven
The xx,On Hold
Bobby Byrd,I Know You Got Soul
Sharon Jones And The Dap-Kings,"Pick It up, Lay It in the Cut"
Fleet Foxes,He Doesn't Know Why
First Aid Kit,Stay Gold
Dr. John,Right Place Wrong Time
Dawes,One Of Us
Traffic,Shootout At The Fantasy Factory
The Rolling Stones,Dance Little Sister
Gorillaz,Clint Eastwood
The Clash,Hitsville U.k.
Jesse Colin Young,Ridgetop
Nick Waterhouse,Katchi
Little Richard,Tutti Frutti
Ron Gallo,"Young Lady, You're Scaring Me"
Ray Lamontagne,Be Here Now
Michael Kiwanuka,Love & Hate
Nick Lowe,(I Love The Sound Of) Breaking Glass
Nick Lowe,(I Love The Sound Of) Breaking Glass
Arctic Monkeys,Red Light Indicates Doors Are Secure
Foals,What Went Down
Maggie Rogers,Alaska
Jose Gonzalez,Heartbeats
Jackson Browne,Sing My Songs To Me/for Everyman
Leif Vollebekk,All Night Sedans
The Black Keys,Howlin' For You
The Pretenders,Tattooed Love Boys
Spacemen 3,Walkin' with Jesus
Mondo Cozmo,Shine
World Party,What Is Love All About
Flo Morrissey & Matthew E. White,Look At What The Light Did Now
Elvis Costello,Blame It On Cain
Chuck Prophet,Bad Year for Rock and Roll
Solange,Cranes In The Sky
Stevie Wonder,Ribbon In The Sky
Bee Gees,I've Got To Get A Message To You
Karl Blau,Fallin' Rain
Tom Ball & Kenny Sultan,When The Fire Burns Low
Hot Tuna,Ain't Got No Home
Sara Low,Old Friends
Slaid Cleaves,November Skies
David Mauk,November
Sandy Denny,Late November
Raymond Gonzalez & Amy Malkoff,Locked Away
The Refugees,Save The Best For Last
Kim Robertson,"By Love, And By Beauty"
The Boxcar Lilies,Home
Mary Chapin Carpenter,Thanksgiving Song
2 Cellos,Benedictus
Richard Shindell,On A Sea Of Fleur De Lis
Yo La Tengo,I Feel Like Going Home
Carolyn Southworth,Safe Harbor
Everything But The Girl,Come On Home
Bill Horist & Sam Mickens,Things Behind The Sun
Nick Drake,Time Of No Reply
Donovan,Colours
Alisa Weilerstein,"Silent Woods, op. 68 no. 5"
Lucy Wainwright Roche,A Quiet Line
Kath Buckell,No Foe Shall Gather Our Harvest
Neil Young,Harvest Moon
The 6ths,Waltzing Me All The Way Home
The Dease & Rease Project,Going Home
Eileen Ivers,Coming Home
Dan Auerbach,Goin' Home
Bill Douglas,Deep Peace
Pieta Brown,Song For A Friend
Kenny White,The Moon Is Low
David Sylvian,The Healing Place
Scott Cossu with Van Manakas,It's A Wonderful Life
Leonard Cohen,The Stranger Song
Over The Rhine,Called Home
Sara Watkins,Tender Hearted
The Walter Norris Trio,4 Miles
Kate Hammett-Vaughn,Clothes of Sand
Nick Drake,Time Has Told Me
Sonya Heller,Long Way Home
John Sherman,I Am Asleep  ( and Do Not Wake Me)
Derek Bell,Home Is a Green Field
"John Pizzarelli, Jr.",The frim-fram sauce
The Amigos,More Than Friends
Robin Huw Bowen,Sailing Home
Dolly Varden,Favorite Friend
Norman Petty  Trio,A Dream is a Wish Your Heart Makes
Boulder Acoustic Society,Now is the Hour
Oli Rockberger,Never Grow Old
Branford Marsalis,Stardust
Indigo Girls,Everything in its Own Time
The Beatles,It's All Too Much
The Band,Such A Night
Santo & Johnny,Sleepwalk
Tom Petty & The Heartbreakers,No Second Thoughts
David Gilmour,There's No Way Out Of Here
Dire Straits,Espresso Love
The Allman Brothers,Just Ain't Easy
Nick Drake,Been Smoking Too Long
Phil Harris,Smoke! Smoke! Smoke! (That Cigarette)
Otis Redding,Coffee And Cigarettes
Dramarama,Last Cigarette
Liquid Liquid,Cavern
Nick Cave & The Bad Seeds,"There She Goes, My Beautiful World"
The Dream Syndicate,Tell Me When It's Over
B-52's,53 Miles West Of Venus
The Clash,The Call Up
The Monkees,Listen To The Band
Back Street Crawler,The Band Plays On
Paul McCartney & Wings,Band On The Run
Funkadelic,Who Says A Funk Band Can't Play Rock Music
The Kyle Sowashes,Yr Band Flaked Out On Me
Bell X1,A Better Band
Three Dog Night,One Man Band
The Hotrats,E.M.I.
Cake,I Will Survive
Captain Beefheart,Abba Zaba
Tommy James & The Shondells,Crimson & Clover
Honus Honus,Oh No!
Suicide,Dream Baby Dream
The Electric Prunes,I Had Too Much To Dream (Last Night)
Public Image Ltd.,Rise
Darla,"Part 2, Pt. 2"
The Dean Ween Group,Mercedes Benz
William DeVaughn,Be Thankful For What You've Got
Isaac Hayes,Never Can Say Goodbye
Frank Ocean,Pink + White
Allen Toussaint,Night People
Ben Harper & Charlie Musselwhite,I Don't Believe A Word You Say
