Artist,Title
Mighty Sam McClain,Touch Somebody
Denise LaSalle,Your Husband Is Cheatn' On Us
Guitar Slim,Trouble Don't Last
Jimmy Thackery & The Drivers,I Even Lost The Blues
Little Walter,Tell Me Mama
Sugar Ray and The Bluetones,Two Hundred Dollars Too Long
Big Head Blues Club,I Want To Be Loved
Murali Coryell,My Pedal Board
Bruce Katz Band,Bessie's Bounce
Sparky Rucker,Love In Vain
Lil' Ed & The Blues Imperials,Green Light Groove
Big Bill Broonzy,I Can't Be Satisfied
Shemekia Copeland,"Lord, Help The Poor And Needy"
David Bromberg,Kentucky Blues
Little Mike,Smokin'
Sonny Rhodes,Blues Is My Religion
Dr. John,I Walk On Guilded Splinters
Catherine Russell,I Want A Man
James Cotton,Diggin' My Potatoes
Donald Ray Johnson & Gas Blues Band,She's Dressing Trashy
Robert Johnson,Stop Breakin' Down Blues
Rory Block,Back To Memphis
Z. Z. Hill,Someone Else Is Steppin' In
John Primer,Hungry Country Girl
Johnny Copeland,Down On Bended Knee
Trudy Lynn,Down On Bended Knee
Tas Cru,Tired Of Bluesmen Cryin'
Stevie Ray Vaughan,Pride And Joy
Big Head Blues Club,You Need Love
Nighthawks,Nothin' But The Blues
Kat Riggins,Blues Is The New Black
"Kenny ""Blues Boss"" Wayne",Bankrupted Blues
Muddy Waters,You Can't Lose What You Ain't Never Had
Lil' Ed & The Blues Imperials,I Like My Hot Sauce Cold
Percy Mayfield,I Don't Want To Be President
Bobby Rush,Me Myself And I
Roosevelt Sykes,Night Time Is The Right Time
Joey Gilmore Band,Night Time Is The Right Time
Annika Chambers,Six Nights And A Day
Jimi Hendrix,Hear My Train A Comin'
Barbara Dennerlein,Black And White
Big Head Blues Club,Bring It On Home
Bukka White,Parchman Farm Blues
Rory Block,Parchman Farm Blues
Koko Taylor,Honky Tonky
Trudy Lynn,Honky Tonk Song
Syl & Jimmy Johnson,Uncomplicated Life
Billy Seward,Strange How I Miss You
Lady A,Take Me Back To Seattle
Lady A,Don't Let Your Blues Become A Crime
Mighty Sam McClain,Time And Change
B. B. King,"Roll, Roll, Roll"
Mobile Strugglers,Fattenin' Frogs For Snakes
Magic Sam Blues Band,I Just Want A Little Bit
Vaneese Thomas,The More Things Change
Lurrie Bell,This Worrisome Feeling In My Heart
Little Milton,Casino Blues
Teresa James & The Rhythm Tramps,What Happens In Vegas
Bukka White,The Panama Limited
Rory Block,PANAMA LIMITED
Mississippi Heat,Life Is Too Short
John Primer,Down In The Bottom
Sunnyland Slim,Be Careful How You Vote
Trudy Lynn,Through Chasin' You
Glen Miller,Moonlight Serenade
The Rivieras,Moonlight Serenade
Al Hibler,Eleventh Hour Medley
The Rivieras,Eleventh Hour Medley
The Hilltoppers,P.S. I Love You
Dion DiMucci,P.S. I Love You
The Hilltoppers,Till Then
The Classics,Till Then
The Mills Bros,Once In Awhile
The Chimes,Once In A While
Joni James,Have You Heard
The Duprees,Have You Heard
Joni James,Why Don't You Believe Me
The Duprees,Why Don't You Believe Me
Jo Stafford,You Belong To Me
Duprees,You Belong To Me
Jimmy Durante,September Song
Dion And The Belmonts,September Song
Jo Stafford,All The Things You Are
Dion And The Belmonts,All The Things You Are
Dion And The Belmonts,In The Still Of The Night
The Flamingos,In The Still Of The Night
Warpaint,Undertow
David Bowie,Lazarus
Iggy Pop,Gardenia
Eric Clapton,Willie And The Hand Jive
Divine Fits,Shivers
New Order,Restless
Traffic,Dear Mr. Fantasy
Glen Hansard,Winning Streak
Dinosaur Jr,Repulsion
The Beatles,Yer Blues
Ryan Adams,La Cienega Just Smiled
Beck,Sexxlaws
Talking Heads,Uh-oh Love Comes To Town
The Frightnrs,Nothing More To Say
Louis Armstrong,West End Blues
The Temptations,Cloud Nine
Kanye West,Touch The Sky
Nick Waterhouse,Katchi
Roxy Music,Out Of The Blue
Japandroids,Near to the Wild Heart of Life
Pink Floyd,Time
Neutral Milk Hotel,"Holland, 1945"
The Revivalists,Wish I Knew You
George Benson,Breezin'
St. Vincent,Prince Johnny
Jamie xx,Loud Places
Red Baraat,Burning Instinct
Sonny Landreth,Congo Square
EL VY,Return To The Moon
R. E. M.,Carnival Of Sorts (box Cars)
Mark Ronson,Uptown Funk
Fountains Of Wayne,Someone To Love
The Smiths,This Charming Man
ZZ Top,Snappy Kakkie
Band Of Horses,Laredo
Foxygen,Follow The Leader
Chuck Jackson,I Keep Forgettin'
Big Thief,Masterpiece
A Tribe Called Quest,Luck of Lucien
Hamilton Leithauser + Rostam,A 1000 Times
The Pretenders,Holy Commotion
Free,The Stealer
Doyle Bramhall II,Mama Can't Help You
Wilco,Sunken Treasure
Ryan Adams,Rescue Blues
The Raspberries,Overnight Sensation (hit Record)
Big Star,September Gurls
Gorillaz,Feel Good Inc.
Blondie,Heart Of Glass
LCD Soundsystem,Tribulations
Steely Dan,Peg
Minnie Ripperton,Lovin' You
Solange,Cranes In The Sky
The Flaming Lips,The Castle
Tom Petty & The Heartbreakers,Here Comes My Girl
Spoon,The Mystery Zone
The Shangri-La's,Remember (walkin' In The Sand)
Simple Minds,Don't You (forget About Me)
Joseph,SOS (Overboard)
Phish,Tide Turns
Little Feat,Dixie Chicken
The Growlers,I'll Be Around
David Bowie,Beauty And The Beast
The Replacements,The Ledge
Rag 'N' Bone Man,Human
The Clash,Jimmy Jazz
The Specials,"Rudy, A  Message To You"
The Shins,Dead Alive
The Rolling Stones,Hate To See You Go
John Lee Hooker,Boom Boom
Eddie Cochran,Twenty Flight Rock
Earth Wind & Fire,That's The Way Of The World
Mayer Hawthorne,Someone Like You
Dawes,Roll With The Punches
