Artist,Title
Michael Hedges,Arrowhead
The Stranglers,Golden Brown
The Shins,Dead Alive
Sting,I Can't Stop Thinking About You
T Rex,Bang A Gong (Get It On)
Franz Ferdinand,Take Me Out
Honus Honus,Oh No!
Frank Ocean,Pink + White
Siouxsie & The Banshees,Peek-a-boo
Anderson East,Satisfy Me
Doyle Bramhall II,Mama Can't Help You
Arrested Development,Tennessee
The Frightnrs,Nothing More To Say
The Marcus King Band,Ain't Nothing Wrong With That
The Hold Steady,Chips Ahoy!
The Killers,Mr. Brightside
The Smiths,"Please, Please, Please Let Me Get What I Want"
Lord Huron,Time to Run
Jim James,Here In Spirit
Hurry,Fascination
Johnny Winter,Highway 61 Revisited
Dawg Yawp,Lost At Sea
Hiss Golden Messenger,Biloxi
Dave Matthews Band,What Would You Say
Drive-By Truckers,What It Means
Chuck Prophet,Tell Me Anything (Turn To Gold)
The Head And The Heart,Rhythm & Blues
Leonard Cohen,You Want It Darker
George Ezra,Budapest
Thin Lizzy,Dancing In The Moonlight
Dean Jones,Humans Are Still Evolving
Billy Kelly,My First Protest Song
123Andres,Sing Now with Me
Lucy Kalantari,Fantastic Things
Lard Dog & the Band of Shy,Catch That Pretzel
Sugar Free Allstars,Can You Picture That?
Prince,Delirious
Nite-Funk,Let Me Be Me
The Rolling Stones,Just Your Fool
Primal Scream,Come Together
Valerie June,Astral Plane
Lou Reed,Satellite Of Love
Lou Reed,Andy's Chest
Warren Zevon,Johnny Strikes Up The Band
Warren Zevon,Excitable Boy
Emerson Lake & Palmer,Karn Evil 9: 1st Impression - Part 2
"Emerson, Lake & Palmer",Karn Evil 9: 1st Impression - Part 1
The Pretenders,Holy Commotion
Del Amitri,Roll To Me
Lloyd Cole & The Commotions,Perfect Skin
Maggie Rogers,Alaska
Norah Jones,Flipside
Norah Jones,Flipside
The Strangeloves,I Want Candy
Red Hot Chili Peppers,Go Robot
Wilco,Impossible Germany
Brent Cobb,Solving Problems
Talking Heads,Take Me To The River
Shovels & Rope,I Know
Joni Mitchell,The Circle Game
Phil Ochs,Outside Of A Small Circle Of Friends
Billy Preston,Will It Go Round In Circles
R. E. M.,Perfect Circle
Soul Coughing,Circles
Field Report,Home (Leave The Lights On)
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
The Shins,Dead Alive
The Beatles,Abbey Road Medley
Joseph,SOS (Overboard)
Beck,Where It's At
Warpaint,New Song
Of Monsters And Men,Little Talks
Car Seat Headrest,Drunk Drivers/Killer Whales
Kings Of Leon,Waste A Moment
Sheryl Crow,If It Makes You Happy
Loreena McKennitt,All Souls Night
Hoots & Hellmouth,Diction
The Growlers,I'll Be Around
Ben Folds Five,Brick
Bob Weir,Only A River
Andrew Bird,Capsized
Santana,(Da Le) Yaleo
Beach Slang,Spin The Dial
Lenny Kravitz,Always On The Run
Belle & Sebastian,"Step Into My Office, Baby"
Lydia Loveless,Longer
Mondo Cozmo,Shine
Sam Smith,Stay With Me
The Fabulous Thunderbirds,Tuff Enuff
Mudcrutch,Trailer
Sting,All This Time
The Peace Creeps,Fashions for the Fall
Culture Club,Time (Clock Of The Heart)
The Outsiders,Time Won't Let Me
Alabama Shakes,How Many More Times
Ambrosia,Time Waits For No One
Ambrosia,Time Waits For No One
Minus The Bear,My Time
The Zombies,Time Of The Season
Sting,I Can't Stop Thinking About You
Gary Clark Jr.,The Healing
The Doobie Brothers,Takin' It To The Streets
John Mellencamp,Lonely Ol' Night
Joseph,SOS (Overboard)
Elvis Costello,Accidents Will Happen
EL VY,Return To The Moon
The Rolling Stones,Just Your Fool
Colvin & Earle,You're Right (I'm Wrong)
Bon Iver,"33 ""GOD"""
Bon Iver,8 (circle)
Nick Waterhouse,Katchi
The Who,Behind Blue Eyes
Roxy Music,Dance Away
Car Seat Headrest,Drunk Drivers/Killer Whales
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
The Meters,What'cha Say
John Mayer,Vultures
Kings Of Leon,Waste A Moment
Lotus,Eats The Light
Red Hot Chili Peppers,Dark Necessities
The Flaming Lips,The Castle
Chris Stapleton,Tennessee Whiskey
Minnie Driver,Stars & Satellites
Blood Sweat & Tears,Spinning Wheel
Lizanne Knott,Sweet Thing
Yo La Tengo,Be Thankful For What You Got
Chris Whitley,Poison Girl
Marc Broussard,Respect Yourself
The Temptations,I Can't Get Next To You
Fitz & The Tantrums,Out Of My League
Fiona Apple,Fast As You Can
Drive-By Truckers,What It Means
Steely Dan,Night by Night
George Harrison,Dark Horse
Van Morrison,Too Late
Car Seat Headrest,Vincent
Warpaint,New Song
Daft Punk,One More Time
Sufjan Stevens,Chicago
Wilco,"Jesus, Etc."
Norah Jones,Flipside
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Echo & The Bunnymen,The Killing Moon
Rufus Wainwright,Out of the Game
Little Walter,Juke
The Rolling Stones,Hate To See You Go
The Police,So Lonely
The Frightnrs,Nothing More To Say
Amanda Shires,When You're Gone
k. d. lang,Luck In My Eyes
Karl Blau,Fallin' Rain
Margaret Glaspy,You & I
Mondo Cozmo,Shine
Sharon Jones And The Dap-Kings,I'm Still Here
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old
The Decemberists,The Engine Driver
James Taylor,Something In The Way She Moves
Brent Cobb,Solving Problems
Creedence Clearwater Revival,It Came Out Of The Sky
Creedence Clearwater Revival,Down On The Corner
Darlingside,1979
The Lion's Paw,Love
Jimmy Cliff,The Harder They Come
Ween,Blue Balloon
Whitney,No Matter Where We Go
Suzanne Vega,We Of Me
The Yardbirds,For Your Love
The Shelters,Rebel Heart
Jim James,Here In Spirit
Tame Impala,"New Person, Same Old Mistakes"
New Order,Love Vigilantes
The Pretenders,Holy Commotion
Mayer Hawthorne,Reach Out Richard
Nite-Funk,Let Me Be Me
Middle Kids,Your Love
The Jayhawks,Waiting For The Sun
Parquet Courts,Dust
The Shins,Dead Alive
Foo Fighters,Learn To Fly
The Head And The Heart,Rhythm & Blues
Amos Lee,Running Out Of Time
Stevie Wonder,As
Rachael Yamagata,Over
Coldplay,Adventure Of A Lifetime
The War On Drugs,Red Eyes
Sting,I Can't Stop Thinking About You
Florence And The Machine,Shake It Out
Field Report,Home (Leave The Lights On)
Red Hot Chili Peppers,Go Robot
The National,Fake Empire
The La's,There She Goes
American Dinosaur,Sweepstakes
Led Zeppelin,Kashmir
The Wallflowers,Reboot The Mission
The Clash,The Magnificent Seven
The Growlers,I'll Be Around
Sturgill Simpson,Brace For Impact
The Lightning Seeds,Pure
Shovels & Rope,I Know
Frank Ocean,Pink + White
Mungo Jerry,In The Summertime
Bonnie Raitt,Gypsy In Me
Joseph,SOS (Overboard)
Electric Light Orchestra,Evil Woman
Leonard Cohen,You Want It Darker
Leonard Cohen,You Want It Darker
Lotus,Eats The Light
Soup Dragons,Divine Thing
Valerie June,Astral Plane
Hamilton Leithauser + Rostam,A 1000 Times
Del Shannon,Runaway
Dire Straits,So Far Away
Gillian Welch,My First Lover
Norah Jones,Flipside
David Wax Museum,Guesthouse
Deep Forest,Sweet Lullaby
Jane Siberry,Sail Across The Water
Dylan LeBlanc,Cautionary Tale
Modest Mouse,Fire It Up
Blur,Girls And Boys
Lana Del Rey,West Coast
The Jayhawks,She Walks In So Many Ways
Jackson Browne,I'm Alive
The Allman Brothers,Ain't Wastin' Time No More
The Rolling Stones,Just Your Fool
The English Beat,I Confess
Entrain,Dancin' In The Light
Car Seat Headrest,Drunk Drivers/Killer Whales
Preston Reed,Slap Funk
Kaki King,Doing The Wrong Thing
