Artist,Title
Broken Social Scene,Meet Me In The Basement
M83,Ludivine
Gil Scott-Heron,The Revolution Will Not Be Televised
Solange,Cranes In The Sky
Mudcrutch,Trailer
David Gray,Please Forgive Me
Hope Sandoval & The Warm Inventions,Let Me Get There (feat. Kurt Vile)
Honus Honus,Oh No!
Fitz & The Tantrums,Don't Gotta Work It Out
Danny & The Juniors,At The Hop
Nick Waterhouse,Katchi
David Bowie,Heroes
Chuck Prophet,Bad Year for Rock and Roll
Mondo Cozmo,Shine
Dwight Yoakam,Second Hand Heart
Johnny Cash & June Carter Cash,Jackson
The Frightnrs,Nothing More To Say
Jim James,Here In Spirit
Led Zeppelin,Nobody's Fault But Mine
Ty Segall,Orange Color Queen
Car Seat Headrest,Vincent
Joseph Arthur,Even Tho
Joseph Arthur,Even Tho
The Pretenders,Back On The Chain Gang
Middle Kids,Your Love
R. L. Burnside,Rollin' Tumblin' (remix)
Dawg Yawp,Lost At Sea
Norah Jones,Flipside
Norah Jones,Flipside
Leon Russell,Roll Away The Stone
Kyle Craft,Eye Of A Hurricane
Bobby McFerrin,The Wizard Of Oz
Josh & Gab,Living With Grandma
Trout Fishing In America,Big Round World
Aaron Nigel Smith,Take Time in Life
Frances England,Explorer of the World
Tom Chapin,The Picnic Of The World
Justin Roberts,Long As I Got You
Two Of A Kind,Family Tree
New Order,Restless
Red Hot Chili Peppers,Go Robot
Todd Rundgren,It Wouldn't Have Made Any Difference
Dawes,Roll With The Punches
The Rolling Stones,Hate To See You Go
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old
Folk Implosion,Natural One
Darlingside,1979
Alice Cooper,Clones (We're All)
Alice Cooper,I'm Eighteen
Alice Cooper,No More Mr. Nice Guy
Alice Cooper,Be My Lover
Alice Cooper,Under My Wheels
Kings Of Leon,Waste A Moment
Gomez,Get Miles
Ron Gallo,"Young Lady, You're Scaring Me"
The Buckinghams,Don't You Care
Michael Kiwanuka,Love & Hate
Phish,Breath and Burning
Europe,The Final Countdown
Cream,Born Under A Bad Sign
Hamilton Leithauser + Rostam,A 1000 Times
Creedence Clearwater Revival,Sweet Hitch-hiker
Sparks,This Town Ain't Big Enough For The Both Of Us
Spacehog,In the Meantime
Cowboy Junkies,A Common Disaster
Crowded House,Something So Strong
Radiohead,Burn The Witch
Leonard Cohen,True Loves Leaves No Traces
Leonard Cohen,You Want It Darker
Milky Chance,Cocoon
Bob Marley & The Wailers,Could You Be Loved
Chuck Prophet,Bad Year for Rock and Roll
Nik Greeley & The Operators,Stars
Darla,"Part 2, Pt. 2"
Neil Young,Peace Trail
Los Lobos,Peace
M. I. A.,Paper Planes
Sting,I Can't Stop Thinking About You
The Who,Behind Blue Eyes
"Heart Harbor, Jesse Hale Moore, Julia Rainer",A Million Years
Parquet Courts,Dust
Jackson Browne,The Night Inside Me
The Wallflowers,Sleepwalker
The Growlers,I'll Be Around
Passion Pit,The Reeling
A Tribe Called Quest,Movin Backwards
Jim James,Here In Spirit
Tori Amos,Silent All These Years
Dawes,When the Tequila Runs Out
The Flaming Lips,The Castle
Bruce Springsteen,Radio Nowhere
The Replacements,Left Of The Dial
Wall Of Voodoo,Mexican Radio
Elvis Costello,"Radio, Radio"
The Stray Birds,Radio
Joni Mitchell,"You Turn Me On, I'm A Radio"
Queen,Radio Ga Ga
Sylvan Esso,Radio
Rush,The Spirit Of Radio
The Ramones,Do You Remember Rock N' Roll Radio?
Brent Cobb,Solving Problems
Sharon Jones And The Dap-Kings,Stranger to My Happiness
Steve Winwood,The Finer Things
