Artist,Title,Air Time
Faces,Stay With Me,2020-12-13 19:56:00
Foghat,Slow Ride,2020-12-13 19:47:00
Four Tops,Bernadette,2020-12-13 19:44:00
Lucinda Williams,Right In Time,2020-12-13 19:39:00
The Moody Blues,Question,2020-12-13 19:32:00
Prince,I Wanna Be Your Lover,2020-12-13 19:30:00
Stevie Wonder,Knocks Me Off My Feet,2020-12-13 19:26:00
Steely Dan,Black Cow,2020-12-13 19:20:00
U2,In God's Country,2020-12-13 19:17:00
Van Morrison,Days Like This,2020-12-13 19:14:00
The Doors,Peace Frog,2020-12-13 19:09:00
The Clash,Clampdown,2020-12-13 19:05:00
The Eagles,Take It To The Limit,2020-12-13 19:00:00
The Ramones,Sheena Is A Punk Rocker,2020-12-13 18:57:00
Built To Spill,Carry The Zero,2020-12-13 18:50:00
Peter Gabriel,Biko,2020-12-13 18:43:00
Van Morrison,Sweet Thing,2020-12-13 18:38:00
Wilco,Handshake Drugs,2020-12-13 18:32:00
? & The Mysterians,96 Tears,2020-12-13 18:27:00
The Beatles,Hey Bulldog,2020-12-13 18:24:00
The Box Tops,The Letter,2020-12-13 18:22:00
David Bowie,Wild Is The Wind,2020-12-13 18:16:00
Dire Straits,Skateaway,2020-12-13 18:08:00
Metallica,One,2020-12-13 18:01:00
Mary Hopkin,Those Were The Days,2020-12-13 17:55:00
Neil Young & Crazy Horse,Thraser,2020-12-13 17:48:00
Son Volt,Windfall,2020-12-13 17:45:00
Stevie Wonder,Ribbon In The Sky,2020-12-13 17:39:00
The Rolling Stones,It's Only Rock'n Roll (But I Like It),2020-12-13 17:34:00
The Youngbloods,Get Together,2020-12-13 17:29:00
War,Low Rider,2020-12-13 17:25:00
Nine Inch Nails,Closer,2020-12-13 17:19:00
The Clash,Know Your Rights,2020-12-13 17:15:00
Genesis,The Carpet Crawlers,2020-12-13 17:10:00
The Notorious B. I. G,Hypnotize,2020-12-13 17:05:00
Jimi Hendrix,Bold As Love,2020-12-13 17:00:00
Cocteau Twins,Carolyn's Fingers,2020-12-13 16:57:00
Billy Joel,You're My Home,2020-12-13 16:53:00
Boston,Peace of Mind,2020-12-13 16:48:00
Chris Bell,I Am The Cosmos,2020-12-13 16:44:00
Devon Gilfillian,The Good Life,2020-12-13 16:39:00
Courtney Barnett,Avant Gardener,2020-12-13 16:34:00
Dr. John,Right Place Wrong Time,2020-12-13 16:31:00
Jason Isbell,Relatively Easy,2020-12-13 16:26:00
Frank Sinatra,That's Life,2020-12-13 16:22:00
Jim Croce,Operator,2020-12-13 16:19:00
Peter Gabriel,Games Without Frontiers,2020-12-13 16:15:00
Strawbs,Lay Down,2020-12-13 16:08:00
U2,Running To Stand Still,2020-12-13 16:04:00
Warren Zevon,Roland The Headless Thompson Gunner,2020-12-13 16:00:00
Herbie Hancock,Chameleon,2020-12-13 15:44:00
Led Zeppelin,The Rover,2020-12-13 15:36:00
The Clash,Lost In The Supermarket,2020-12-13 15:33:00
The Beatles,Ticket To Ride,2020-12-13 15:28:00
The Moody Blues,Tuesday Afternoon,2020-12-13 15:24:00
The Alan Parsons Project,Eye In The Sky,2020-12-13 15:19:00
Funkadelic,Maggot Brain,2020-12-13 15:08:00
Led Zeppelin,Misty Mountain Hop,2020-12-13 15:03:00
Elvis Costello,Beyond Belief,2020-12-13 15:00:00
Dobie Gray,Drift Away,2020-12-13 14:56:00
Janelle Monae,Make Me Feel,2020-12-13 14:52:00
John Prine,Lake Marie,2020-12-13 14:46:00
London Symphony Orchestra,"Symphony No.9 In D Minor, Op. 125 ""Choral"": Ode to Joy",2020-12-13 14:41:00
The Band,King Harvest,2020-12-13 14:36:00
Bob Dylan,Isis,2020-12-13 14:30:00
Prince,Controversy,2020-12-13 14:26:00
The Postal Service,Such Great Heights,2020-12-13 14:20:00
Grateful Dead,Throwing Stones,2020-12-13 14:13:00
Bobby Womack,Across 110th Street,2020-12-13 14:08:00
Genesis,Watcher Of The Skies,2020-12-13 14:00:00
Dion,The Wanderer,2020-12-13 13:57:00
The Beatles,Fixing A Hole,2020-12-13 13:53:00
Badfinger,Day After Day,2020-12-13 13:49:00
Led Zeppelin,Battle Of Evermore,2020-12-13 13:44:00
Hot Tuna,Water Song,2020-12-13 13:37:00
Grateful Dead,Brokedown Palace,2020-12-13 13:33:00
The Five Stairsteps,O-O-H Child,2020-12-13 13:30:00
Led Zeppelin,Heartbreaker,2020-12-13 13:25:00
Arcade Fire,Neighborhood #1 (tunnels),2020-12-13 13:19:00
Arcade Fire,Ready To Start,2020-12-13 13:15:00
Beck,Loser,2020-12-13 13:11:00
David Bowie,Fame,2020-12-13 13:06:00
Fleetwood Mac,Tusk,2020-12-13 13:03:00
Bob Marley & The Wailers,One Love / People Get Ready,2020-12-13 13:00:00
Robert Palmer,Addicted To Love,2020-12-13 12:55:00
Creedence Clearwater Revival,Bad Moon Rising,2020-12-13 12:52:00
The Pretenders,I'll Stand by You,2020-12-13 12:48:00
David Bowie,China Girl,2020-12-13 12:44:00
Talking Heads,(Nothing But) Flowers,2020-12-13 12:37:00
The Rolling Stones,Start Me Up,2020-12-13 12:34:00
Bruce Springsteen,For You,2020-12-13 12:28:00
Mumford & Sons,Little Lion Man,2020-12-13 12:24:00
Neil Young,Sugar Mountain,2020-12-13 12:19:00
Low Cut Connie,Private Lives,2020-12-13 12:13:00
The Meters,It Ain't No Use,2020-12-13 12:01:00
Eric Clapton,Wonderful Tonight,2020-12-13 11:56:00
Roy Orbison,"Oh, Pretty Woman",2020-12-13 11:54:00
Led Zeppelin,Tangerine,2020-12-13 11:49:00
The Beatles,I Will,2020-12-13 11:47:00
Elton John,Love Song,2020-12-13 11:44:00
Joe Jackson,Steppin Out,2020-12-13 11:39:00
Emmylou Harris,Red Dirt Girl,2020-12-13 11:35:00
The Kinks,Sunny Afternoon,2020-12-13 11:31:00
Genesis,Cinema Show,2020-12-13 11:19:00
Blondie,Call Me,2020-12-13 11:10:00
Soft Cell,Tainted Love,2020-12-13 11:07:00
Steely Dan,Do It Again,2020-12-13 11:02:00
John Prine,I Remember Everything,2020-12-13 10:58:00
Dire Straits,So Far Away,2020-12-13 10:51:00
Strawberry Alarm Clock,Incense And Peppermints,2020-12-13 10:48:00
Linda Ronstadt & The Stone Poneys,Different Drum,2020-12-13 10:45:00
Al Green,Tired Of Being Alone,2020-12-13 10:42:00
Kanye West,Touch The Sky,2020-12-13 10:37:00
Joni Mitchell,Court & Spark,2020-12-13 10:34:00
Mark Ronson feat. Amy Winehouse,Valerie,2020-12-13 10:30:00
Nick Drake,Northern Sky,2020-12-13 10:27:00
Pearl Jam,Daughter,2020-12-13 10:23:00
Elton John,Border Song,2020-12-13 10:18:00
Laura Nyro,Save The Country,2020-12-13 10:14:00
Neko Case,"Hold On, Hold On",2020-12-13 10:11:00
Santana,Oye Como Va,2020-12-13 10:06:00
Wilco,Via Chicago,2020-12-13 10:00:00
Thelonious Monk,Round Midnight,2020-12-13 09:57:00
Bruce Springsteen,Land of Hope And Dreams,2020-12-13 09:50:00
EDITH PIAF,"Non, je ne regrette rien",2020-12-13 09:46:00
The Notorious B. I. G,Juicy,2020-12-13 09:41:00
Paul McCartney & Wings,Band On The Run,2020-12-13 09:35:00
Four Tops,Reach Out I'll Be There,2020-12-13 09:32:00
