Artist,Title,Air Time
Robert Palmer,Every Kind Of People,2020-12-12 18:09:00
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),2020-12-12 18:05:00
Gordon Lightfoot,If You Could Read My Mind,2020-12-12 18:01:00
The Hooters,And We Danced,2020-12-12 17:56:00
Portishead,Sour Times,2020-12-12 17:50:00
Johnny Mathis,Misty,2020-12-12 17:46:00
The Kinks,All Day And All Of The Night,2020-12-12 17:44:00
Linda Ronstadt,You're No Good,2020-12-12 17:39:00
Guns n Roses,Paradise City,2020-12-12 17:32:00
The Who,I'm Free,2020-12-12 17:29:00
Emerson Lake & Palmer,From The Beginning,2020-12-12 17:24:00
Buffalo Springfield,Expecting to Fly,2020-12-12 17:20:00
Roy Orbison,In Dreams,2020-12-12 17:18:00
Metallica,Creeping Death,2020-12-12 17:09:00
John Mayall,Room To Move,2020-12-12 17:04:00
Johnny Cash,Sunday Morning Coming Down,2020-12-12 17:00:00
My Morning Jacket,Steam Engine,2020-12-12 16:52:00
Joe Jackson,It's Different For Girls,2020-12-12 16:47:00
Pearl Jam,Elderly Woman Behind The Counter In A Small Town,2020-12-12 16:44:00
The Beach Boys,I Just Wasn't Made For These Times,2020-12-12 16:41:00
Kurt Vile,Pretty Pimpin',2020-12-12 16:35:00
Joan Osborne,What Becomes Of The Brokenhearted,2020-12-12 16:31:00
Roxy Music,If There Is Something,2020-12-12 16:23:00
Stevie Wonder,All Is Fair In Love,2020-12-12 16:19:00
Bob Dylan,You're A Big Girl Now,2020-12-12 16:15:00
Phillip Bailey,Easy Lover,2020-12-12 16:08:00
The Clash,Police On My Back,2020-12-12 16:05:00
TV On The Radio,Wolf Like Me,2020-12-12 16:00:00
The Smiths,The Headmaster Ritual,2020-12-12 15:55:00
Supertramp,School,2020-12-12 15:48:00
Prince,Kiss,2020-12-12 15:45:00
Bruce Springsteen,Girls In Their Summer Clothes,2020-12-12 15:38:00
Counting Crows,Rain King,2020-12-12 15:34:00
Elton John,Bennie and the Jets,2020-12-12 15:28:00
U2,40,2020-12-12 15:25:00
John Lennon,Beautiful Boy (Darling Boy),2020-12-12 15:21:00
David Bowie,Modern Love,2020-12-12 15:17:00
Van Halen,Jump,2020-12-12 15:13:00
Humble Pie,30 Days In The Hole,2020-12-12 15:08:00
The Blue Nile,Tinseltown In The Rain,2020-12-12 15:02:00
Levon Helm,When I Go Away,2020-12-12 14:57:00
Circus Maximus,Wind,2020-12-12 14:46:00
Paul Simon,Under African Skies,2020-12-12 14:43:00
Radiohead,Airbag,2020-12-12 14:35:00
Game Theory,24,2020-12-12 14:33:00
Nathaniel Rateliff,And It's Still Alright,2020-12-12 14:27:00
Natalie Merchant,Ophelia,2020-12-12 14:22:00
The Dells,There Is,2020-12-12 14:19:00
Richard Thompson,Tear Stained Letter,2020-12-12 14:12:00
Tame Impala,Elephant,2020-12-12 14:08:00
Hall & Oates,Rich Girl,2020-12-12 14:06:00
The Velvet Underground,All Tomorrow's Parties,2020-12-12 14:00:00
David Essex,Rock On,2020-12-12 13:56:00
