Artist,Title,Album,Air Time
Rancid,Ruby Soho,And Out Come The Wolves,2022-12-05 23:53:19
Kate Bush,Rubberband Girl,The Red Shoes,2022-12-05 23:47:40
Shawn Colvin,Round Of Blues,Fat City,2022-12-05 23:43:05
Counting Crows,Round Here,August And Everything After,2022-12-05 23:36:58
Van Morrison,Rough God Goes Riding,The Healing Game,2022-12-05 23:30:45
Outkast,Rosa Parks,Aquemini,2022-12-05 23:26:33
Rancid,Roots Radicals,...and Out Come The Wolves,2022-12-05 23:22:42
Beastie Boys,Root Down,Ill Communication,2022-12-05 23:19:02
Alice In Chains,Rooster,Dirt,2022-12-05 23:12:58
Tom Petty,Room At The Top,Echo,2022-12-05 23:06:50
Indigo Girls,Romeo & Juliet,Rites of Passage,2022-12-05 23:02:00
R. L. Burnside,Rollin' Tumblin' (remix),Come On In,2022-12-05 22:57:50
Everything But The Girl,Rollercoaster,Amplified Heart,2022-12-05 22:54:09
Oasis,Roll With It,(What's The Story) Morning Glory?,2022-12-05 22:49:01
Del Amitri,Roll To Me,Twisted,2022-12-05 22:46:48
G. Love & Special Sauce,Rodeo Clowns,Philadelphonic,2022-12-05 22:42:17
Primal Scream,Rocks,Give Out But Don't Give Up,2022-12-05 22:37:42
Oasis,Rock N Roll Star,Definitely Maybe,2022-12-05 22:32:31
The Donnas,Rock N Roll Machine,Jawbreaker Soundtrack,2022-12-05 22:29:40
Poor Righteous Teachers,Rock Dis Funky Joint,Holy Intellect,2022-12-05 22:23:17
Cake,Rock 'n' Roll Lifestyle,Motorcade of Generosity,2022-12-05 22:19:00
The Church,Ripple,Priest=Aura,2022-12-05 22:13:09
Jane's Addiction,Ripple,Deadicated - A Tribute To The Graetful Dead,2022-12-05 22:07:25
Social Distortion,Ring of Fire,Social Distortion,2022-12-05 22:03:25
Dag,Righteous,RIGHTEOUS,2022-12-05 21:59:51
Alanis Morissette,Right Through You,Jagged Little Pill,2022-12-05 21:56:26
Lucinda Williams,Right In Time,Car Wheels On A Gravel Road,2022-12-05 21:50:33
Jesus Jones,"Right Here, Right Now",Doubt,2022-12-05 21:47:27
Fatboy Slim,"Right Here, Right Now","You've Come A Long Way, Baby",2022-12-05 21:42:07
Cassandra Wilson,"Right Here, Right Now",Traveling Miles,2022-12-05 21:35:38
SWV,Right Here,It's About Time,2022-12-05 21:31:53
Joan Osborne,Right Hand Man,Relish,2022-12-05 21:26:56
Little Axe,Ride On,The Wolf That House Built,2022-12-05 21:15:29
Snap!,Rhtyhm Is A Dancer,The Madman's Return,2022-12-05 21:08:57
Mark Germino & The Sluggers,Rex Bob Lowenstein,Radartown,2022-12-05 21:04:08
Gomez,Revolutionary Kind,Liquid Skin,2022-12-05 20:59:47
Los Lobos,Revolution,Colossal Head,2022-12-05 20:56:19
Los Lobos,Reva's House,Kiko,2022-12-05 20:51:46
Wu-Tang Clan,Reunited,Wu-Tang Forever,2022-12-05 20:46:22
Mark Morrison,Return of the Mack,Return of the Mack,2022-12-05 20:42:36
Crooklyn Dodgers 95,Return of the Crooklyn Dodgers,Clockers Soundtrack,2022-12-05 20:37:02
Big Head Todd & The Monsters,Resignation Superman,Beautiful World,2022-12-05 20:32:58
Fugazi,Repeater,Repeater,2022-12-05 20:29:57
The Black Crowes,Remedy,The Southern Harmony & Musical Companion,2022-12-05 20:23:29
Afro Celt Sound System,Release,Volume 2:release,2022-12-05 20:19:12
Warren G,Regulate,Regulate...G Funk Era,2022-12-05 20:15:14
New Order,Regret,Republic,2022-12-05 20:09:58
Green Day,Redundant,Nimrod.,2022-12-05 20:06:39
Nick Cave & The Bad Seeds,Red Right Hand,Let Love In,2022-12-05 20:00:33
Sunny Day Real Estate,Red Elephant,Sunny Day Real Estate,2022-12-05 19:56:47
Basement Jaxx,Red Alert,Remedy,2022-12-05 19:50:39
Lyle Lovett,Record Lady,I Love Everybody,2022-12-05 19:46:35
Digable Planets,Rebirth of Slick (Cool Like Dat),Reachin',2022-12-05 19:40:58
Bikini Kill,Rebel Girl,Pussy Whipped,2022-12-05 19:36:57
PM Dawn,Reality Used To Be A Friend Of Mine,"Of The Heart, Of The Soul And Of The Cross: The Tuopian Experience",2022-12-05 19:32:12
Van Morrison,Real Real Gone,Enlightenment,2022-12-05 19:28:37
Mary J. Blige,Real Love,What's The 411?,2022-12-05 19:23:01
John Hiatt,Real Fine Love,Stolen Moments,2022-12-05 19:18:40
Vigilantes Of Love,Real Down Town,Killing Floor,2022-12-05 19:14:55
Dixie Chicks,Ready To Run,Fly,2022-12-05 19:09:30
Republica,Ready to Go,Republica,2022-12-05 19:04:21
The Fugees,Ready Or Not,The Score,2022-12-05 19:00:35
Richard Thompson,Read About Love,Rumour And Sigh,2022-12-05 18:56:40
Artful Dodger,Re-Rewind (ft. Craig David),Re-Rewind,2022-12-05 18:51:31
Madonna,Ray of Light,Ray of Light,2022-12-05 18:47:06
Hindu Love Gods,Raspberry Beret,Hindu Love Gods,2022-12-05 18:43:19
Dave Matthews Band,Rapunzel,Before These Crowded Streets,2022-12-05 18:36:23
Pavement,Range Life,Crooked Rain Crooked Rain,2022-12-05 18:31:25
Silver Jews,Random Rules,American Water,2022-12-05 18:27:34
Royal Crescent Mob,Ramblin',Midnight Rose's,2022-12-05 18:21:29
Sam Phillips,Raised On Promises,Cruel Inventions,2022-12-05 18:18:27
Counting Crows,Rain King,August And Everything After,2022-12-05 18:14:19
R. E. M.,Radio Song,Out Of Time,2022-12-05 18:09:00
Fountains Of Wayne,Radiation Vibe,Fountains Of Wayne,2022-12-05 18:05:25
The Bottle Rockets,Radar Gun,The Brooklyn Side,2022-12-05 18:00:34
The Flaming Lips,Race For The Prize,The Soft Bulletin,2022-12-05 17:55:58
U.N.K.L.E.,Rabbit In Your Headlights (ft. Thom Yorke),Psyence Fiction,2022-12-05 17:48:32
Garbage,Queer,Garbage,2022-12-05 17:43:57
