Artist,Title,Album,Air Time
Hole,Doll Parts,Live Through This,2023-12-09 16:48:59
Fiona Apple,Sleep To Dream,Tidal,2023-12-09 16:44:59
Pat Benatar,Love Is A Battlefield,Live From Earth,2023-12-09 16:39:38
Joni Mitchell,Song for Sharon,Hejira,2023-12-09 16:30:05
Fleetwood Mac,Everywhere,Tango In The Night,2023-12-09 16:26:24
Patti Smith,Frederick,Wave,2023-12-09 16:23:28
PJ Harvey,Down By The Water,To Bring You My Love,2023-12-09 16:18:47
Tom Tom Club,Genius Of Love,Tom Tom Club,2023-12-09 16:14:14
The Pretenders,Stop Your Sobbing,Pretenders,2023-12-09 16:11:35
Heart,Dog & Butterfly,Dog & Butterfly,2023-12-09 16:06:38
The Breeders,Divine Hammer,Last Splash,2023-12-09 16:02:40
Madonna,Material Girl,Like A Virgin,2023-12-09 15:58:15
Kate Bush,The Man With The Child In His Eyes,The Kick Inside,2023-12-09 15:55:38
Lauryn Hill,Everything Is Everything,The Miseducation Of Lauryn Hill,2023-12-09 15:49:26
Beyonc,Single Ladies,I Am...Sasha Fierce,2023-12-09 15:46:07
Siouxsie & The Banshees,Spellbound,Juju,2023-12-09 15:42:52
Kathleen Edwards,Change the Sheets,Voyageur,2023-12-09 15:36:44
Blondie,Atomic,Eat to the Beat,2023-12-09 15:32:12
Ani DiFranco,Little Plastic Castle,Little Plastic Castle,2023-12-09 15:28:02
Beyonc,Crazy in Love,Dangerously In Love,2023-12-09 15:24:12
Madonna,Ray of Light,Ray of Light,2023-12-09 15:18:16
Dusty Springfield,You Don't Have To Say You Love Me,You Don't Have To Say You Love Me,2023-12-09 15:14:47
Nanci Griffith,Love At The Five & Dime,The Last Of The True Believers,2023-12-09 15:10:15
Alabama Shakes,Hold On,Boys & Girls,2023-12-09 15:04:54
Celine Dion,My Heart Will Go On,Titanic: Music from the Motion Picture,2023-12-09 15:00:23
Minnie Riperton,Lovin' You,Capitol Gold: The Best Of Minnie Ripperton,2023-12-09 14:56:35
Tori Amos,Precious Things,Little Earthquakes,2023-12-09 14:52:11
Aretha Franklin,"Do Right Woman, Do Right Man",I Never Loved A Man The Way I Love You,2023-12-09 14:47:29
Joan Osborne,St. Theresa,Relish,2023-12-09 14:42:16
Sarah McLachlan,Angel,Surfacing,2023-12-09 14:37:48
Lucinda Williams,Drunken Angel,Car Wheels On A Gravel Road,2023-12-09 14:32:35
Sharon Van Etten,Seventeen,Remind Me Tomorrow,2023-12-09 14:28:26
Tracy Chapman,Baby Can I Hold You,Tracy Chapman,2023-12-09 14:25:20
Rilo Kiley,Portions For Foxes,More Adventurous,2023-12-09 14:18:01
Garbage,Stupid Girl,Garbage,2023-12-09 14:13:45
Bonnie Raitt,Love Me Like A Man,Give It Up,2023-12-09 14:10:30
Sade,The Sweetest Taboo,Promise,2023-12-09 14:06:09
Natalie Merchant,Kind & Generous,Ophelia,2023-12-09 14:00:30
Shawn Colvin,Sunny Came Home,A Few Small Repairs,2023-12-09 13:55:41
Cher,Believe,Believe,2023-12-09 13:51:43
The Supremes,You Can't Hurry Love,Greatest Hits,2023-12-09 13:48:57
Japanese Breakfast,Be Sweet,Jubilee,2023-12-09 13:43:54
Alison Krauss,"Baby, Now That I've Found You",Now That I've Found You: A Collection,2023-12-09 13:40:10
Joan Jett And The Blackhearts,I Hate Myself for Loving You,Up Your Alley,2023-12-09 13:35:57
Suzanne Vega,Luka,Solitude Standing,2023-12-09 13:30:00
Taylor Swift,Blank Space,1989 (Taylor's Version),2023-12-09 13:25:57
Brittany Howard,Stay High,Jaime,2023-12-09 13:22:48
Sia,Breathe Me,Six Feet Under - Everything Ends (soundtrack),2023-12-09 13:16:32
