Artist,Title,Album,Air Time
Joan Baez,The Night They Drove Old Dixie Down,Blessed Are...,2023-12-07 10:45:14
Gillian Welch,Elvis Presley Blues,Time (The Revelator),2023-12-07 10:40:27
Wet Leg,Chaise Longue,Wet Leg,2023-12-07 10:37:04
Taylor Swift,exile (featuring bon iver),folklore,2023-12-07 10:30:24
Tammy Wynette,Stand By Your Man,Stand By Your Man,2023-12-07 10:27:38
Garbage,#1 Crush,Romeo + Juliet Soundtrack,2023-12-07 10:23:05
Sneaker Pimps,6 Underground,Becoming X,2023-12-07 10:17:05
PJ Harvey,You Said Something,"Stories From The City, Stories From The Sea",2023-12-07 10:13:55
Cocteau Twins,Heaven Or Las Vegas,Heaven Or Las Vegas,2023-12-07 10:10:11
Alanis Morissette,Head Over Feet,Jagged Little Pill,2023-12-07 10:06:01
Janis Jopline,Maybe,I Got Dem Ol' Kozmic Blues Again Mama!,2023-12-07 10:01:00
Rickie Lee Jones,Chuck E's In Love,Rickie Lee Jones,2023-12-07 09:56:26
Maxine Nightingale,Right Back Where We Started From,Right Back Where We Started From,2023-12-07 09:53:18
Deee-Lite,Groove Is In The Heart,World Clique,2023-12-07 09:47:56
Portishead,Sour Times,Dummy,2023-12-07 09:43:48
"10,000 Maniacs",What's The Matter Here,In My Tribe,2023-12-07 09:38:56
Veruca Salt,Seether,American Thighs,2023-12-07 09:35:41
Beyoncé,Halo,I Am...Sasha Fierce,2023-12-07 09:30:01
Heart,These Dreams,Heart,2023-12-07 09:25:48
Regina Spektor,Fidelity,Begin To Hope,2023-12-07 09:22:04
Cowboy Junkies,Misguided Angel,The Trinity Sessions,2023-12-07 09:15:39
Liz Phair,"6'1""",Exile In Guyville,2023-12-07 09:12:38
PJ Harvey,Dress,Dry,2023-12-07 09:09:14
Kathleen Edwards,Back To Me,Back To Me,2023-12-07 09:05:54
The Supremes,Where Did Our Love Go,Where Did Our Love Go,2023-12-07 09:01:33
The Supremes,Someday We'll Be Together,The Ultimate Collection: Diana Ross & The Supremes,2023-12-07 08:58:18
Sade,Your Love Is King,Diamond Life,2023-12-07 08:54:13
