Artist,Title,Air Time
Utopia,Love Is The Answer,2017-12-05 23:56:00
England Dan & John Ford Coley,Love Is The Answer,2017-12-05 23:51:00
Sweet,Love Is Like Oxygen,2017-12-05 23:43:00
Gary Wright,Love Is Alive,2017-12-05 23:40:00
Linda Ronstadt,Love Is A Rose,2017-12-05 23:37:00
Wings,Love In Song,2017-12-05 23:33:00
Utopia,Love In Action,2017-12-05 23:30:00
Gram Parsons,Love Hurts,2017-12-05 23:26:00
The Doors,Love Her Madly,2017-12-05 23:22:00
Linda Ronstadt,Love Has No Pride,2017-12-05 23:18:00
Bonnie Raitt,Love Has No Pride,2017-12-05 23:14:00
James Taylor,Love Has Brought Me Around,2017-12-05 23:11:00
Diana Ross,Love Hangover,2017-12-05 23:07:00
Edison Lighthouse,Love Grows (Where My Rosemary Goes),2017-12-05 23:04:00
Budgie,Love For You And Me,2017-12-05 23:00:00
L.T.D.,Love Ballad,2017-12-05 22:56:00
Al Green,Love And Happiness,2017-12-05 22:49:00
The Who,Love Ain't For Keeping,2017-12-05 22:47:00
Joan Armatrading,Love & Affection,2017-12-05 22:43:00
John Lennon,Love,2017-12-05 22:39:00
Tom Petty & The Heartbreakers,Louisiana Rain,2017-12-05 22:33:00
Randy Newman,Louisiana 1927,2017-12-05 22:30:00
Toots & The Maytals,Louie Louie,2017-12-05 22:25:00
Motorhead,Louie Louie,2017-12-05 22:22:00
The Ramones,Loudmouth,2017-12-05 22:20:00
Nicolette Larson,Lotta Love,2017-12-05 22:17:00
Neil Young,Lotta Love,2017-12-05 22:14:00
The Clash,Lost In The Supermarket,2017-12-05 22:10:00
Bruce Springsteen,Lost In The Flood,2017-12-05 22:04:00
The Moody Blues,Lost In A Lost World,2017-12-05 22:00:00
The Doobie Brothers,Losin' End,2017-12-05 21:56:00
Linda Ronstadt,Lose Again,2017-12-05 21:50:00
Sly & The Family Stone,Loose Booty,2017-12-05 21:46:00
The Stooges,Loose,2017-12-05 21:43:00
Barry Manilow,Looks Like We Made It,2017-12-05 21:39:00
Bob Weir,Looks Like Rain,2017-12-05 21:32:00
Neil Young,Lookout Joe,2017-12-05 21:28:00
The J. Geils Band,Looking For A Love,2017-12-05 21:24:00
New York Dolls,Looking For A Kiss,2017-12-05 21:21:00
Creedence Clearwater Revival,Lookin' Out My Back Door,2017-12-05 21:18:00
The Boomtown Rats,Lookin' After No. 1,2017-12-05 21:15:00
Al Green,Look What You've Done For Me,2017-12-05 21:12:00
Joe Jackson,Look Sharp,2017-12-05 21:08:00
Neil Young,Look Out For My Love,2017-12-05 21:03:00
David Bowie,Look Back In Anger,2017-12-05 21:00:00
Foreigner,"Long, Long Way From Home",2017-12-05 20:57:00
The Doobie Brothers,Long Train Runnin',2017-12-05 20:54:00
The Beach Boys,Long Promised Road,2017-12-05 20:49:00
The Stills-Young Band,Long May You Run,2017-12-05 20:45:00
The Who,Long Live Rock,2017-12-05 20:42:00
Yes,Long Distance Runaround,2017-12-05 20:38:00
Little Feat,Long Distance Love,2017-12-05 20:36:00
The Hollies,Long Cool Woman (In a Black Dress),2017-12-05 20:32:00
Creedence Clearwater Revival,Long As I Can See The Light,2017-12-05 20:28:00
James Taylor,Long Ago And Far Away,2017-12-05 20:26:00
Waylon Jennings,"Lonesome, On'ry And Mean",2017-12-05 20:22:00
The Velvet Underground,Lonesome Cowboy Bill,2017-12-05 20:20:00
Bee Gees,"Lonely Days, Lonely Nights",2017-12-05 20:15:00
Andrew Gold,Lonely Boy,2017-12-05 20:11:00
The Jam,London Girl,2017-12-05 20:07:00
The Clash,London Calling,2017-12-05 20:04:00
Garland Jeffreys,Lon Chaney,2017-12-05 20:00:00
The Raincoats,Lola,2017-12-05 19:56:00
The Kinks,Lola,2017-12-05 19:52:00
Jethro Tull,Locomotive Breath,2017-12-05 19:47:00
Grover Washington Jr.,Lock It In The Pocket,2017-12-05 19:40:00
Graham Parker,Local Girls,2017-12-05 19:36:00
Bob Dylan And The Band,Lo And Behold,2017-12-05 19:30:00
