Artist,Title,Air Time
DFX2,Emotion,2018-11-30 17:18:00
The Who,Eminence Front,2018-11-30 17:13:00
Mojo Nixon,Elvis Is Everywhere,2018-11-30 17:06:00
King Crimson,Elephant Talk,2018-11-30 17:02:00
The Stone Roses,Elephant Stone,2018-11-30 16:59:00
Icehouse,Electric Blue,2018-11-30 16:51:00
Eddie Grant,Electric Avenue,2018-11-30 16:46:00
The Reivers,Electra,2018-11-30 16:43:00
Killing Joke,Eighties,2018-11-30 16:38:00
Hazel O'Connor,Eighth Day,2018-11-30 16:35:00
Husker Du,Eight Miles High,2018-11-30 16:31:00
Ministry,Effigy,2018-11-30 16:27:00
Stevie Nicks,Edge Of Seventeen,2018-11-30 16:20:00
Paul McCartney and Stevie Wonder,Ebony & Ivory,2018-11-30 16:17:00
Eazy E,Eazy-Duz it,2018-11-30 16:13:00
Sparks,Eaten By The Monster Of Love,2018-11-30 16:08:00
Weird Al Yankovic,Eat It,2018-11-30 16:04:00
"10,000 Maniacs",Eat For Two,2018-11-30 16:00:00
Phillip Bailey,Easy Lover,2018-11-30 15:55:00
Lone Justice,East Of Eden,2018-11-30 15:52:00
Ultramagnetic MC's,Ease Back,2018-11-30 15:48:00
XTC,Earn Enough For Us,2018-11-30 15:45:00
The Gap Band,Early In The Morning,2018-11-30 15:41:00
Wire,Eardrum Buzz,2018-11-30 15:37:00
Everything But The Girl,Each And Every One,2018-11-30 15:33:00
Big Audio Dynamite,E=MC²,2018-11-30 15:27:00
Psychedelic Furs,Dumb Waiters,2018-11-30 15:22:00
Paul Kelly,Dumb Things,2018-11-30 15:20:00
Aerosmith,Dude (Looks Like a Lady),2018-11-30 15:14:00
The Smithereens,Drown In My Own Tears,2018-11-30 15:11:00
Joan Armatrading,Drop The Pilot,2018-11-30 15:07:00
Pearl Harbor & The Explosions,Drivin',2018-11-30 15:02:00
R. E. M.,Driver 8,2018-11-30 14:58:00
The Police,Driven To Tears,2018-11-30 14:55:00
John Hiatt,Drive South,2018-11-30 14:50:00
Stan Ridgway,Drive She Said,2018-11-30 14:46:00
Bruce Springsteen,Drive All Night,2018-11-30 14:36:00
The Cars,Drive,2018-11-30 14:32:00
Todd Rundgren,Drive,2018-11-30 14:27:00
Cabaret Voltaire,Drink Your Poison,2018-11-30 14:19:00
Madonna,Dress You Up,2018-11-30 14:15:00
Bodeans,Dreams,2018-11-30 14:10:00
Midnight Oil,Dream World,2018-11-30 14:05:00
The Plasmatics,Dream Lover,2018-11-30 14:00:00
Suicide,Dream Baby Dream,2018-11-30 13:53:00
George Harrison,Dream Away,2018-11-30 13:48:00
The Damned,Dr. Jekyll And Mr. Hyde,2018-11-30 13:43:00
Men At Work,Dr. Heckyll & Mr. Jive,2018-11-30 13:39:00
Motley Crue,Dr. Feelgood,2018-11-30 13:34:00
Tom Waits,Downtown Train,2018-11-30 13:29:00
Bruce Springsteen,Downbound Train,2018-11-30 13:26:00
Tom Waits,"Down, Down, Down",2018-11-30 13:24:00
Men At Work,Down Under,2018-11-30 13:19:00
Danny & Dusty,Down To The Bone,2018-11-30 13:13:00
The Jesus And Mary Chain,Down On Me,2018-11-30 13:10:00
The Rolling Stones,Down In The Hole,2018-11-30 13:06:00
Nine Inch Nails,Down In It,2018-11-30 13:01:00
Electric Love Muffin,Down Easy,2018-11-30 12:58:00
Eric Clapton,Double Trouble,2018-11-30 12:50:00
Frankie Smith,Double Dutch Bus,2018-11-30 12:43:00
Digital Underground,Doowutchalike,2018-11-30 12:33:00
The Human League,Don't You Want Me,2018-11-30 12:29:00
Simple Minds,Don't You (Forget About Me),2018-11-30 12:25:00
Husker Du,Don't Want To Know If You Are Lonely,2018-11-30 12:22:00
Midnight Oil,Don't Wanna Be The One,2018-11-30 11:57:00
Toni Childs,Don't Walk Away,2018-11-30 11:53:00
Aswad,Don't Turn Around,2018-11-30 11:47:00
Waylon Jennings,"Don't Think Twice, It's Alright",2018-11-30 11:45:00
The Cars,Don't Tell Me No,2018-11-30 11:41:00
Blancmange,Don't Tell Me,2018-11-30 11:38:00
Rick Springfield,Don't Talk To Strangers,2018-11-30 11:34:00
Lou Reed,Don't Talk To Me About Work,2018-11-30 11:32:00
Mickey Jupp,Don't Talk To Me,2018-11-30 11:28:00
"10,000 Maniacs",Don't Talk,2018-11-30 11:23:00
Yarbrough & Peoples,Don't Stop The Music,2018-11-30 11:14:00
Bryan Ferry,Don't Stop The Dance,2018-11-30 11:09:00
Journey,Don't Stop Believin',2018-11-30 11:04:00
The Police,Don't Stand So Close To Me,2018-11-30 11:00:00
Way Of The West,Don't Say That's Just For White Boys,2018-11-30 10:52:00
Lulu Temple,Don't Say No,2018-11-30 10:47:00
Del Fuegos,Don't Run Wild,2018-11-30 10:44:00
Chris Isaak,Don't Make Me Dream About You,2018-11-30 10:40:00
Dennis Edwards,Don't Look Any Further,2018-11-30 10:34:00
They Might Be Giants,Don't Let's Start,2018-11-30 10:31:00
Rickie Lee Jones,Don't Let The Sun Catch You Crying,2018-11-30 10:27:00
Galaxie 500,Don't Let Our Youth Go To Waste,2018-11-30 10:18:00
Elvis Costello,Don't Let Me Be Misunderstood,2018-11-30 10:15:00
Styx,Don't Let It End,2018-11-30 10:13:00
The Go-Betweens,Don't Let Him Come Back,2018-11-30 10:08:00
The Who,Don't Let Go The Coat,2018-11-30 10:05:00
Cinderella,Don't Know What You've Got (Till It's Gone),2018-11-30 09:59:00
Linda Ronstadt/Aaron Neville,Don't Know Much,2018-11-30 09:55:00
R. E. M.,Don't Go Back To Rockville,2018-11-30 09:51:00
Yaz,Don't Go,2018-11-30 09:47:00
Hothouse Flowers,Don't Go,2018-11-30 09:43:00
Peter Gabriel,Don't Give Up,2018-11-30 09:35:00
The Lyres,Don't Give It Up Now,2018-11-30 09:31:00
The Pretenders,Don't Get Me Wrong,2018-11-30 09:27:00
The Kinks,Don't Forget To Dance,2018-11-30 09:23:00
Bob Dylan,Don't Fall Apart On Me Tonight,2018-11-30 09:14:00
Grateful Dead,Don't Ease Me In,2018-11-30 09:11:00
Crowded House,Don't Dream It's Over,2018-11-30 09:05:00
Neil Young,Don't Cry,2018-11-30 09:01:00
Tom Petty,Don't Come Around Here No More,2018-11-30 08:55:00
INXS,Don't Change,2018-11-30 08:48:00
Stan Ridgway,Don't Box Me In,2018-11-30 08:43:00
Public Enemy,Don't Believe The Hype,2018-11-30 08:37:00
Adam & The Ants,Don't Be Square (Be There),2018-11-30 08:33:00
Bobby Brown,Don't Be Cruel,2018-11-30 08:27:00
Robert Cray,Don't Be Afraid Of The Dark,2018-11-30 08:23:00
The Waterboys,Don't Bang The Drum,2018-11-30 08:13:00
Billy Joel,Don't Ask Me Why,2018-11-30 08:10:00
Weather Report,Domino Theory,2018-11-30 08:02:00
Pet Shop Boys,Domino Dancing,2018-11-30 07:57:00
Masters Of Reality,Domino,2018-11-30 07:53:00
Dominatrix,Dominatrix Sleeps Tonight,2018-11-30 07:43:00
Lou Reed,Doin' The Things That We Want To,2018-11-30 07:40:00
"The Jungle Brothers (w/ De La Soul, Queen Latifah, Q-Tip and Monie Love)",Doin' Our Own Dang,2018-11-30 07:34:00
Adam & The Ants,Dog Eat Dog,2018-11-30 07:31:00
KLF,Doctorin The Tardis,2018-11-30 07:27:00
The Thompson Twins,Doctor! Doctor!,2018-11-30 07:23:00
Joan Jett,Do You Wanna Touch Me,2018-11-30 07:16:00
Bow Wow Wow,Do You Wanna Hold Me?,2018-11-30 07:13:00
The Ramones,Do You Remember Rock N' Roll Radio?,2018-11-30 07:09:00
Culture Club,Do You Really Want To Hurt Me,2018-11-30 07:03:00
Billy Idol,Do Not Stand In The Shadows,2018-11-30 07:00:00
The Dirty Dozen Brass Band,Do It Fluid,2018-11-30 06:54:00
Prince,Do It All Night,2018-11-30 06:47:00
The Kinks,Do It Again,2018-11-30 06:43:00
Throwing Muses,Dizzy,2018-11-30 06:38:00
Randy Newman,Dixie Flyer,2018-11-30 06:34:00
1000 Mexicans,Diving For Pearls,2018-11-30 06:30:00
Phish,Divided Sky,2018-11-30 06:14:00
Husker Du,Divide & Conquer,2018-11-30 06:11:00
Rush,Distant Early Warning,2018-11-30 06:04:00
Felt,Dismantled King Is Off The Throne,2018-11-30 06:01:00
The Residents,Diskomo (Remix),2018-11-30 05:56:00
Skafish,Disgracing The Family Name,2018-11-30 05:53:00
Jackson Browne,Disco Apocalypse,2018-11-30 05:48:00
King Crimson,Discipline,2018-11-30 05:42:00
Public Image Ltd.,Disappointed,2018-11-30 05:37:00
The Rolling Stones,Dirty Work,2018-11-30 05:33:00
The Pogues,Dirty Old Town,2018-11-30 05:29:00
David Byrne,Dirty Old Town,2018-11-30 05:24:00
Prince,Dirty Mind,2018-11-30 05:21:00
Michael Jackson,Dirty Diana,2018-11-30 05:16:00
Lou Reed,Dirty Blvd.,2018-11-30 05:13:00
George Kranz,"Din Daa Daa 12""",2018-11-30 05:06:00
The Blow Monkeys,Digging Your Scene,2018-11-30 05:02:00
Hoodoo Gurus,Dig It Up,2018-11-30 04:58:00
U-Men,Dig It A Hole,2018-11-30 04:55:00
Whitney Houston,Didn't We Almost Have It All,2018-11-30 04:49:00
Chris Isaak,Diddley Daddy,2018-11-30 04:45:00
The Who,Did You Steal My Money?,2018-11-30 04:41:00
Van Morrison,Did Ye Get Healed?,2018-11-30 04:36:00
Richard and Linda Thompson,Did She Jump or Was She Pushed?,2018-11-30 04:32:00
Paul Simon,Diamonds On The Soles Of Her Shoes,2018-11-30 04:26:00
INXS,Devil Inside,2018-11-30 04:21:00
The Kinks,Destroyer,2018-11-30 04:16:00
Missing Persons,Destination Unknown,2018-11-30 04:12:00
Adam Ant,Desperate But Not Serious,2018-11-30 04:09:00
U2,Desire,2018-11-30 04:04:00
Talk Talk,Desire,2018-11-30 03:57:00
Gene Loves Jezebel,Desire,2018-11-30 03:53:00
After The Fire,Der Kommisar,2018-11-30 03:49:00
Steve Martin,Dentist!,2018-11-30 03:46:00
The Police,Demolition Man,2018-11-30 03:40:00
Prince,Delirious,2018-11-30 03:36:00
Kate Bush,Deeper Understanding,2018-11-30 03:31:00
B-52's,Deep Sleep,2018-11-30 03:28:00
The Vulgar Boatmen,Decision By The Airport,2018-11-30 03:25:00
The Pixies,Debaser,2018-11-30 03:22:00
Sonic Youth,Death Valley '69,2018-11-30 03:17:00
John Lennon,Dear Yoko,2018-11-30 03:14:00
Willie Nile,Dear Lord,2018-11-30 03:07:00
XTC,Dear God,2018-11-30 03:03:00
Nick Cave & The Bad Seeds,Deanna,2018-11-30 02:59:00
B-52's,Deadbeat Club,2018-11-30 02:55:00
Joy Division,Dead Souls,2018-11-30 02:50:00
Husker Du,Dead Set On Destruction,2018-11-30 02:46:00
Oingo Boingo,Dead Man's Party,2018-11-30 02:40:00
The Pixies,Dead,2018-11-30 02:38:00
The Police,"De Do Do Do, De Da Da Da",2018-11-30 02:33:00
The Pretenders,Day By Day,2018-11-30 02:29:00
The Hooters,Day By Day,2018-11-30 02:26:00
Bruce Springsteen,Darlington County,2018-11-30 02:21:00
Prince & The Revolution,Darling Nikki,2018-11-30 02:17:00
The Jesus And Mary Chain,Darklands,2018-11-30 02:11:00
The Pogues,Dark Streets Of London,2018-11-30 02:07:00
The Blasters,Dark Night,2018-11-30 02:04:00
Bauhaus,Dark Entries,2018-11-30 02:00:00
Strawberry Switchblade,Dark 7,2018-11-30 01:57:00
Weird Al Yankovic,Dare To Be Stupid,2018-11-30 01:53:00
Brigit Novik & M,Danube,2018-11-30 01:49:00
Poster Children,Dangerous Life,2018-11-30 01:47:00
Kenny Loggins,Danger Zone,2018-11-30 01:43:00
The Motels,Danger,2018-11-30 01:40:00
Ultravox,Dancing With Tears In My Eyes,2018-11-30 01:34:00
Generation X,Dancing With Myself,2018-11-30 01:30:00
Lionel Richie,Dancing On The Ceiling,2018-11-30 01:26:00
David Bowie & Mick Jagger,Dancing In The Street,2018-11-30 01:23:00
Bruce Springsteen,Dancing In The Dark,2018-11-30 01:18:00
The Raincoats,Dancing In My Head,2018-11-30 01:13:00
Q-Feel,Dancing In Heaven (Orbital Be-Bop),2018-11-30 01:10:00
Berlin,"Dancing In Berlin 12""",2018-11-30 01:04:00
U2,Dancing Barefoot,2018-11-30 01:00:00
Steve Arrington,Dancin' In The Key Of Life,2018-11-30 00:55:00
