Artist,Title,Air Time
Boys Don't Cry,I Wanna Be A Cowboy,2018-12-02 07:48:00
Roky Erickson & The Aliens,I Walked With A Zombie,2018-12-02 07:45:00
Dead Milkmen,I Walk The Thinnest Line,2018-12-02 07:43:00
Simple Minds,I Travel,2018-12-02 07:36:00
Tiffany,I Think We're Alone Now,2018-12-02 07:31:00
Treat Her Right,I Think She Likes Me,2018-12-02 07:28:00
Merle Haggard,I Think I'll Just Stay Here And Drink,2018-12-02 07:23:00
U2,I Still Haven't Found What I'm Looking For,2018-12-02 07:18:00
The Smiths,I Started Something I Couldn't Finish,2018-12-02 07:14:00
The Untouchables,I Spy (For The FBI),2018-12-02 07:11:00
INXS,"I Send A Message 12""",2018-12-02 07:03:00
Coati Mundi,I Say Hey,2018-12-02 06:59:00
XTC,I Remember The Sun,2018-12-02 06:56:00
Prefab Sprout,I Remember That,2018-12-02 06:51:00
Jason & The Scorchers,I Really Don't Want To Know,2018-12-02 06:46:00
A Flock Of Seagulls,I Ran (So Far Away),2018-12-02 06:40:00
Madness,I Pronounce You,2018-12-02 06:36:00
LL Cool J,I Need Love,2018-12-02 06:19:00
LL Cool J,I Need A Beat,2018-12-02 06:15:00
Phil Collins,I Missed Again,2018-12-02 06:09:00
Modern English,I Melt With You,2018-12-02 06:06:00
The Posies,I May Hate You Sometimes,2018-12-02 06:02:00
Lou Reed,I Love You Suzanne,2018-12-02 05:59:00
Yello,I Love You,2018-12-02 05:54:00
Joan Jett And The Blackhearts,I Love Rock & Roll,2018-12-02 05:52:00
Randy Newman,I Love L.A.,2018-12-02 05:47:00
Kiss,I Love It Loud,2018-12-02 05:43:00
Gang Of Four,I Love A Man In Uniform,2018-12-02 05:39:00
The Rain Parade,I Look Around,2018-12-02 05:36:00
Julie Brown,I Like 'Em Big and Stupid,2018-12-02 05:27:00
Guy,I Like,2018-12-02 05:23:00
Pat Travers,I La La La Love You,2018-12-02 05:19:00
The Moody Blues,I Know You're Out There Somewhere,2018-12-02 05:13:00
Eric B & Rakim,I Know You Got Soul,2018-12-02 05:07:00
Television Personalities,I Know Where Syd Barrett Lives,2018-12-02 05:04:00
Paul Simon,I Know What I Know,2018-12-02 05:01:00
The Waitresses,I Know What Boys Like,2018-12-02 04:58:00
Aretha Franklin and George Michael,I Knew You Were Waiting (For Me),2018-12-02 04:53:00
Nick Lowe,I Knew The Bride When She Used To Rock & Roll,2018-12-02 04:49:00
Michael McDonald,I Keep Forgettin',2018-12-02 04:44:00
Lucinda Williams,I Just Wanted To See You So Bad,2018-12-02 04:42:00
Michael Jackson,I Just Can't Stop Loving You,2018-12-02 04:38:00
Stevie Wonder,I Just Called To Say I Love You,2018-12-02 04:34:00
Elvis Costello,I Hope You're Happy Now,2018-12-02 04:31:00
Peter Gabriel,I Have The Touch,2018-12-02 04:26:00
Joan Jett And The Blackhearts,I Hate Myself for Loving You,2018-12-02 04:22:00
Mojo Nixon,I Hate Banks,2018-12-02 04:18:00
Split Enz,I Got You,2018-12-02 04:15:00
The Soft Boys,I Got The Hots,2018-12-02 04:09:00
Los Lobos,I Got Loaded,2018-12-02 04:06:00
The Three O'Clock,I Go Wild,2018-12-02 04:04:00
Kool Moe Dee,I Go To Work,2018-12-02 03:59:00
The Pretenders,I Go To Sleep,2018-12-02 03:56:00
Peter Gabriel,I Go Swimming,2018-12-02 03:51:00
Talking Heads,I Get Wild / Wild Gravity,2018-12-02 03:45:00
Belinda Carlisle,I Get Weak,2018-12-02 03:40:00
Lone Justice,I Found Love,2018-12-02 03:36:00
Chaka Khan,I Feel For You,2018-12-02 03:30:00
U2,I Fall Down,2018-12-02 03:26:00
Toto Coelo,I Eat Cannibals,2018-12-02 03:23:00
Cyndi Lauper,I Drove All Night,2018-12-02 03:19:00
Descendents,I Don't Want To Grow Up,2018-12-02 03:17:00
Shop Assistants,I Don't Want To Be Friends With You,2018-12-02 03:15:00
Peter Gabriel,I Don't Remember,2018-12-02 03:10:00
The House Of Love,I Don't Know Why I Love You,2018-12-02 03:07:00
John Hiatt,I Don't Even Try,2018-12-02 03:03:00
Phil Collins,I Don't Care Anymore,2018-12-02 02:58:00
Gary Numan,"I Die, You Die",2018-12-02 02:54:00
Prince,I Could Never Take The Place Of Your Man,2018-12-02 02:51:00
Altered Images,I Could Be Happy,2018-12-02 02:46:00
The English Beat,I Confess,2018-12-02 02:42:00
Cheap Trick,I Can't Take It,2018-12-02 02:38:00
Elvis Costello,I Can't Stand Up For Falling Down,2018-12-02 02:36:00
Eric Clapton,I Can't Stand It,2018-12-02 02:32:00
LL Cool J,I Can't Live Without My Radio,2018-12-02 02:26:00
Linda Ronstadt,I Can't Let Go,2018-12-02 02:23:00
Orange Juice,I Can't Help Myself,2018-12-02 02:19:00
Donnie Iris,I Can't Hear You,2018-12-02 02:15:00
Hall & Oates,I Can't Go For That,2018-12-02 02:10:00
Big Pig,I Can't Break Away,2018-12-02 02:06:00
The Chesterfield Kings,I Cannot Find Her,2018-12-02 02:04:00
Joe Walsh,I Can Play That Rock & Roll,2018-12-02 02:01:00
The Pixies,I Bleed,2018-12-02 01:58:00
Husker Du,I Apologize,2018-12-02 01:54:00
Bob Dylan,I And I,2018-12-02 01:48:00
The Stone Roses,I Am The Resurrection,2018-12-02 01:40:00
Pete Townshend,I Am An Animal,2018-12-02 01:36:00
Stevie Wonder,I Ain't Gonna Stand For It,2018-12-02 01:31:00
Albert Collins,I Ain't Drunk,2018-12-02 01:27:00
Bad Brains,I Against I,2018-12-02 01:24:00
Sneaky Feelings,Husband House,2018-12-02 01:20:00
John Cougar,Hurt So Good,2018-12-02 01:17:00
Duran Duran,Hungry Like The Wolf,2018-12-02 01:13:00
Bruce Springsteen,Hungry Heart,2018-12-02 01:09:00
Royal Crescent Mob,Hungry,2018-12-02 01:07:00
The Gap Band,Humpin',2018-12-02 01:02:00
Red Rider,Human Race,2018-12-02 00:59:00
Michael Jackson,Human Nature,2018-12-02 00:54:00
The Cramps,Human Fly,2018-12-02 00:52:00
The Human League,Human,2018-12-02 00:48:00
Whitney Houston,How Will I Know,2018-12-02 00:43:00
The Smiths,How Soon Is Now,2018-12-02 00:37:00
The Style Council,How She Threw It All Away,2018-12-02 00:32:00
ZZ Top,I Need You Tonight,2018-12-02 00:27:00
