Artist,Title,Air Time
The Doobie Brothers,You Belong To Me,2017-12-12 12:17:00
Elvis Costello,You Belong To Me,2017-12-12 12:15:00
Carly Simon,You Belong To Me,2017-12-12 12:11:00
Stevie Wonder,You Are The Sunshine Of My Life,2017-12-12 12:07:00
Joe Cocker,You Are So Beautiful,2017-12-12 12:04:00
The Stylistics,You Are Everything,2017-12-12 12:01:00
Chris Bell,You And Your Sister,2017-12-12 11:57:00
Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,2017-12-12 11:53:00
Rick James,You & I,2017-12-12 11:44:00
The Village People,YMCA,2017-12-12 11:41:00
The Pointer Sisters,Yes We Can Can,2017-12-12 11:36:00
Lee Dorsey,Yes We Can Can,2017-12-12 11:33:00
Ry Cooder,Yellow Roses,2017-12-12 11:27:00
Christie,Yellow River,2017-12-12 11:24:00
20/20,Yellow Pills,2017-12-12 11:18:00
Al Stewart,Year Of The Cat,2017-12-12 11:12:00
Lee Dorsey,Ya Ya,2017-12-12 11:07:00
Root Boy Slim & The Sex Change Band,Xmas At K Mart,2017-12-12 11:04:00
Blondie,X Offender,2017-12-12 11:01:00
Kate Bush,Wuthering Heights,2017-12-12 10:56:00
The Clash,Wrong 'Em Boyo,2017-12-12 10:53:00
Elton John,Writing,2017-12-12 10:48:00
Bonnie Raitt,Write Me A Few Of Your Lines / Kokomo Blues,2017-12-12 10:44:00
Fleetwood Mac,World Turning,2017-12-12 10:40:00
Neil Young,World On A String,2017-12-12 10:37:00
Rush,Working Man,2017-12-12 10:30:00
Lynyrd Skynyrd,Working For MCA,2017-12-12 10:24:00
John Lennon,Working Class Hero,2017-12-12 10:20:00
Michael Jackson,Workin' Day and Night,2017-12-12 10:15:00
Jim Croce,Workin' At The Car Wash Blues,2017-12-12 10:12:00
Robert Palmer,Work To Make It Work,2017-12-12 10:08:00
The Isley Brothers,Work To Do,2017-12-12 10:05:00
Average White Band,Work To Do,2017-12-12 10:01:00
Neil Young,Words (Between The Lines Of Age),2017-12-12 09:54:00
David Bowie,Word On A Wing,2017-12-12 09:47:00
Joni Mitchell,Woodstock,2017-12-12 09:42:00
Crosby Stills Nash & Young,Woodstock,2017-12-12 09:38:00
Yes,Wonderous Stories,2017-12-12 09:32:00
Bruce Cockburn,Wondering Where The Lions Are,2017-12-12 09:28:00
Jimmy Cliff,Wonderful World Beautiful People,2017-12-12 09:25:00
Eric Clapton,Wonderful Tonight,2017-12-12 09:20:00
Peter Frampton,Won't You Be My Friend,2017-12-12 09:12:00
The Who,Won't Get Fooled Again,2017-12-12 09:03:00
Bonnie Raitt,Women Be Wise,2017-12-12 08:59:00
Bobby Womack,Woman's Gotta Have It,2017-12-12 08:55:00
Deep Purple,Woman from Tokyo,2017-12-12 08:46:00
Todd Rundgren,Wolfman Jack,2017-12-12 08:43:00
Harry Nilsson,Without You,2017-12-12 08:40:00
Jethro Tull,With You There To Help Me,2017-12-12 08:31:00
Wings,With A Little Luck,2017-12-12 08:28:00
Jim Pepper,Witchi Tai To,2017-12-12 08:21:00
Pink Floyd,Wish You Were Here,2017-12-12 08:13:00
Alice Cooper,Wish You Were Here,2017-12-12 08:08:00
Neil Young,Winterlong,2017-12-12 08:02:00
Steve Miller Band,Winter Time,2017-12-12 07:59:00
Gil Scott-Heron,Winter In America,2017-12-12 07:53:00
Stomu Yamashta,Winner/Loser,2017-12-12 07:46:00
Jethro Tull,Wind-up,2017-12-12 07:40:00
Frank Zappa,Wind Up Workin' In A Gas Station,2017-12-12 07:34:00
Crosby & Nash,Wind On The Water,2017-12-12 07:28:00
David Bowie,Win,2017-12-12 07:24:00
Joan Armatrading,Willow,2017-12-12 07:19:00
Little Feat,Willin',2017-12-12 07:15:00
Linda Ronstadt,Willin',2017-12-12 07:12:00
Eric Clapton,Willie And The Hand Jive,2017-12-12 07:06:00
Neil Young,Will To Love,2017-12-12 06:59:00
Pentangle,Will The Circle Be Unbroken?,2017-12-12 06:54:00
The Nitty Gritty Dirt Band,Will The Circle Be Unbroken,2017-12-12 06:46:00
Billy Preston,Will It Go Round In Circles,2017-12-12 06:42:00
Michael Murphey,Wildfire,2017-12-12 06:35:00
Cat Stevens,Wild World,2017-12-12 06:32:00
Dire Straits,Wild West End,2017-12-12 06:27:00
Van Morrison,Wild Night,2017-12-12 06:24:00
Steve Miller Band,Wild Mountain Honey,2017-12-12 06:16:00
David Bowie,Wild Is The Wind,2017-12-12 06:10:00
Garland Jeffreys,Wild In The Streets,2017-12-12 06:04:00
The Rolling Stones,Wild Horses,2017-12-12 05:59:00
The Flying Burrito Brothers,Wild Horses,2017-12-12 05:52:00
Foghat,Wild Cherry,2017-12-12 05:47:00
