Artist,Title,Air Time
Todd Rundgren,Baby Let's Swing/the Last Thing You Said/don't Tie My Hands,2016-11-30 23:55:00
Syd Barrett,Baby Lemonade,2016-11-30 23:51:00
The Shirelles,Baby It's You,2016-11-30 23:46:00
Smith,Baby It's You,2016-11-30 23:43:00
Aretha Franklin,Baby I Love You,2016-11-30 23:41:00
Sam Phillips,Baby I Can't Please You,2016-11-30 23:37:00
Simon & Garfunkel,Baby Driver,2016-11-30 23:34:00
Marvin Gaye,Baby Don't You Do It,2016-11-30 23:31:00
Sonny & Cher,Baby Don't Go,2016-11-30 23:27:00
Chris Isaak,Baby Did A Bad Bad Thing,2016-11-30 23:24:00
T Rex,Baby Boomerang,2016-11-30 23:22:00
Badfinger,Baby Blue,2016-11-30 23:18:00
Robert Bradley's Blackwater Surprise,Baby,2016-11-30 23:14:00
Pulp,Babies,2016-11-30 23:10:00
Mumford & Sons,Babel,2016-11-30 23:05:00
The Who,Baba O'Riley,2016-11-30 23:00:00
Andy Pratt,Avenging Annie,2016-11-30 22:55:00
Courtney Barnett,Avant Gardener,2016-11-30 22:48:00
Roxy Music,Avalon,2016-11-30 22:44:00
The Shins,Australia,2016-11-30 22:40:00
Uncle Tupelo,Atomic Power,2016-11-30 22:39:00
George Clinton,Atomic Dog,2016-11-30 22:34:00
Donovan,Atlantis,2016-11-30 22:29:00
Bruce Springsteen,Atlantic City,2016-11-30 22:24:00
Danny & The Juniors,At The Hop,2016-11-30 22:21:00
Etta James,At Last,2016-11-30 22:18:00
G Love,Astronaut,2016-11-30 22:14:00
Van Morrison,Astral Weeks,2016-11-30 22:06:00
Valerie June,Astral Plane,2016-11-30 22:02:00
Ben Arnold,Astral Freak,2016-11-30 21:58:00
Kathleen Edwards,Asking For Flowers,2016-11-30 21:53:00
Patti Smith,Ask The Angels,2016-11-30 21:50:00
David Bowie,Ashes To Ashes,2016-11-30 21:44:00
Stevie Wonder,As,2016-11-30 21:37:00
10cc,Art For Art's Sake,2016-11-30 21:29:00
Prince & The Revolution,Around The World In A Day,2016-11-30 21:25:00
Pink Floyd,Arnold Layne,2016-11-30 21:22:00
Ben Folds Five,Army,2016-11-30 21:17:00
Amos Lee,Arms Of A Woman,2016-11-30 21:13:00
Pacific Gas & Electric,Are You Ready?,2016-11-30 21:06:00
Neil Young,Are You Ready For The Country?,2016-11-30 21:03:00
Lenny Kravitz,Are You Gonna Go My Way,2016-11-30 21:00:00
Jimi Hendrix,Are You Experienced?,2016-11-30 20:55:00
Gary Numan & Tubeway Army,Are Friends Electric?,2016-11-30 20:49:00
Steve Winwood,Arc Of A Diver,2016-11-30 20:44:00
The Fifth Dimension,Aquarius / Let The Sunshine In,2016-11-30 20:37:00
Vampire Weekend,A-Punk,2016-11-30 20:35:00
The Jesus And Mary Chain,April Skies,2016-11-30 20:31:00
Rufus Wainwright,April Fools,2016-11-30 20:26:00
George Harrison,Apple Scruffs,2016-11-30 20:22:00
Frank Zappa,Apostrophe,2016-11-30 20:16:00
Enya,Anywhere Is,2016-11-30 20:12:00
The Who,Anyway Anyhow Anywhere,2016-11-30 20:10:00
Ellie Goulding,Anything Could Happen,2016-11-30 20:03:00
Dionne Warwick,Anyone Who Had A Heart,2016-11-30 20:00:00
Tedeschi Trucks Band,Anyhow,2016-11-30 19:54:00
The Beatles,Any Time At All,2016-11-30 19:50:00
Greg Kihn,Any Other Woman,2016-11-30 19:46:00
Steely Dan,Any Major Dude Will Tell You,2016-11-30 19:43:00
Dave Matthews Band,Ants Marching,2016-11-30 19:39:00
Adam & The Ants,Antmusic,2016-11-30 19:35:00
The Replacements,Answering Machine,2016-11-30 19:31:00
Ryan Adams,Answering Bell,2016-11-30 19:28:00
The Who,Another Tricky Day,2016-11-30 19:23:00
The Poozies,Another Train,2016-11-30 19:19:00
Stevie Wonder,Another Star,2016-11-30 19:10:00
K. T. Tunstall,Another Place To Fall,2016-11-30 19:05:00
The Doobie Brothers,"Another Park, Another Sunday",2016-11-30 19:01:00
The Avett Brothers,Another Is Waiting,2016-11-30 18:57:00
The Only Ones,"Another Girl, Another Planet",2016-11-30 18:54:00
Paul McCartney & Wings,Another Day,2016-11-30 18:49:00
Pink Floyd,Another Brick In The Wall (Part 2),2016-11-30 18:45:00
Cowboy Junkies,Anniversary Song,2016-11-30 18:42:00
Counting Crows,Anna Begins,2016-11-30 18:36:00
The Beatles,Anna (Go To Him),2016-11-30 18:33:00
Fujiya & Miyagi,Ankle Injuries,2016-11-30 18:28:00
Spirit,Animal Zoo,2016-11-30 18:23:00
Miike Snow,Animal,2016-11-30 18:19:00
Loggins & Messina,Angry Eyes,2016-11-30 18:12:00
The Rolling Stones,Angie,2016-11-30 18:05:00
U2,Angel Of Harlem,2016-11-30 18:01:00
John Prine,Angel From Montgomery,2016-11-30 17:57:00
Bonnie Raitt,Angel From Montgomery,2016-11-30 17:53:00
Robert Plant,Angel Dance,2016-11-30 17:47:00
Sarah McLachlan,Angel,2016-11-30 17:43:00
Jimi Hendrix,Angel,2016-11-30 17:39:00
The Replacements,Androgynous,2016-11-30 17:36:00
The Beatles,And Your Bird Can Sing,2016-11-30 17:34:00
Yes,And You And I,2016-11-30 17:21:00
The Hooters,And We Danced,2016-11-30 17:16:00
Talking Heads,And She Was,2016-11-30 17:13:00
Van Morrison,And It Stoned Me,2016-11-30 17:06:00
The Beatles,And I Love Her,2016-11-30 17:03:00
They Might Be Giants,Ana Ng,2016-11-30 17:00:00
U2,An Cat Dubh/Into The Heart,2016-11-30 16:51:00
Guster,Amsterdam (Gonna Write You A Letter),2016-11-30 16:45:00
Peter Bjorn And John,Amsterdam,2016-11-30 16:42:00
The dB's,Amplifier,2016-11-30 16:39:00
Elton John,Amoreena,2016-11-30 16:33:00
The Gaslight Anthem,American Slang,2016-11-30 16:29:00
The Blasters,American Music,2016-11-30 16:27:00
Francis Dunnery,American Life In The Summertime,2016-11-30 16:21:00
Counting Crows,American Girls,2016-11-30 16:17:00
Tom Petty & The Heartbreakers,American Girl,2016-11-30 16:14:00
Prince,America,2016-11-30 16:10:00
Naked Eyes,Always Something There To Remind Me,2016-11-30 16:04:00
Lenny Kravitz,Always On The Run,2016-11-30 15:59:00
Pet Shop Boys,Always on My Mind,2016-11-30 15:55:00
Nada Surf,Always Love,2016-11-30 15:52:00
Alejandro Escovedo,Always A Friend,2016-11-30 15:47:00
The Eagles,Already Gone,2016-11-30 15:43:00
Love,Alone Again Or,2016-11-30 15:40:00
Calexico,Alone Again Or,2016-11-30 15:37:00
Susan Tedeschi,Alone,2016-11-30 15:30:00
Dave Edmunds,Almost Saturday Night,2016-11-30 15:28:00
Crosby Stills Nash & Young,Almost Cut My Hair,2016-11-30 15:24:00
Gin Blossoms,Allison Road,2016-11-30 15:20:00
The Hooters,All You Zombies,2016-11-30 15:12:00
The Beatles,All You Need Is Love,2016-11-30 15:08:00
The Head And The Heart,All We Ever Knew,2016-11-30 15:05:00
Sting,All This Time,2016-11-30 15:00:00
George Harrison,All Things Must Pass,2016-11-30 14:56:00
Mott The Hoople,All The Young Dudes,2016-11-30 14:52:00
R. E. M.,All The Way To Reno,2016-11-30 14:47:00
Mott The Hoople,All The Way From Memphis,2016-11-30 14:42:00
The Subdudes,All The Time In The World,2016-11-30 14:37:00
The Waterboys,All The Things She Gave Me,2016-11-30 14:32:00
Todd Rundgren,All The Children Sing,2016-11-30 14:29:00
Bruce Springsteen,All That Heaven Will Allow,2016-11-30 14:26:00
Don Henley,All She Wants To Do Is Dance,2016-11-30 14:21:00
Free,All Right Now,2016-11-30 14:15:00
The Beatles,All My Loving,2016-11-30 14:11:00
Led Zeppelin,All My Love,2016-11-30 14:05:00
The Cars,All Mixed Up,2016-11-30 14:01:00
Toad The Wet Sprocket,All I Want,2016-11-30 13:57:00
Joni Mitchell,All I Want,2016-11-30 13:53:00
Sheryl Crow,All I Wanna Do,2016-11-30 13:48:00
The Byrds,All I Really Want To Do,2016-11-30 13:46:00
Bob Dylan,All I Really Want To Do,2016-11-30 13:42:00
Alanis Morissette,All I Really Want,2016-11-30 13:37:00
Radiohead,All I Need,2016-11-30 13:31:00
Air,All I Need,2016-11-30 13:27:00
Stevie Wonder,All I Do,2016-11-30 13:22:00
Sting,All Four Seasons,2016-11-30 13:18:00
Diego Garcia,All Eyes On You,2016-11-30 13:13:00
The Rolling Stones,All Down The Line,2016-11-30 13:09:00
War,All Day Music,2016-11-30 13:03:00
The Kinks,All Day And All Of The Night,2016-11-30 13:01:00
World Party,All Come True,2016-11-30 12:54:00
U2,All Because Of You,2016-11-30 12:50:00
Nirvana,All Apologies,2016-11-30 12:46:00
Jimi Hendrix,All Along The Watchtower,2016-11-30 12:42:00
Bob Dylan,All Along The Watchtower,2016-11-30 12:40:00
Simple Minds,Alive And Kicking,2016-11-30 12:33:00
Trey Anastasio,Alive Again,2016-11-30 12:29:00
Pearl Jam,Alive,2016-11-30 12:23:00
Steeleye Span,Alison Gross,2016-11-30 12:17:00
Elvis Costello,Alison,2016-11-30 12:14:00
Ben Folds Five,Alice Childress,2016-11-30 12:08:00
The Replacements,Alex Chilton,2016-11-30 12:04:00
Neil Young,Albuquerque,2016-11-30 12:00:00
Maggie Rogers,Alaska,2016-11-30 11:56:00
David Bowie,Aladdin Sane,2016-11-30 11:51:00
Grateful Dead,Alabama Getaway,2016-11-30 11:47:00
Neil Young,Alabama,2016-11-30 11:43:00
Steely Dan,Aja,2016-11-30 11:35:00
The Allman Brothers,Ain't Wastin' Time No More,2016-11-30 11:30:00
The Temptations,Ain't Too Proud To Beg,2016-11-30 11:28:00
The Rolling Stones,Ain't Too Proud To Beg,2016-11-30 11:24:00
