Artist,Title,Album,Air Time
Nirvana,Territorial Pissings,Nevermind,2022-12-06 23:57:37
Shawn Colvin,Tennessee,Fat City,2022-12-06 23:51:59
Arrested Development,Tennessee,"3 Years, 5 Months & 2 Days In The ...",2022-12-06 23:47:31
Shawn Colvin,Tenderness On The Block,Fat City,2022-12-06 23:42:45
Blur,Tender,13,2022-12-06 23:34:13
The Stone Roses,Ten Storey Love Song,Second Coming,2022-12-06 23:30:31
Blake Babies,Temptation Eyes,Rosy Jack World,2022-12-06 23:27:46
The Mavericks,Tell Me Why,Trampoline,2022-12-06 23:22:52
Keb' Mo',Tell Everybody I Know,"Live At The World Cafe, Vol. 2",2022-12-06 23:20:04
The Disposable Heroes Of Hiphoprisy,"Television, The Drug Of The Nation",Hypocrisy Is The Greatest Luxury,2022-12-06 23:13:33
Marshall Crenshaw,Television Light,#447,2022-12-06 23:06:18
Steve Earle,Telephone Road,El Corazon,2022-12-06 23:02:31
Guided By Voices,Teenage FBI,Do The Collapse,2022-12-06 23:01:00
Cracker,Teen Angst (What The World Needs Now),Cracker,2022-12-06 22:56:18
Towa Tei,Technova (La Em Copacabana),Future Listening!,2022-12-06 22:48:30
Selena,Techno Cumbia,Ones,2022-12-06 22:44:46
Nsync,Tearin' Up My Heart,'NSYNC,2022-12-06 22:41:15
Massive Attack,Teardrop,Mezzanine,2022-12-06 22:34:41
Son Volt,Tear Stained Eye,Trace,2022-12-06 22:30:23
Gillian Welch,Tear My Stillhouse Down,Revival,2022-12-06 22:25:59
Kula Shaker,Tattva,K,2022-12-06 22:20:50
Ride,Taste,Nowhere,2022-12-06 22:17:38
Johnnie Johnson,Tanqueray,Johnnie B. Bad,2022-12-06 22:12:52
Patty Larkin,Tango,Tango,2022-12-06 22:07:07
Loudon Wainwright III,Talking New Bob Dylan,History,2022-12-06 22:03:34
Radiohead,Talk Show Host,Street Spirit (Fade Out),2022-12-06 21:59:03
Phish,Talk,Billy Breathes,2022-12-06 21:55:30
Midnight Star,Take Your Shoes Off,Work It Out,2022-12-06 21:49:52
The Jayhawks,Take Me With You,Hollywood Town Hall,2022-12-06 21:45:13
October Project,Take Me As I Am,October Project,2022-12-06 21:40:58
World Party,Take It Up,Goodbye Jumbo,2022-12-06 21:35:30
Rebirth Brass Band,Take It to the Streets,Treme: Music From The HBO Original Series,2022-12-06 21:32:13
Little Village,Take Another Look,Little Village,2022-12-06 21:28:47
Filter,Take a Picture,Title of Record,2022-12-06 21:21:03
Buffalo Tom,Taillights Fade,Let Me Come Over,2022-12-06 21:17:33
Sonic Youth,Swimsuit Issue,Dirty,2022-12-06 21:14:31
R. E. M.,Sweetness Follows,Automatic For The People,2022-12-06 21:07:01
Sarah McLachlan,Sweet Surrender,Surfacing,2022-12-06 21:03:10
Linda Ronstadt & Emmylou Harris,Sweet Spot,Western Wall: The Tucson Sessions,2022-12-06 20:59:42
Emmylou Harris,Sweet Old World,Wrecking Ball,2022-12-06 20:54:18
Deep Forest,Sweet Lullaby,Deep Forest,2022-12-06 20:50:17
La Bouche,Sweet Dreams,Sweet Dreams,2022-12-06 20:45:20
Wailing Souls,Sweet Black Angel,All Over The World,2022-12-06 20:41:41
Babes in Toyland,Sweet '69,Nemesisters,2022-12-06 20:36:16
Beastie Boys,Sure Shot,Ill Communication,2022-12-06 20:32:45
