Artist,Title,Air Time
Dead Milkmen,Smokin' Banana Peels,2018-12-06 07:59:00
Soundgarden,Smokestack Lightning,2018-12-06 07:54:00
Bronski Beat,Smalltown Boy,2018-12-06 07:47:00
Bronski Beat,Smalltown Boy,2018-12-06 07:46:00
John Mellencamp,Small Town,2018-12-06 07:42:00
Suzanne Vega,Small Blue Thing,2018-12-06 07:38:00
The Vaselines,Slushy,2018-12-06 07:34:00
The Clean,Slug Song,2018-12-06 07:31:00
Pointer Sisters,Slowhand,2018-12-06 07:27:00
John Hiatt,Slow Turning,2018-12-06 07:24:00
Whitesnake,Slow An' Easy,2018-12-06 07:16:00
The Feelies,Slipping Into Something,2018-12-06 07:10:00
Sly Dunbar,Slipping Into Darkness,2018-12-06 07:04:00
Dave Edmunds,Slipping Away,2018-12-06 06:59:00
Talking Heads,Slippery People,2018-12-06 06:54:00
Pat Metheny,Slip Away,2018-12-06 06:46:00
Billy Joel,Sleeping With The Television On,2018-12-06 06:43:00
Bunnydrums,Sleeping,2018-12-06 06:39:00
Psychedelic Furs,Sleep Comes Down,2018-12-06 06:34:00
Peter Gabriel,Sledgehammer,2018-12-06 06:29:00
Grace Jones,Slave To The Rhythm,2018-12-06 06:25:00
Bryan Ferry,Slave To Love,2018-12-06 06:16:00
The Rolling Stones,Slave,2018-12-06 06:12:00
Wide Boy Awake,Slang Teacher,2018-12-06 06:06:00
The Replacements,Skyway,2018-12-06 06:04:00
The Stranglers,Skin Deep,2018-12-06 06:00:00
Dire Straits,Skateaway,2018-12-06 05:54:00
The Replacements,Sixteen Blue,2018-12-06 05:49:00
Split Enz,Six Months In A Leaky Boat,2018-12-06 05:45:00
Yaz,Situation,2018-12-06 05:39:00
R. E. M.,Sitting Still,2018-12-06 05:35:00
Eurythmics,Sisters Are Doin' It For Themselves,2018-12-06 05:29:00
Psychedelic Furs,Sister Europe,2018-12-06 05:24:00
Night Ranger,Sister Christian,2018-12-06 05:20:00
The Alan Parsons Project,Sirius,2018-12-06 05:16:00
Tom Waits,Singapore,2018-12-06 05:13:00
The Outfield,Since You've Been Gone,2018-12-06 05:08:00
Robert Palmer,Simply Irresistible,2018-12-06 05:04:00
Sonic Youth,Silver Rocket,2018-12-06 05:00:00
Echo & The Bunnymen,Silver,2018-12-06 04:57:00
Mike + The Mechanics,Silent Running (On Dangerous Ground),2018-12-06 04:51:00
Chaka Khan,"Signed, Sealed, Delivered (I'm Yours)",2018-12-06 04:45:00
The Belle Stars,Sign of the Times,2018-12-06 04:42:00
Prince,Sign O' The Times,2018-12-06 04:39:00
Lucinda Williams,Side Of The Road,2018-12-06 04:35:00
Lou Reed,Sick Of You,2018-12-06 04:32:00
Bananarama,Shy Boy,2018-12-06 04:28:00
Camper Van Beethoven,Shut Us Down,2018-12-06 04:27:00
Robbie Robertson,Showdown At Big Sky,2018-12-06 04:22:00
The Pretenders,Show Me,2018-12-06 04:18:00
The Style Council,Shout To The Top!,2018-12-06 04:15:00
Tears For Fears,Shout,2018-12-06 04:06:00
The Clash,Should I Stay Or Should I Go?,2018-12-06 04:03:00
Shawn Colvin,Shotgun Down The Avalanche,2018-12-06 03:59:00
Pet Shop Boys,Shopping,2018-12-06 03:55:00
The Smiths,Shoplifters Of The World Unite,2018-12-06 03:52:00
Bob Dylan,Shooting Star,2018-12-06 03:47:00
AC/DC,Shoot To Thrill,2018-12-06 03:41:00
Richard & Linda Thompson,Shoot Out The Lights,2018-12-06 03:36:00
Peter Gabriel,Shock The Monkey,2018-12-06 03:31:00
World Party,Ship Of Fools,2018-12-06 03:27:00
Haysi Fantayzee,Shiny Shiny,2018-12-06 03:21:00
The House Of Love,Shine On,2018-12-06 03:17:00
