Artist,Title,Air Time
The Beach Boys,Sloop John B,2020-12-15 08:00:00
Bob Dylan,Mr. Tambourine Man,2020-12-15 07:54:00
Bob Dylan,Just Like A Woman,2020-12-15 07:45:00
Martha & The Vandellas,Dancing In The Street,2020-12-15 07:42:00
Squeeze,Tempted,2020-12-15 07:38:00
Elton John,Goodbye Yellow Brick Road,2020-12-15 07:33:00
Sugarhill Gang,Rapper's Delight,2020-12-15 07:26:00
Tom Petty & The Heartbreakers,Learning To Fly,2020-12-15 07:22:00
Traffic,John Barleycorn (Must Die),2020-12-15 07:12:00
The Doors,Break On Through,2020-12-15 07:10:00
Elliott Smith,Waltz #2,2020-12-15 07:04:00
Lucinda Williams,Side Of The Road,2020-12-15 07:00:00
Pink Floyd,The Great Gig In The Sky,2020-12-15 06:55:00
The Temptations,Ball Of Confusion,2020-12-15 06:51:00
Etta James,I'd Rather Go Blind,2020-12-15 06:46:00
The Pogues,Fairytale Of New York,2020-12-15 06:41:00
Dire Straits,Tunnel Of Love,2020-12-15 06:31:00
Rufus Wainwright,Hallelujah,2020-12-15 06:27:00
Smashing Pumpkins,1979,2020-12-15 06:22:00
Bruce Springsteen,Atlantic City,2020-12-15 06:14:00
David Bowie,Rock 'N' Roll Suicide,2020-12-15 06:11:00
Guns n Roses,November Rain,2020-12-15 06:00:00
Jimi Hendrix,The Wind Cries Mary,2020-12-15 05:56:00
Leonard Cohen,You Want It Darker,2020-12-15 05:51:00
Radiohead,Idioteque,2020-12-15 05:46:00
U2,Beautiful Day,2020-12-15 05:41:00
Bruce Springsteen,No Surrender,2020-12-15 05:37:00
Sting,Fields Of Gold,2020-12-15 05:34:00
My Morning Jacket,One Big Holiday,2020-12-15 05:27:00
The Outlaws,Green Grass & High Tides,2020-12-15 05:18:00
Bob Dylan,It's Alright Ma (I'm Only Bleeding),2020-12-15 05:08:00
The Clash,(White Man) In Hammersmith Palais,2020-12-15 05:04:00
Led Zeppelin,Thank You,2020-12-15 04:59:00
U2,I Will Follow,2020-12-15 04:55:00
The Beatles,Because,2020-12-15 04:52:00
Cream,Crossroads,2020-12-15 04:47:00
Leonard Cohen,"So Long, Marianne",2020-12-15 04:41:00
Tom Petty & The Heartbreakers,Breakdown,2020-12-15 04:38:00
The Beatles,Please Please Me,2020-12-15 04:36:00
The Beatles,She Loves You,2020-12-15 04:34:00
Elvis Presley,That's All Right,2020-12-15 04:30:00
The Cure,Close to Me,2020-12-15 04:27:00
Stan Getz & Joao Gilberto,The Girl From Ipanema,2020-12-15 04:22:00
Carole King,You've Got A Friend,2020-12-15 04:16:00
Norah Jones,Come Away With Me,2020-12-15 04:13:00
U2,I Still Haven't Found What I'm Looking For,2020-12-15 04:08:00
Dire Straits,Money For Nothing,2020-12-15 04:00:00
Roxy Music,Love Is The Drug,2020-12-15 03:56:00
Yes,Heart Of The Sunrise,2020-12-15 03:43:00
Aerosmith,Dream On,2020-12-15 03:39:00
The Pretenders,Mystery Achievement,2020-12-15 03:34:00
Stevie Wonder,I Believe (When I Fall In Love It Will Be Forever),2020-12-15 03:29:00
Johnny Nash,I Can See Clearly Now,2020-12-15 03:26:00
Kate Bush,Wuthering Heights,2020-12-15 03:21:00
William DeVaughn,Be Thankful For What You Got,2020-12-15 03:14:00
Badfinger,Baby Blue,2020-12-15 03:10:00
The Beatles,Michelle,2020-12-15 03:08:00
Bob Dylan,All Along The Watchtower,2020-12-15 03:05:00
Booker T. & The MG's,Green Onions,2020-12-15 03:00:00
Howlin' Wolf,Smokestack Lightnin',2020-12-15 02:57:00
Jethro Tull,Aqualung,2020-12-15 02:50:00
Ray Charles,What'd I Say (Parts 1 & 2),2020-12-15 02:45:00
Roxy Music,Avalon,2020-12-15 02:41:00
The Beatles,All My Loving,2020-12-15 02:39:00
Carole King,I Feel The Earth Move,2020-12-15 02:36:00
King Harvest,Dancing In The Moonlight,2020-12-15 02:33:00
Kristofferson,Sunday Morning Coming Down,2020-12-15 02:28:00
R. E. M.,Fall On Me,2020-12-15 02:25:00
Todd Rundgren,I Saw the Light,2020-12-15 02:22:00
The Cars,Just What I Needed,2020-12-15 02:19:00
The Band,Acadian Driftwood,2020-12-15 02:12:00
Helen Reddy,I Am Woman,2020-12-15 02:08:00
Jimi Hendrix,Are You Experienced?,2020-12-15 02:04:00
Dawes,All Your Favorite Bands,2020-12-15 02:00:00
The The,Uncertain Smile,2020-12-15 01:53:00
Queen,Don't Stop Me Now,2020-12-15 01:49:00
B. B. King,The Thrill Is Gone,2020-12-15 01:43:00
Led Zeppelin,Dazed And Confused,2020-12-15 01:36:00
Rod Stewart,Every Picture Tells A Story,2020-12-15 01:30:00
Tom Petty,I Won't Back Down,2020-12-15 01:25:00
Aretha Franklin,I Never Loved a Man (The Way I Love You),2020-12-15 01:23:00
The Beach Boys,"Caroline, No",2020-12-15 01:20:00
Gil Scott-Heron,The Revolution Will Not Be Televised,2020-12-15 01:17:00
ZZ Top,Jesus Just Left Chicago,2020-12-15 01:12:00
Elvis Presley,Hound Dog,2020-12-15 01:10:00
Van Morrison,Madame George,2020-12-15 01:00:00
