Artist,Title,Album,Air Time
James Brown,"Say It Loud, I'm Black And I'm Proud Pt 1","Say It Loud, I'm Black And I'm Proud",2023-12-08 16:02:09
Smokin Suckaz Wit Logic,Funk-A-Tac,Playin' Foolz,2023-12-08 16:00:44
Nina Simone,Wild Is The Wind,Wild Is The Wind,2023-12-08 15:53:11
Joni Mitchell,Chelsea Morning,Clouds,2023-12-08 15:50:44
Lizzo,About Damn Time,Special,2023-12-08 15:47:33
No Doubt,Don't Speak,Tragic Kingdom,2023-12-08 15:41:55
Liz Phair,Never Said,Exile In Guyville,2023-12-08 15:38:57
Judy Garland,The Man That Got Away,A Star Is Born (1954 soundtrack),2023-12-08 15:34:38
Lizzo,Good As Hell,Barber Shop: The Next Cut (Original Motion Picture Soundtrack),2023-12-08 15:32:06
Fiona Apple,Extraordinary Machine,Extraordinary Machine,2023-12-08 15:27:09
Dar Williams,As Cool As I Am,Mortal City,2023-12-08 15:23:37
Aretha Franklin,Day Dreaming,"Young, Gifted and Black",2023-12-08 15:19:54
Carole King,Where You Lead,Tapestry,2023-12-08 15:15:23
Karla Bonoff,Someone To Lay Down Beside Me,Karla Bonoff,2023-12-08 15:11:27
Alicia Keys,If I Ain't Got You,The Diary Of Alicia Keys,2023-12-08 15:07:30
Billie Holiday,Solitude,Lady Day,2023-12-08 15:02:13
The Carpenters,Rainy Days And Mondays ,Carpenters,2023-12-08 15:00:00
Evanescence,Bring Me To Life,Fallen,2023-12-08 14:54:26
Joan Armatrading,Drop The Pilot,The Key,2023-12-08 14:53:00
Lita Ford,Kiss Me Deadly,Lita,2023-12-08 14:45:37
Alicia Keys,Girl on Fire,Girl on Fire,2023-12-08 14:41:51
Diana Ross,Touch Me In The Morning,Touch Me In The Morning,2023-12-08 14:38:30
Beyoncé,Love On Top,4,2023-12-08 14:32:55
Lucinda Williams,Side Of The Road,Lucinda Williams,2023-12-08 14:29:34
Sheryl Crow,My Favorite Mistake,The Globe Sessions,2023-12-08 14:25:25
Madonna,Live To Tell,True Blue,2023-12-08 14:20:16
Alabama Shakes,Don't Wanna Fight,Sound & Color,2023-12-08 14:15:06
Madonna,Into The Groove,Like A Virgin,2023-12-08 14:10:31
Tina Turner,Better Be Good To Me,Private Dancer,2023-12-08 14:07:05
Joni Mitchell,Cold Blue Steel And Sweet Fire,For The Roses,2023-12-08 14:01:19
Courtney Barnett,Pedestrian At Best,"Sometimes I Sit and Think, and Sometimes I Just Sit",2023-12-08 13:57:07
Björk,It's Oh So Quiet,Post,2023-12-08 13:53:31
Neneh Cherry,Buffalo Stance,RAW LIKE SUSHI,2023-12-08 13:46:16
Lori McKenna,People Get Old,The Tree,2023-12-08 13:42:41
Mitski,Your Best American Girl,Puberty 2,2023-12-08 13:39:19
Diana Ross,I'm Coming Out,Diana,2023-12-08 13:32:26
Bangles,Walk Like an Egyptian,Different Light,2023-12-08 13:29:09
Björk,Big Time Sensuality,Debut,2023-12-08 13:25:24
Beth Orton,She Cries Your Name,Trailer Park,2023-12-08 13:18:53
Indigo Girls,Power Of Two,Swamp Ophelia,2023-12-08 13:13:43
Tina Turner,Private Dancer,Private Dancer,2023-12-08 13:06:32
Fleetwood Mac,Say You Love Me,Fleetwood Mac,2023-12-08 13:02:31
Fiona Apple,Under the Table,Fetch the Bolt Cutters,2023-12-08 12:57:52
Patty Griffin,Useless Desires,Impossible Dream,2023-12-08 12:53:00
Patty Griffin,Useless Desires,Impossible Dream,2023-12-08 12:51:36
Joni Mitchell,Down To You,Court & Spark,2023-12-08 12:43:44
Anita Baker,Sweet Love,Rapture,2023-12-08 12:39:34
Patti Smith,Redondo Beach,Horses,2023-12-08 12:36:10
Patsy Cline,Sweet Dreams (Of You),The Patsy Cline Story,2023-12-08 11:57:34
Neko Case,"Hold On, Hold On",Fox Confessor Brings the Flood,2023-12-08 11:54:58
Loretta Lynn,The Pill,Back To The Country,2023-12-08 11:51:19
Garbage,Only Happy When It Rains,Garbage,2023-12-08 11:47:34
Beth Orton,Central Reservation,Central Reservation,2023-12-08 11:42:43
Patti Smith,Land,Horses,2023-12-08 11:31:47
Kathleen Edwards,Asking For Flowers,Asking For Flowers,2023-12-08 11:26:49
Alanis Morissette,Thank U,Supposed Former Infatuation Junkie,2023-12-08 11:22:42
Alanis Morissette,Uninvited,City of Angels OST,2023-12-08 11:16:39
Liz Phair,Polyester Bride,Whitechocolatespacegg,2023-12-08 11:12:44
The Shirelles,Will You Love Me Tomorrow,Tonight's The Night,2023-12-08 11:10:06
Joni Mitchell,Little Green,Blue,2023-12-08 11:06:44
TLC,Creep,CrazySexyCool,2023-12-08 11:00:40
Valerie June,Astral Plane,The Order of Time,2023-12-08 10:56:40
Solange,Cranes In The Sky,A Seat At The Table,2023-12-08 10:52:33
Whitney Houston,Saving All My Love For You,Whitney Houston,2023-12-08 10:47:13
Tori Amos,Caught A Lite Sneeze,Boys For Pele,2023-12-08 10:42:43
Joni Mitchell,Cactus Tree,Song To A Seagull,2023-12-08 10:38:11
Adele,Rumor Has It,21,2023-12-08 10:32:10
Lorde,Royals,Pure Heroine,2023-12-08 10:29:02
Jean Knight,Mr. Big Stuff,Var-soul Hits Of The 70's Vol.5,2023-12-08 10:26:32
Michelle Shocked,Anchorage,Short Sharp Shocked,2023-12-08 10:23:14
Judy Collins,Who Knows Where The Time Goes,Recorded Live for World Cafe,2023-12-08 10:16:34
Shawn Colvin,Steady On,Steady On,2023-12-08 10:11:04
Enya,Orinoco Flow,Watermark,2023-12-08 10:06:48
The Cranberries,Ode To My Family,No Need To Argue,2023-12-08 10:00:37
Chaka Khan,I Feel For You,I Feel For You,2023-12-08 09:54:31
Mariah Carey,Vision Of Love,Mariah Carey,2023-12-08 09:51:07
The Staple Singers,I'll Take You There,Be Altitude: Respect Yourself,2023-12-08 09:44:38
Martha & The Vandellas,(Love Is Like A) Heat Wave,Heat Wave,2023-12-08 09:41:52
Linda Ronstadt,Someone To Lay Down Beside Me,Hasten Down The Wind,2023-12-08 09:37:32
Joan Osborne,What Becomes Of The Brokenhearted,Standing In The Shadows Of Motown (soundtrack),2023-12-08 09:30:46
Maggie Rogers,Light On,Heard It In A Past Life,2023-12-08 09:26:57
Laura Nyro,Wedding Bell Blues,More Than A New Discovery,2023-12-08 09:24:04
Lorde,Ribs,Pure Heroine,2023-12-08 09:19:55
Lizzo,Juice,Cuz I Love You,2023-12-08 09:15:09
Adele,Easy on Me,30,2023-12-08 09:11:27
Alanis Morissette,You Learn,Jagged Little Pill,2023-12-08 09:07:33
Pat Benatar,Promises In The Dark,Precious Time,2023-12-08 09:01:08
Alison Krauss,Oh Atlanta,Now That I've Found You: A Collection,2023-12-08 08:55:57
Aimee Mann,That's Just What You Are,I'm With Stupid,2023-12-08 08:51:44
Joni Mitchell,For Free,Amchitka,2023-12-08 08:43:16
Taylor Swift,Love Story,Fearless,2023-12-08 08:39:16
The Chicks,Not Ready To Make Nice,Taking The Long Way,2023-12-08 08:35:28
Janis Joplin,Move Over,Pearl,2023-12-08 08:30:35
The Andrews Sisters,Boogie Woogie Bugle Boy,20th Century Masters,2023-12-08 08:27:53
Joni Mitchell,"You Turn Me On, I'm A Radio",For The Roses,2023-12-08 08:25:28
Kacey Musgraves,Rainbow,Golden Hour,2023-12-08 08:17:43
The Supremes,Reflections,Reflections,2023-12-08 08:14:38
PJ Harvey,Good Fortune,"Stories From The City, Stories From The Sea",2023-12-08 08:11:20
Lucinda Williams,Something About What Happens When We Talk,Sweet Old World,2023-12-08 08:07:38
Bonnie Raitt,Blender Blues,Var-constantine #5,2023-12-08 08:02:13
Deeper,Build A Bridge,Careful!,2023-12-08 07:58:17
Yo La Tengo,Eight Candles,Hanukkah+,2023-12-08 07:55:53
Munya,Un Deux Trois,Jardin,2023-12-08 07:47:02
Spoon,Inside Out,They Want My Soul,2023-12-08 07:42:04
The Killers,Boy,Rebel Diamonds,2023-12-08 07:38:52
Shane MacGowan & The Popes,Haunted (Feat. Sinéad O'Connor),The Snake,2023-12-08 07:33:15
Gregg Allman,Midnight Rider,Laid Back,2023-12-08 07:28:56
Toots & The Maytals,54-46 (Thats My Number),Jammin',2023-12-08 07:26:09
