Artist,Title,Album,Air Time
Bakar,Alive!,Halo,2023-12-06 17:53:37
Loretta Lynn,Don't Come Home A-Drinkin' With Lovin' On Your Mind,The Definitive Collection,2023-12-06 17:50:26
Tina Turner,We Don't Need Another Hero (Thunderdome),Thunderdome Soundtrack,2023-12-06 17:46:14
Sister Sledge,We Are Family,We Are Family,2023-12-06 17:37:56
Patty Griffin,Mary,Flaming Red,2023-12-06 17:30:57
Amy Correia,The Bike,Carnival Love,2023-12-06 17:26:12
Sade,Is It A Crime,Promise,2023-12-06 17:20:07
Rickie Lee Jones,We Belong Together,Pirates,2023-12-06 17:13:48
Regina Spektor,Us,Soviet Kitsch,2023-12-06 17:09:00
TLC,No Scrubs,FanMail,2023-12-06 17:05:30
Taylor Swift,Cardigan,folklore,2023-12-06 17:00:12
PJ Harvey,Sheela-Na-Gig,Dry,2023-12-06 16:56:29
Lizzo,Truth Hurts,Cuz I Love You,2023-12-06 16:51:38
Feist,1234,The Reminder,2023-12-06 16:48:39
Belly,Feed The Tree,Star,2023-12-06 16:45:06
The Highwomen,Highwomen,The Highwomen,2023-12-06 16:41:44
Jill Scott,Golden,Beautifully Human: Words and Sounds Vol. 2,2023-12-06 16:35:57
Pat Benatar,Shadows Of The Night,Get Nervous,2023-12-06 16:32:22
Etta James,Tell Mama,Tell Mama,2023-12-06 16:30:00
Tori Amos,A Sorta Fairytale,Scarlet's Walk,2023-12-06 16:24:36
Shania Twain,Man! I feel like a Woman,Come On Over,2023-12-06 16:18:36
Phoebe Bridgers,Kyoto,Punisher,2023-12-06 16:14:49
Tracy Chapman,The Promise,New Beginning,2023-12-06 16:09:27
Grace Potter & The Nocturnals,Paris (Ooh La La),Grace Potter And The Nocturnals,2023-12-06 16:03:59
Beyoncé,Hold Up,Lemonade,2023-12-06 16:00:20
Tanya Tucker,Delta Dawn,Delta Dawn,2023-12-06 15:56:48
Sarah McLachlan,Good Enough,Fumbling Towards Ecstsay,2023-12-06 15:51:33
Jewel,Foolish Games,Pieces Of You,2023-12-06 15:47:40
Diana Ross,Upside Down,Diana (deluxe Edition),2023-12-06 15:43:36
Brandi Carlile,Every Time I Hear That Song,"By The Way, I Forgive You",2023-12-06 15:37:55
Suzanne Vega,Small Blue Thing,Suzanne Vega,2023-12-06 15:35:00
Madonna,Take A Bow,Bedtime Stories,2023-12-06 15:29:34
Mary Chapin Carpenter,This Shirt,Sometimes Just The Sky,2023-12-06 15:23:19
Laura Nyro,Up On The Roof,Christmas And The Beads Of Sweat,2023-12-06 15:20:09
Patty Griffin,One Big Love,Flaming Red,2023-12-06 15:16:28
Kathleen Edwards,Six O'Clock News,Failer,2023-12-06 15:10:39
Aretha Franklin,Amazing Grace,Amazing Grace,2023-12-06 14:54:48
The Fugees,Killing Me Softly With His Song,The Score,2023-12-06 14:48:56
Eva Cassidy,Songbird,Eva By Heart,2023-12-06 14:45:18
Taylor Swift,You Belong With Me,Fearless,2023-12-06 14:41:30
Nina Simone,"To Be Young, Gifted and Black",Black Gold,2023-12-06 14:37:19
Aretha Franklin,Bridge Over Troubled Water,Aretha's Greatest Hits,2023-12-06 14:31:51
Lady Gaga,Poker Face,The Fame,2023-12-06 14:27:56
Bette Midler,Wind Beneath My Wings,Beaches,2023-12-06 14:21:31
Beth Orton,Sweetest Decline,Central Reservation,2023-12-06 14:15:08
Bonnie Raitt,Guilty,Takin' My Time,2023-12-06 14:12:13
Aimee Mann,Wise Up,Magnolia (soundtrack),2023-12-06 14:04:30
Bangles,Eternal Flame,Everything,2023-12-06 14:00:42
Iris Dement,Let The Mystery Be,Infamous Angel,2023-12-06 13:57:31
Gillian Welch,Orphan Girl,Revival,2023-12-06 13:53:43
Sarah McLachlan,Sweet Surrender,Surfacing,2023-12-06 13:49:50
Barbra Streisand,Stoney End,Stoney End,2023-12-06 13:45:55
The Pretenders,Night In My Veins,Last of the Independents,2023-12-06 13:42:45
Paula Cole,Where Have All The Cowboys Gone,This Fire,2023-12-06 13:38:14
Nina Simone,Don't Let Me Be Misunderstood,Broadway-Blues-Ballads,2023-12-06 13:35:38
Joni Mitchell,That Song About The Midway,Clouds,2023-12-06 13:29:03
Sara Bareilles,Gravity,Live at the World Cafe Vol. 31,2023-12-06 13:24:36
Martha & The Vandellas,Dancing In The Street,Dance Party,2023-12-06 13:22:01
Queen Latifah,U.N.I.T.Y.,Black Reign,2023-12-06 13:16:33
Nena,99 Luftballoons,Nena,2023-12-06 13:12:44
Nanci Griffith,Once In A Very Blue Moon,Once In A Very Blue Moon,2023-12-06 13:10:10
Kesha,Praying,Rainbow,2023-12-06 13:06:27
Gladys Knight & the Pips,If I Were Your Woman,If I Were Your Woman,2023-12-06 13:01:46
Alannah Myles,Black Velvet,Alannah Myles,2023-12-06 12:56:36
The Staple Singers,Respect Yourself,Be Altitude: Respect Yourself,2023-12-06 12:51:54
Kate Bush,The Big Sky,Hounds Of Love,2023-12-06 12:46:21
Joni Mitchell,The Last Time I Saw Richard,Blue,2023-12-06 12:42:08
Fleetwood Mac,Warm Ways,Fleetwood Mac,2023-12-06 12:38:26
First Aid Kit,My Silver Lining,Stay Gold,2023-12-06 12:33:23
Alabama Shakes,Gimme All Your Love,Sound & Color,2023-12-06 12:29:26
Sleater-Kinney,Modern Girl,The Woods,2023-12-06 12:26:25
Joan Osborne,Spider Web,Relish,2023-12-06 12:21:11
Imogen Heap,Hide and Seek,Speak For Yourself,2023-12-06 12:17:03
Mama Cass Elliot,Make Your Own Kind Of Music,"Bubblegum, Lemonade, and ... Something for Mama",2023-12-06 12:13:59
Pixies,Gigantic,Surfer Rosa,2023-12-06 12:10:47
Cyndi Lauper,Money Changes Everything,She's So Unusual,2023-12-06 12:04:20
Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,Lady Soul,2023-12-06 12:02:03
Janis Joplin,Little Girl Blue,I Got Dem Ol' Kozmic Blues Again Mama!,2023-12-06 11:57:48
