Artist,Title,Air Time
Roxy Music,While My Heart Is Still Beating,2018-12-08 19:27:00
Billy Bragg,Which Side Are You On?,2018-12-08 19:24:00
The Nomads,Where The Wolf Bane Blooms,2018-12-08 19:21:00
U2,Where The Streets Have No Name,2018-12-08 19:15:00
The Rolling Stones,Where The Boys Go,2018-12-08 19:12:00
The Pixies,Where Is My Mind?,2018-12-08 19:07:00
Bobby Womack,Where Do We Go From Here,2018-12-08 19:00:00
Men Without Hats,"Where Do The Boys Go 12""",2018-12-08 18:54:00
Whitney Houston,Where Do Broken Hearts Go,2018-12-08 18:48:00
Marshall Crenshaw,Whenever You're On My Mind,2018-12-08 18:45:00
Van Morrison,Whenever God Shines His Light,2018-12-08 18:40:00
Bruce Springsteen,When You're Alone,2018-12-08 18:35:00
Prince,When You Were Mine,2018-12-08 18:32:00
The Dream Syndicate,When You Smile,2018-12-08 18:29:00
George Harrison,When We Was Fab,2018-12-08 18:25:00
John Hiatt,When We Ran,2018-12-08 18:19:00
The Police,When The World Is Running Down,2018-12-08 18:16:00
Richard Thompson,When The Spell Is Broken,2018-12-08 18:09:00
Bob Dylan,When The Night Comes Falling From The Sky,2018-12-08 18:01:00
GTR,When The Heart Rules The Mind,2018-12-08 17:55:00
Four Tops,When She Was My Girl,2018-12-08 17:51:00
U2,When Love Comes To Town,2018-12-08 17:47:00
Prefab Sprout,When Love Breaks Down,2018-12-08 17:43:00
Van Halen,When It's Love,2018-12-08 17:36:00
Rockpile,When I Write The Book,2018-12-08 17:33:00
Janet Jackson,When I Think Of You,2018-12-08 17:29:00
Fleetwood Mac,When I See You,2018-12-08 17:25:00
Michelle Shocked,When I Grow Up,2018-12-08 17:21:00
Prince,When Doves Cry,2018-12-08 17:15:00
Was (Not Was),Wheel Me Out,2018-12-08 17:06:00
"10,000 Maniacs",What's The Matter Here,2018-12-08 17:01:00
Information Society,What's On Your Mind (Pure Energy),2018-12-08 16:56:00
Hoodoo Gurus,What's My Scene,2018-12-08 16:51:00
Tina Turner,What's Love Got To Do With It,2018-12-08 16:47:00
INXS,What You Need,2018-12-08 16:44:00
The Fall,What You Need,2018-12-08 16:38:00
The Orchids,What Will We Do Next,2018-12-08 16:35:00
Bob Dylan,What Was It You Wanted,2018-12-08 16:30:00
