Artist,Title,Album,Air Time
Liz Phair,Cinco De Mayo,Whip-Smart,2022-12-02 08:00:16
Oasis,Cigarettes And Alcohol,Definitely Maybe,2022-12-02 07:52:47
Lyle Lovett,Church,Joshua Judges Ruth,2022-12-02 07:46:42
Aimee Mann,Choice In The Matter,I'm With Stupid,2022-12-02 07:37:24
John Lee Hooker,Chill Out,Chill Out,2022-12-02 07:32:43
Lords Of The Underground,Chief Rocka,Here Come The Lords,2022-12-02 07:28:44
Smashing Pumpkins,Cherub Rock,Siamese Dream,2022-12-02 07:18:52
Cocteau Twins,Cherry-Coloured Funk,Heaven Or Las Vegas,2022-12-02 07:15:30
A Tribe Called Quest,Check The Rhime,The Low End Theory,2022-12-02 07:11:54
Blur,Charmless Man,The Great Escape,2022-12-02 07:07:01
2 Pac,Changes,Changes,2022-12-02 07:02:22
Sugar,Changes,Copper Blue,2022-12-02 06:57:07
Tom Petty & The Heartbreakers,Changed The Locks,She's The One (soundtrack),2022-12-02 06:52:15
Rosanne Cash,Change Partners,The Wheel,2022-12-02 06:46:18
Oasis,Champagne Supernova,(What's The Story) Morning Glory?,2022-12-02 06:38:54
Phish,Chalk Dust Torture,A Picture Of Nectar,2022-12-02 06:34:15
Patty Larkin,Chained To These Lovin' Arms,Tango,2022-12-02 06:29:25
Beth Orton,Central Reservation,Central Reservation,2022-12-02 06:24:43
Hole,Celebrity Skin,Celebrity Skin,2022-12-02 06:21:58
Supergrass,Caught By The Fuzz,I Should Coco,2022-12-02 06:17:43
Tori Amos,Caught A Lite Sneeze,Boys For Pele,2022-12-02 06:13:15
John Wesley Harding,Cathy's New Clown,Here Comes The Groom,2022-12-02 06:08:34
"Jump, Little Children",Cathedrals,MAGAZINE,2022-12-02 06:00:47
Suzanne Vega,Cassidy,Deadicated,2022-12-02 05:56:34
Wilco,Casino Queen,A.M.,2022-12-02 05:53:52
Leaders Of The New School,Case Of The P.T.A.,A Future Without A Past...,2022-12-02 05:49:20
Natalie Merchant,Carnival,Tigerlily,2022-12-02 05:43:34
Enya,Caribbean Blue,Shepherd Moons,2022-12-02 05:39:32
Lucinda Williams,Car Wheels On A Gravel Road,Car Wheels On A Gravel Road,2022-12-02 05:34:55
Elastica,Car Song,Elastica,2022-12-02 05:32:06
Built To Spill,Car,There's Nothing Wrong With Love,2022-12-02 05:29:02
Us 3,Cantaloop,Hand On The Torch,2022-12-02 05:24:30
The Breeders,Cannonball,Last Splash,2022-12-02 05:20:13
Jamiroquai,Canned Heat,Synkronized,2022-12-02 05:16:27
Soul 4 Real,Candy Rain,Candy Rain,2022-12-02 05:12:08
"10,000 Maniacs",Candy Everybody Wants,Our Time In Eden,2022-12-02 05:07:59
Iggy Pop,Candy (ft. Kate Pierson),Brick By Brick,2022-12-02 05:03:49
Morphine,Candy,Cure For Pain,2022-12-02 05:00:41
Public Enemy,Can't Truss It,Apocalypse 91...The Enemy Strikes Black,2022-12-02 04:51:11
Lauryn Hill,Can't Take My Eyes Off Of You,The Miseducation Of Lauryn Hill,2022-12-02 04:45:57
Los Lobos,Can't Stop The Rain,Colossal Head,2022-12-02 04:42:29
Wilco,Can't Stand It,Summerteeth,2022-12-02 04:38:52
Paul Simon,Can't Run But,Rhythm Of The Saints,2022-12-02 04:33:51
Lucinda Williams,Can't Let Go,Car Wheels On A Gravel Road,2022-12-02 04:29:43
Jim Lauderdale,Can't Find Mary,Pretty Close To The Truth,2022-12-02 04:25:59
Chris Isaak,Can't Do A Thing (To Stop Me),San Francisco Days,2022-12-02 04:22:24
Chris Cornell,Can't Change Me,Euphoria Morning,2022-12-02 04:14:42
The Sundays,Can't Be Sure,"Reading, Writing And Arithmetic",2022-12-02 04:11:23
American Music Club,Can You Help Me?,San Francisco,2022-12-02 04:07:45
Southern Culture On The Skids,Camel Walk,Dirt Track Date,2022-12-02 04:00:51
Jane Siberry,Calling All Angels,When I Was A Boy,2022-12-02 03:55:05
Television,Call Mr. Lee,Television,2022-12-02 03:50:58
World Party,Call Me Up,Egyptology,2022-12-02 03:47:40
Red Hot Chili Peppers,Californication,Californication,2022-12-02 03:42:17
Billy Bragg & Wilco,California Stars,Mermaid Avenue,2022-12-02 03:38:31
2 Pac,California Love,All Eyez on Me,2022-12-02 03:34:14
Luna,California (All The Way),Bewitched,2022-12-02 03:29:48
PJ Harvey,C'mon Billy,To Bring You My Love,2022-12-02 03:27:03
Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers),2022-12-02 03:22:31
Public Enemy,By The Time I Get To Arizona,Apocalypse 91...The Enemy Strikes Black,2022-12-02 03:18:05
Old 97's,Busted Afternoon,Fight Songs,2022-12-02 03:10:29
October Project,Bury My Lovely,October Project,2022-12-02 03:06:28
Primal Scream,Burning Wheel,Vanishing Point,2022-12-02 02:59:31
Tom Jones,Burning Down The House,Reload,2022-12-02 02:55:31
Ben Harper,Burn One Down,Fight For Your Mind,2022-12-02 02:51:57
Rage Against The Machine,Bulls on Parade,Evil Empire,2022-12-02 02:41:48
Smashing Pumpkins,Bullett With Butterfly Wings,Mellon Colloie and the Infinite Sadness,2022-12-02 02:37:20
Guided By Voices,Bulldog Skin,Mag Earwhig!,2022-12-02 02:34:23
Sonic Youth,Bull In The Heather,"Experimental Jet Set, Trash And No Star",2022-12-02 02:30:47
Sarah McLachlan,Building A Mystery,Surfacing,2022-12-02 02:26:35
A Tribe Called Quest,Buggin' Out,The Low End Theory,2022-12-02 02:23:01
Morphine,Buena,Cure For Pain,2022-12-02 02:19:12
Neneh Cherry,Buddy X,Homebrew,2022-12-02 02:14:58
Weezer,Buddy Holly,Weezer,2022-12-02 02:12:20
Babes in Toyland,Bruise Violet,Fontanelle,2022-12-02 02:08:52
D'Angelo,Brown Sugar,Brown Sugar,2022-12-02 02:04:34
Public Enemy,Brothers Gonna Work It Out,Fear Of A Black Planet,2022-12-02 01:59:31
Big Head Todd & The Monsters,Broken Hearted Savior,Sister Sweetly,2022-12-02 01:54:45
Bob Dylan,Broke Down Engine,World Gone Wrong,2022-12-02 01:50:51
Method Man,Bring The Pain,Tical.,2022-12-02 01:47:45
Cornershop,Brimful of Asha,When I Was Born For The 7th Time,2022-12-02 01:42:37
Ben Folds Five,Brick,"Whatever And Ever, Amen",2022-12-02 01:37:44
Barenaked Ladies,Brian Wilson,Gordon,2022-12-02 01:32:56
Nirvana,Breed,Nevermind,2022-12-02 01:29:57
Q-Tip,Breathe And Stop,Amplified,2022-12-02 01:25:06
The Prodigy,Breathe,The Fat Of The Land,2022-12-02 01:19:21
Red Hot Chili Peppers,Breaking The Girl,Blood Sugar Sex Magik,2022-12-02 01:14:35
Deep Blue Something,Breakfast At Tiffany's,11th Song & Home,2022-12-02 01:09:48
Mariah Carey,Breakdown,Butterfly,2022-12-02 01:05:08
Natalie Merchant,Break Your Heart,Ophelia,2022-12-02 01:00:28
Method Man,Break Up 2 Make Ups,Tical 2000: Judgement Day,2022-12-02 00:56:03
Buzz Zeemer,Break My Heart,Play Thing,2022-12-02 00:52:03
Tears For Fears,Break It Down Again,Elemental,2022-12-02 00:47:33
Black Uhuru,Brand New World,Strongg,2022-12-02 00:37:18
Sebadoh,Brand New Love,Smash Your Head on the Punk Rock,2022-12-02 00:32:46
Green Day,Brain Stew,Insomniac,2022-12-02 00:25:28
Wilco,Box Full Of Letters,A.M.,2022-12-02 00:21:40
Local H,Bound For The Floor,As Good As Dead,2022-12-02 00:17:49
Phish,Bouncing Around The Room,Lawn Boy,2022-12-02 00:13:57
Urge Overkill,Bottle Of Fur,Saturation,2022-12-02 00:09:07
Beck,Bottle Of Blues,Mutations,2022-12-02 00:04:11
Ani DiFranco,Both Hands,Ani DiFranco,2022-12-02 00:00:42
