Artist,Title,Album,Air Time
Aimee Mann,Could've Been Anyone,Whatever,2022-12-02 11:37:20
Jamiroquai,Cosmic Girl,Traveling Without Moving,2022-12-02 11:33:16
Tori Amos,Cornflake Girl,Under The Pink,2022-12-02 11:29:26
Pearl Jam,Corduroy,Vitalogy,2022-12-02 11:23:01
James Taylor,Copperline,NEW MOON SHINE,2022-12-02 11:18:48
Bonnie Raitt,Cool Clear Water,Longing In Their Hearts,2022-12-02 11:13:31
Richard Thompson,Cooksferry Queen,Mock Tudor,2022-12-02 11:06:57
k. d. lang,Constant Craving,Ingenue,2022-12-02 11:02:35
Elastica,Connection,Elastica,2022-12-02 11:00:19
Stereo MC's,Connected,Connected,2022-12-02 10:54:40
The Afghan Whigs,Conjure Me,Congregation,2022-12-02 10:48:51
Sonny Landreth,Congo Square,South Of I-10,2022-12-02 10:42:29
John Mayall,Congo Square,A Sense Of Place,2022-12-02 10:36:17
Ozomatli,Como Ves,Ozomatli,2022-12-02 10:32:40
Selena,Como La Flor,Entre A Mi Mundo,2022-12-02 10:29:42
Pulp,Common People,Different Class,2022-12-02 10:22:48
Crash Test Dummies,Comin' Back Soon,The Ghosts That Haunt Me,2022-12-02 10:18:20
Bush,Comedown,Sixteen Stone,2022-12-02 10:12:56
Primal Scream,Come Together,Screamadelica,2022-12-02 10:03:11
Melissa Etheridge,Come To My Window,Yes I Am,2022-12-02 09:58:40
Peter Gabriel,Come Talk To Me,Us,2022-12-02 09:51:18
The Offspring,Come Out and Play (Keep 'Em Seperated),Smash,2022-12-02 09:47:06
Los Lobos,Come On Let's Go,La Bamba (soundtrack),2022-12-02 09:45:08
Mary Chapin Carpenter,Come On Come On,Come On Come On,2022-12-02 09:40:15
Nirvana,Come As You Are,MTV Unplugged In New York,2022-12-02 09:31:57
Michelle Shocked,Come A Long Way,Arkansas Traveller,2022-12-02 09:27:20
MC Lyte,Cold Rock A Party (ft. Missy Elliott),Bad As I Wanna Be,2022-12-02 09:20:35
Bob Dylan,Cold Irons Bound,Time Out of Mind,2022-12-02 09:13:15
G. Love & Special Sauce,Cold Beverage,G Love & Special Sauce,2022-12-02 09:10:46
Blur,Coffee and T.V.,13,2022-12-02 09:04:03
Gang Starr,Code of the Streets,Hard to Earn,2022-12-02 09:00:30
Semisonic,Closing Time,Feeling Strangely Fine,2022-12-02 08:56:11
Leonard Cohen,Closing Time,The Future,2022-12-02 08:50:20
Bodeans,Closer To Free,Go Slow Down,2022-12-02 08:46:39
Nine Inch Nails,Closer,The Downward Spiral,2022-12-02 08:40:16
Radiohead,Climbing Up the Walls,OK Computer,2022-12-02 08:34:06
Tom Petty & The Heartbreakers,Climb That Hill,She's The One (soundtrack),2022-12-02 08:30:09
Shawn Colvin,Climb On (A Back That's Strong),Fat City,2022-12-02 08:25:57
Wu-Tang Clan,Clan In Da Front,Enter The Wu-Tang (36 Chambers),2022-12-02 08:17:13
Luscious Jackson,Citysong,NATURAL INGREDIENTS,2022-12-02 08:12:58
Soul Coughing,Circles,El Oso,2022-12-02 08:08:16
Elton John,Circle Of Life,The Lion King Soundtrack,2022-12-02 08:03:28
