Artist,Title,Air Time
The Beatles,Good Day Sunshine,2016-12-04 23:57:00
The Black Crowes,Good Bye Daughters Of The Revolution,2016-12-04 23:53:00
The Cramps,Goo Goo Muck,2016-12-04 23:49:00
Susan Tedeschi,Gonna Move,2016-12-04 23:45:00
Pete Townshend,Gonna Get Ya,2016-12-04 23:39:00
Bob Dylan,Gonna Change My Way Of Thinking,2016-12-04 23:32:00
Bruce Hornsby,Gonna Be Some Changes Made,2016-12-04 23:28:00
Robert Plant & Alison Krauss,"Gone, Gone, Gone (Done Moved On)",2016-12-04 23:25:00
Bad Company,Gone Gone Gone,2016-12-04 23:21:00
Violent Femmes,Gone Daddy Gone,2016-12-04 23:18:00
Paul Simon,Gone At Last,2016-12-04 23:14:00
Shirley Bassey,Goldfinger,2016-12-04 23:10:00
David Bowie,Golden Years,2016-12-04 23:06:00
The Beatles,Golden Slumbers,2016-12-04 23:04:00
Stevie Wonder,Golden Lady,2016-12-04 23:00:00
Fleetwood Mac,Gold Dust Woman,2016-12-04 22:56:00
The Stranglers,Golden Brown,2016-12-04 22:52:00
TV On The Radio,Golden Age,2016-12-04 22:48:00
My Morning Jacket,Golden,2016-12-04 22:43:00
Pavement,Gold Soundz,2016-12-04 22:41:00
The Black Keys,Gold On The Ceiling,2016-12-04 22:37:00
Yeah Yeah Yeahs,Gold Lion,2016-12-04 22:34:00
Bob Dylan,"Going, Going, Gone",2016-12-04 22:30:00
Canned Heat,Going Up The Country,2016-12-04 22:27:00
The Jam,Going Underground,2016-12-04 22:25:00
The Afghan Whigs,Going To Town,2016-12-04 22:21:00
Steve Miller Band,Going To The Country,2016-12-04 22:18:00
Bruce Cockburn,Going To The Country,2016-12-04 22:15:00
Led Zeppelin,Going To California,2016-12-04 22:12:00
Smokey Robinson & The Miracles,Going To A Go-Go,2016-12-04 22:08:00
The Who,Going Mobile,2016-12-04 22:04:00
Robert Randolph & The Family Band,Going In The Right Direction,2016-12-04 22:01:00
Yes,Going For The One,2016-12-04 21:55:00
Bangles,Going Down To Liverpool,2016-12-04 21:52:00
Jeff Beck,Going Down,2016-12-04 21:45:00
Freddie King,Going Down,2016-12-04 21:41:00
Nanci Griffith,Going Back To Georgia,2016-12-04 21:37:00
Steve Forbert,Goin' Down To Laurel,2016-12-04 21:32:00
Dr. John,Goin' Back To New Orleans,2016-12-04 21:28:00
Nils Lofgren,Goin' Back,2016-12-04 21:24:00
