Artist,Title,Air Time
X-press 2,Lazy,2016-12-07 23:50:00
Jack White,Lazaretto,2016-12-07 23:47:00
Derek & The Dominos,Layla,2016-12-07 23:38:00
My Morning Jacket,Lay Low,2016-12-07 23:32:00
Bob Dylan,Lay Lady Lay,2016-12-07 23:28:00
Eric Clapton,Lay Down Sally,2016-12-07 23:24:00
Melanie,Lay Down (Candles In The Rain),2016-12-07 23:19:00
Strawbs,Lay Down,2016-12-07 23:14:00
Warren Zevon,"Lawyers, Guns, And Money",2016-12-07 23:12:00
Jackson Browne,Lawyers In Love,2016-12-07 23:06:00
R. E. M.,Laughing,2016-12-07 23:03:00
Josh Rouse,Late Night Conversation,2016-12-07 22:59:00
Paul Simon,Late In The Evening,2016-12-07 22:55:00
Jackson Browne,Late For The Sky,2016-12-07 22:49:00
The Iguanas,Late At Night,2016-12-07 22:44:00
The Monkees,Last Train To Clarksville,2016-12-07 22:40:00
Pat Metheny Group,Last Train Home,2016-12-07 22:34:00
Pete Yorn,Last Summer,2016-12-07 22:29:00
The Strokes,Last Nite,2016-12-07 22:26:00
Pearl Jam,Last Kiss,2016-12-07 22:21:00
Jeff Buckley,Last Goodbye,2016-12-07 22:17:00
Cousteau,Last Good Day Of The Year,2016-12-07 22:12:00
Hall & Oates,Las Vegas Turnaround,2016-12-07 22:09:00
Band Of Horses,Laredo,2016-12-07 22:06:00
Smashing Pumpkins,Landslide,2016-12-07 22:02:00
Dixie Chicks,Landslide,2016-12-07 21:58:00
Wilson Pickett,Land Of 1000 Dances,2016-12-07 21:55:00
The Doors,Land Ho!,2016-12-07 21:50:00
Modest Mouse,Lampshades on Fire,2016-12-07 21:47:00
Nirvana,Lake Of Fire,2016-12-07 21:45:00
John Prine,Lake Marie,2016-12-07 21:38:00
Third World,Lagos Jump,2016-12-07 21:33:00
The Go! Team,Ladyflash,2016-12-07 21:29:00
Luscious Jackson,Ladyfingers,2016-12-07 21:25:00
Dire Straits,Lady Writer,2016-12-07 21:20:00
Labelle,Lady Marmalade,2016-12-07 21:17:00
The Beatles,Lady Madonna,2016-12-07 21:15:00
The Rolling Stones,Lady Jane,2016-12-07 21:12:00
Graham Parker,Lady Doctor,2016-12-07 21:07:00
Leon Russell,Lady Blue,2016-12-07 21:04:00
Joan Osborne,Ladder,2016-12-07 21:00:00
The Delfonics,La La Means I Love You,2016-12-07 20:57:00
Air,La Femme D'Argent,2016-12-07 20:49:00
Santogold,L.E.S. Artistes,2016-12-07 20:45:00
The Doors,L. A. Woman,2016-12-07 20:36:00
Ziggy Marley,Kozmik,2016-12-07 20:30:00
Paul Simon,Kodachrome,2016-12-07 20:26:00
Bob Dylan,Knockin' On Heaven's Door,2016-12-07 20:23:00
Toots Hibbert,Knock On Wood,2016-12-07 20:19:00
Eddie Floyd,Knock On Wood,2016-12-07 20:16:00
Radiohead,Knives Out,2016-12-07 20:12:00
Bruce Springsteen,Kitty's Back,2016-12-07 20:03:00
The Shins,Kissing The Lipless,2016-12-07 20:00:00
Daughn Gibson,Kissin on the Blacktop,2016-12-07 19:56:00
Siouxsie & The Banshees,Kiss Them For Me,2016-12-07 19:52:00
Violent Femmes,Kiss Off,2016-12-07 19:48:00
The Replacements,Kiss Me On The Bus,2016-12-07 19:45:00
Hall & Oates,Kiss Is On My List,2016-12-07 19:41:00
Kate & Anna McGarrigle,Kiss And Say Goodbye,2016-12-07 19:37:00
Prince,Kiss,2016-12-07 19:33:00
Bob Marley & The Wailers,Kinky Reggae,2016-12-07 19:29:00
Matisyahu,King Without A Crown,2016-12-07 19:25:00
Roger McGuinn,King Of The Hill,2016-12-07 19:20:00
Run-DMC,King Of Rock,2016-12-07 19:14:00
The Police,King Of Pain,2016-12-07 19:09:00
Dave Alvin,King Of California,2016-12-07 19:03:00
Old 97's,King Of All The World,2016-12-07 19:00:00
The Hollies,King Midas In Reverse,2016-12-07 18:57:00
The Band,King Harvest,2016-12-07 18:53:00
The Buckinghams,Kind Of A Drag,2016-12-07 18:51:00
Shelby Lynne,Killin' Kind,2016-12-07 18:46:00
Los Lobos,Kiko And The Lavender Moon,2016-12-07 18:42:00
MGMT,Kids,2016-12-07 18:36:00
Steely Dan,Kid Charlemagne,2016-12-07 18:31:00
The Pretenders,Kid,2016-12-07 18:28:00
MC5,Kick Out The Jams,2016-12-07 18:26:00
The Avett Brothers,Kick Drum Heart,2016-12-07 18:23:00
B. B. King & Eric Clapton,Key To The Highway,2016-12-07 18:18:00
Peter Tosh,Ketchy Shuby,2016-12-07 18:13:00
