Artist,Title,Album,Air Time
Tracy Bonham,"Mother, Mother",The Burdens of Being Upright,2023-12-05 13:42:16
Regina Spektor,On The Radio,Begin To Hope,2023-12-05 13:37:12
Barbra Streisand,Somewhere,The Broadway Album,2023-12-05 13:32:23
Angelique Kidjo,Batonga,Logozo,2023-12-05 13:28:01
Sister Nancy,Bam Bam,One Two,2023-12-05 13:23:25
Janet Jackson,If,Janet,2023-12-05 13:18:54
The Pretenders,Time The Avenger,Learning To Crawl,2023-12-05 13:13:55
The Crystals,Then He Kissed Me,Back To Mono - Phil Spector Collection,2023-12-05 13:11:24
Norah Jones,Sunrise,Feels Like Home,2023-12-05 13:06:00
No Doubt,Spiderwebs,Tragic Kingdom,2023-12-05 13:01:41
Everything But the Girl,Missing,Amplified Heart,2023-12-05 12:57:19
Santogold,L.E.S. Artistes,Santogold,2023-12-05 12:52:15
Angel Olsen,Shut Up Kiss Me,My Woman,2023-12-05 12:48:49
Des'ree,You Gotta Be,I Ain't Movin',2023-12-05 12:44:57
Janis Ian,Society's Child (Baby I've Been Thinking),Society's Child - The Verve Recordings,2023-12-05 12:39:47
Fleetwood Mac,Over My Head,Fleetwood Mac,2023-12-05 12:36:24
Madonna,Lucky Star,Madonna,2023-12-05 12:30:53
Joan Jett And The Blackhearts,Crimson & Clover,I Love Rock & Roll,2023-12-05 12:27:42
Jewel,Who Will Save Your Soul,Pieces Of You,2023-12-05 12:22:11
Ani DiFranco,Fuel,Little Plastic Castle,2023-12-05 12:18:17
Sleater-Kinney,Dig Me Out,Dig Me Out,2023-12-05 12:14:50
Tina Turner,I Can't Stand The Rain,Private Dancer,2023-12-05 12:11:09
The Supremes,Come See About Me,20th Century Masters,2023-12-05 12:05:11
Lena Horne,Stormy Weather,Lena Horne: Greatest Hits,2023-12-05 12:01:22
Sister Rosetta Tharpe,Strange Things Happen Everyday,The Gospel Of The Blues,2023-12-05 11:58:10
The Marvelettes,Please Mr. Postman,Girl Group Greats,2023-12-05 11:55:46
Nicolette Larson,Lotta Love,Nicolette,2023-12-05 11:51:28
Peggy Lee,Is That All There Is?,Is That All There is,2023-12-05 11:47:10
The Pretenders,Private Life,Pretenders,2023-12-05 11:40:40
Irma Thomas,Ruler Of My Heart,Var: Saturday Night Fish Fry,2023-12-05 11:38:09
Bonnie Raitt,Have A Heart,Nick Of Time,2023-12-05 11:31:40
Billie Eilish,When The Party's Over,"When We All Fall Asleep, Where Do We Go?",2023-12-05 11:28:29
L7,Pretend We're Dead,Bricks Are Heavy,2023-12-05 11:24:39
Dusty Springfield,Just A Little Lovin',Dusty in Memphis,2023-12-05 11:21:06
Billie Eilish,Bad Guy,"When We All Fall Asleep, Where Do We Go?",2023-12-05 11:17:56
Missy Elliott,Get Ur Freak On,Miss E. So Addictive,2023-12-05 11:14:25
Althea & Donna,Uptown Top Ranking,(single),2023-12-05 11:10:34
Pat Benatar,You Better Run,Crimes Of Passion,2023-12-05 11:05:52
Indigo Girls,Watershed,Nomads Indians Saints,2023-12-05 11:00:15
The Marvelettes,Too Many Fish In The Sea,(single),2023-12-05 10:57:20
Bangles,Hazy Shade of Winter,Less Than Zero,2023-12-05 10:52:44
Salt N Pepa,Shoop,Very Necessary,2023-12-05 10:48:57
Tedeschi Trucks Band,Bound For Glory,Revelator,2023-12-05 10:43:24
Julee Cruise,Falling,Floating Into The Night,2023-12-05 10:38:17
Mavis Staples,Change,We Get By,2023-12-05 10:33:35
Julie Gold,From A Distance,If I Sing,2023-12-05 10:29:28
Celine Dion,The Power Of Love,The Colour Of My Love,2023-12-05 10:23:46
Pink,Get The Party Started,Missundaztood,2023-12-05 10:20:37
Fontella Bass,Rescue Me,The New Look,2023-12-05 10:16:25
The Chantels,Maybe,We Are The Chantels,2023-12-05 10:13:41
The Cardigans,Lovefool,First Band On The Moon,2023-12-05 10:10:21
Natalie Merchant,Jealousy,Tigerlily,2023-12-05 10:07:46
ABBA,S.O.S.,Abba,2023-12-05 10:03:06
Sister Rosetta Tharpe,Didn't It Rain,The Gospel Of The Blues,2023-12-05 10:00:35
Sheila E,The Glamorous Life,The Glamorous Life,2023-12-05 09:51:05
October Project,Bury My Lovely,October Project,2023-12-05 09:45:01
Rihanna,Umbrella (feat. Jay Z),Good Girl Gone Bad,2023-12-05 09:41:16
The Pointer Sisters,Yes We Can Can,Soul Hits Of The 70's,2023-12-05 09:38:20
Teena Marie,Square Biz,It Must Be Magic,2023-12-05 09:29:13
Sophie B. Hawkins,Damn I Wish I Was Your Lover,Tongues and Tails,2023-12-05 09:24:00
Portishead,Wandering Star,Dummy,2023-12-05 09:19:19
Phoebe Bridgers,Smoke Signals,Smoke Signals (Single),2023-12-05 09:12:08
Missy Elliott,The Rain (Supa Dupa Fly),Supa Dupa Fly,2023-12-05 09:08:02
Kelly Clarkson,Since U Been Gone,Breakaway,2023-12-05 09:04:57
Janet Jackson,Got Til It's Gone,The Velvet Rope,2023-12-05 08:58:24
Queen Latifah,Ladies First,All Hail The Queen,2023-12-05 08:54:03
Elastica,Connection,Elastica,2023-12-05 08:48:06
Dionne Warwick,What the World Needs Now (Is Love),Here Where There is Love,2023-12-05 08:45:00
Candi Staton,He Called Me Baby,CANDI STATON,2023-12-05 08:41:26
Aimee Mann,Choice In The Matter,I'm With Stupid,2023-12-05 08:38:23
Whitney Houston,So Emotional,Whitney,2023-12-05 08:31:57
Bangles,Going Down To Liverpool,Bangles: GrAll Over The Place,2023-12-05 08:28:19
Erykah Badu,On & On,Baduizm,2023-12-05 08:24:36
Brandi Carlile,Dreams,Give Up The Ghost,2023-12-05 08:17:08
Mary J. Blige,Real Love,What's The 411?,2023-12-05 08:12:41
The Pointer Sisters,I'm So Excited,So Excited!,2023-12-05 08:08:05
Belly,Gepetto,Star,2023-12-05 08:04:47
Martha & The Vandellas,Nowhere To Run,Dance Party,2023-12-05 08:00:37
Laufey,From The Start,Bewitched,2023-12-05 07:57:20
Brenda Lee,Rocking Around The Xmas Tree,Coolest Christmas,2023-12-05 07:55:21
Smokey Robinson & The Miracles,You've Really Got A Hold On Me,The Anthology,2023-12-05 07:48:31
New Order,Temptation,Substance,2023-12-05 07:41:35
Wilco,Evicted,Cousin,2023-12-05 07:38:14
Lo Moon,This Is It,Lo Moon,2023-12-05 07:32:39
Bruce Springsteen,Thunder Road,Born To Run,2023-12-05 07:28:04
Lizzie No,Lagunita,Halfsies,2023-12-05 07:24:14
The Head and the Heart,Lost In My Mind,The Head And The Heart,2023-12-05 07:16:30
The War On Drugs,Change,I Don't Live Here Anymore,2023-12-05 07:10:39
Squirrel Nut Zippers,Hell,Hot,2023-12-05 07:07:36
Squirrel Nut Zippers,Carolina Christmas,Christmas Caravan,2023-12-05 07:05:51
Genesis Owusu,Leaving the Light,STRUGGLER,2023-12-05 07:01:16
Ingrid Michaelson,Be OK,Be OK,2023-12-05 06:58:26
The Smile,Wall Of Eyes,Wall Of Eyes,2023-12-05 06:53:26
Os Mutantes,A Minha Menina,Os Mutantes,2023-12-05 06:44:44
Al Green,Perfect Day,Perfect Day (single),2023-12-05 06:40:48
Sierra Ferrell,Fox Hunt,single,2023-12-05 06:37:34
Beastie Boys,So What'cha Want,Check Your Head,2023-12-05 06:32:16
Spoon,Wild,Lucifer On The Sofa,2023-12-05 06:29:13
"Slaughter Beach, Dog",Strange Weather,Crying Laughing Waving Smiling,2023-12-05 06:25:48
Echo & The Bunnymen,Lips Like Sugar,Echo And The Bunnymen,2023-12-05 06:17:21
The Rolling Stones,Angry,Hackney Diamonds,2023-12-05 06:13:39
The Lone Bellow,You Never Need Nobody,The Lone Bellow,2023-12-05 06:08:56
The Lone Bellow,Count On Me,Half Moon Light,2023-12-05 06:06:33
Wings,Getting Closer,Back To The Egg,2023-12-05 06:00:24
Low Cut Connie,Don't Get Fresh With Me,Art Dealers,2023-12-05 05:56:19
Little Richard,The Girl Can't Help It,The Essential Little Richard,2023-12-05 05:53:49
Peter Bjorn and John,Young Folks,Writer's Block,2023-12-05 05:49:18
The Plimsouls,A Million Miles Away,Everywhere At Once,2023-12-05 05:45:25
Hurray for the Riff Raff,Alibi,The Past is Still Alive,2023-12-05 05:42:43
The Killers,Your Side of Town,Rebel Diamonds,2023-12-05 05:39:11
David Bowie,"John, I'm Only Dancing",Changesonebowie,2023-12-05 05:36:28
Noah Kahan,Northern Attitude (ft. Hozier),Stick Season,2023-12-05 05:30:14
TV On The Radio,Halfway Home,Dear Science,2023-12-05 05:25:16
Amythyst Kiah,Black Myself,Wary & Strange,2023-12-05 05:22:00
joe p,Don't Wanna Love U,single,2023-12-05 05:18:36
Sufjan Stevens,Will Anybody Ever Love Me,Javelin,2023-12-05 05:14:00
Pink Floyd,Shine On You Crazy Diamond (Parts Vi-Ix),Wish You Were Here,2023-12-05 05:01:50
The Beach Boys,Winter Symphony,Ultimate Christmas,2023-12-05 04:57:03
Peter Gabriel,Road to Joy,i/o,2023-12-05 04:53:08
Hole,Doll Parts,Live Through This,2023-12-05 04:49:42
Kurt Vile,Another Good Year for the Roses,Back to Moon Beach EP,2023-12-05 04:44:10
Grizzly Bear,Two Weeks,Veckatimest,2023-12-05 04:40:10
Blur,Barbaric,The Ballad of Darren,2023-12-05 04:36:06
Cosmic Guilt,Yesterday's in the Astral Plane,Palace of Depression,2023-12-05 04:33:03
Deeper,Build A Bridge,Careful!,2023-12-05 04:29:38
Roy Orbison,You Got It,Mystery Girl,2023-12-05 04:25:45
Phoenix,Tonight (feat. Ezra Koenig),Alpha Zulu,2023-12-05 04:22:12
The Last Dinner Party,Sinner,Prelude to Ecstasy,2023-12-05 04:19:15
The Allman Brothers,Heart of Stone,Hittin' The Note,2023-12-05 04:14:24
Slow Pulp,Doubt,Yard,2023-12-05 04:11:52
Elvis Costello,"Radio, Radio",This Year's Model,2023-12-05 04:08:45
U2,Atomic City,(single),2023-12-05 04:05:21
Kings Of Leon,Supersoaker,Mechanical Bull,2023-12-05 04:01:10
The Flying Lizards,Money (That's What I Want),The Flying Lizards,2023-12-05 03:58:17
Yard Act,Dream Job,Where's My Utopia?,2023-12-05 03:55:34
