Artist,Title,Album,Air Time
The National,Abel,Alligator,2022-12-08 11:22:15
Tori Amos,A Sorta Fairytale,Scarlet's Walk,2022-12-08 11:16:47
The Killers,A Dustland Fairytale,Day & Age,2022-12-08 11:13:17
Blur,End of a Century,Parklife,2022-12-08 11:09:33
Suzanne Vega,99.9 F,99.9 F,2022-12-08 11:05:15
Souls of Mischief,'93 til Infinity,'93 til Infinity,2022-12-08 11:00:36
Southern Culture On The Skids,8 Piece Box,Dirt Track Date,2022-12-08 10:56:13
Youssou N'Dour,7 Seconds,The Guide,2022-12-08 10:50:19
Prince & the New Power Generation,7,Love Symbol,2022-12-08 10:45:46
The Wallflowers,6th Avenue Heartache,Bringing Down The Horse,2022-12-08 10:38:08
Liz Phair,"6'1""",Exile In Guyville,2022-12-08 10:35:10
Sneaker Pimps,6 Underground,Becoming X,2022-12-08 10:31:03
Bruce Springsteen,57 Channels (And Nothin' On),Human Touch,2022-12-08 10:28:41
PJ Harvey,50 Ft. Queenie,Rid Of Me,2022-12-08 10:25:09
Blue Rodeo,5 Days In May,Five Days In July,2022-12-08 10:20:49
Aimee Mann,4th Of July,Whatever,2022-12-08 10:17:20
Michelle Shocked,33 Rpm Soul,Arkansas Traveller,2022-12-08 10:13:44
Ani DiFranco,32 Flavors,Not A Pretty Girl,2022-12-08 10:05:35
Bahamadia,3 Tha Hard Way,Kollage,2022-12-08 10:01:29
Matchbox Twenty,3 AM,Yourself or Someone Like You,2022-12-08 09:57:23
Hooverphonic,2 Wicky,Stealing Beauty Ost,2022-12-08 09:52:57
MC Hammer,2 Legit 2 Quit,Too Legit To Quit,2022-12-08 09:47:14
Lucinda Williams,2 Kool 2 B Forgotten,Car Wheels On A Gravel Road,2022-12-08 09:41:19
Spice Girls,2 Become 1,Spice,2022-12-08 09:37:29
Smashing Pumpkins,1979,Melon Collie & The Infinite Sadness,2022-12-08 09:33:14
Richard Thompson,1952 Vincent Black Lightning,Rumor and Sigh,2022-12-08 09:28:36
Crystal Waters,100% Pure Love,Storyteller,2022-12-08 09:23:34
Sonic Youth,100%,Dirty,2022-12-08 09:21:08
Coolio,"1, 2, 3, 4 (Sumpin' New)",Gangsta's Paradise,2022-12-08 09:17:28
East Coast Family,1-4-All-4-1,1-4-All-4-1,2022-12-08 09:13:18
Dave Matthews Band,#41,Crash,2022-12-08 09:05:14
Garbage,#1 Crush,Absolute Garbage,2022-12-08 09:00:40
Bob Dylan,'Til I Fell In Love With You,Time Out of Mind,2022-12-08 08:54:53
The Subdudes,(You'll Be) Satisfied,Annunciation,2022-12-08 08:48:23
Harry Connick Jr,(I Could Only) Whisper Your Name,She,2022-12-08 08:43:25
UB40,(I Can't Help) Falling in Love with You,Promises and Lies,2022-12-08 08:38:54
Brandy,(Everything I Do) I Do It For You,Never Say Never,2022-12-08 08:34:47
Cherry Poppin' Daddies,Zoot Suit Riot,Zoot Suit Riot: The Swingin' Hits Of The Cherry Poppin' Daddies,2022-12-08 08:27:53
U2,Zoo Station,Achtung Baby,2022-12-08 08:23:24
The Cranberries,Zombie,No Need To Argue,2022-12-08 08:14:57
R. E. M.,Zither,New Adventures In Hi-fi,2022-12-08 08:11:38
Smashing Pumpkins,Zero,Melon Collie & The Infinite Sadness,2022-12-08 08:08:58
The Fugees,Zealots,The Score,2022-12-08 08:03:33
White Town,Your Woman,Women in Technology,2022-12-08 07:59:08
The Notting Hillbillies,Your Own Sweet Way,Missing..presumed Having A Good Time,2022-12-08 07:54:09
Olu Dara,Your Lips,In The World,2022-12-08 07:48:54
Shelby Lynne,Your Lies,I Am Shelby Lynne,2022-12-08 07:46:00
Kristin Hersh,Your Ghost,Hips And Makers,2022-12-08 07:41:07
Bruce Springsteen,Youngstown,The Ghost Of Tom Joad,2022-12-08 07:35:45
Shania Twain,You're Still The One,Come On Over,2022-12-08 07:32:32
Shawn Colvin,You're Gonna Make Me Lonesome When You Go,Cover Girl,2022-12-08 07:28:16
Jonathan Richman,You're Crazy For Taking The Bus,Jonathan Goes Country,2022-12-08 07:25:51
Tom Petty,You Wreck Me,Wildflowers,2022-12-08 07:18:53
Rosanne Cash,You Won't Let Me In,The Wheel,2022-12-08 07:14:36
Billy Bragg,You Woke Up My Neighborhood,Don't Try This At Home,2022-12-08 07:10:06
