Artist,Title,Album,Air Time
Cyndi Lauper,All Through The Night,She's So Unusual,2023-12-10 11:29:15
Madonna,Express Yourself,Like A Prayer,2023-12-10 11:21:39
Melanie,Lay Down (Candles In The Rain),Candles in the Rain,2023-12-10 11:16:22
Madonna,Like A Virgin,Like A Virgin,2023-12-10 11:12:48
Ani DiFranco,Both Hands,Ani DiFranco,2023-12-10 11:09:12
Nina Simone,Strange Fruit,Pastel Blues,2023-12-10 11:05:49
Nina Simone,I Wish I Knew How It Would Feel To Be Free,Silk & Soul,2023-12-10 11:00:33
Valerie June ,Ordinary World,Ordinary World,2023-12-10 10:55:45
David Grisman & Jerry Garcia,Freight Train,Not for Kids Only,2023-12-10 10:47:34
Bessie Jones and the Georgia Sea Island Singers,O Day,Get in Union,2023-12-10 10:43:32
Will Johnson,Of Passengers and Plight,No Ordinary Crown,2023-12-10 10:40:09
John Prine,Souvenirs,Diamonds in the Rough,2023-12-10 10:32:58
Bright Eyes,Christmas in Prison (ft. John Prine),Christmas in Prison (ft. John Prine),2023-12-10 10:27:42
Carole King,Snow Queen,The Carnegie Hall Concert (1971-06-18),2023-12-10 10:24:06
Michael Nau,Shiftshaping,Accompany,2023-12-10 10:20:23
Wayne Shorter,Dance Cadaverous,Speak No Evil,2023-12-10 10:12:23
Amy Ray,From This Room (feat. Natalie Hemby),If It All Goes South,2023-12-10 10:08:38
Alela Diane & The Hackles,River,It's Always Christmas Somewhere,2023-12-10 10:05:06
Dorothy Ashby,Back Talk,Hip Harp,2023-12-10 09:57:17
Bob Dylan,Queen Jane Approximately,Shadow Kingdom,2023-12-10 09:52:20
Regina Carter,Judy,For Ella: Accentuate the Positive,2023-12-10 09:47:46
Friko,For Ella,"Where we've been, Where we go from here",2023-12-10 09:44:39
Cassandra Wilson,You Don't Know What Love Is,Blue Light 'Til Dawn,2023-12-10 09:37:18
Hiss Golden Messenger,As Long as I Can See the Light,O Come All Ye Faithful,2023-12-10 09:34:44
Tommy Gurerrero,Dedication,Hanukkah+,2023-12-10 09:28:47
Laura Cantrell,Good Morning Mr. Afternoon,Just Like a Rose: The Anniversary Sessions,2023-12-10 09:26:11
Bill Withers,Grandma's Hands,Just As I Am,2023-12-10 09:24:00
Lisa LeBlanc,5748 Km,Why You Wanna Leave Runaway Queen?,2023-12-10 09:20:37
Mary Lou Williams,It Ain't Necessarily So,Mary Lou Williams,2023-12-10 09:13:13
James Elkington,"A Round, A Bout",Me Neither,2023-12-10 09:10:31
Adrianne Lenker,Ruined,Ruined [Single],2023-12-10 09:06:35
Nathan Salsburg,104,Psalms,2023-12-10 09:03:43
