Artist,Title,Air Time
Dolly Parton,Jolene,2020-12-17 10:22:00
The Temptations,My Girl,2020-12-17 10:17:00
Fleetwood Mac,Landslide,2020-12-17 10:13:00
Television,Marquee Moon,2020-12-17 10:01:00
David Bowie & Queen,Under Pressure,2020-12-17 09:57:00
The Rolling Stones,Jumpin' Jack Flash,2020-12-17 09:51:00
David Bowie,Life On Mars?,2020-12-17 09:48:00
Bruce Springsteen,Backstreets,2020-12-17 09:41:00
Lynyrd Skynyrd,Free Bird,2020-12-17 09:29:00
Grateful Dead,Eyes Of The World,2020-12-17 09:24:00
Pink Floyd,Time,2020-12-17 09:15:00
Elton John,Your Song,2020-12-17 09:11:00
Boz Scaggs,Loan Me A Dime,2020-12-17 08:57:00
The Allman Brothers,Blue Sky,2020-12-17 08:51:00
Peter Gabriel,In Your Eyes,2020-12-17 08:41:00
Johnny Cash,Hurt,2020-12-17 08:38:00
Jason Isbell & The 400 Unit,If We Were Vampires,2020-12-17 08:32:00
Joni Mitchell,River,2020-12-17 08:28:00
John Prine,Hello In There,2020-12-17 08:24:00
Miles Davis,All Blues,2020-12-17 08:10:00
The Doors,Light My Fire,2020-12-17 08:02:00
Taj Mahal,Ain't Gwine Whistle Dixie,2020-12-17 07:52:00
Rickie Lee Jones,Chuck E's In Love,2020-12-17 07:45:00
Robert Hazard,Escalator Of Life,2020-12-17 07:42:00
Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),2020-12-17 07:36:00
Missy Elliott,Work It,2020-12-17 07:32:00
Run-DMC,It's Tricky,2020-12-17 07:28:00
Wire,Three Girl Rhumba,2020-12-17 07:27:00
Strand Of Oaks,Goshen '97,2020-12-17 07:24:00
St. Vincent,Los Ageless,2020-12-17 07:16:00
Beck,Where It's At,2020-12-17 07:13:00
Ray Lamontagne,Trouble,2020-12-17 07:07:00
The Roches,Hammond Song,2020-12-17 07:01:00
Sade,Smooth Operator,2020-12-17 06:55:00
Zero 7,In The Waiting Line,2020-12-17 06:51:00
The Proclaimers,I'm Gonna Be (500 Miles),2020-12-17 06:44:00
The Pretenders,Talk Of The Town,2020-12-17 06:41:00
Wilbert Harrison,Let's Work Together (Parts 1 & 2),2020-12-17 06:34:00
Big Joe Turner,Shake Rattle And Roll,2020-12-17 06:31:00
Suzanne Vega,Marlene On The Wall,2020-12-17 06:27:00
World Party,When The Rainbow Comes,2020-12-17 06:22:00
Sarah McLachlan,Sweet Surrender,2020-12-17 06:14:00
Ben Folds Five,Brick,2020-12-17 06:10:00
Shocking Blue,Venus,2020-12-17 06:05:00
J. J. Cale,After Midnight,2020-12-17 06:03:00
Rosanne Cash,The Walking Wounded,2020-12-17 05:55:00
Tom Waits,Frank's Wild Years,2020-12-17 00:58:00
The Pretenders,The Wait,2020-12-17 00:54:00
Les Paul & Mary Ford,The World Is Waiting For The Sunrise,2020-12-17 00:52:00
Boz Scaggs,We're Waiting,2020-12-17 00:45:00
Tom Petty & The Heartbreakers,The Waiting,2020-12-17 00:41:00
Elton John,Funeral For A Friend/Love Lies Bleeding,2020-12-17 00:30:00
Joni Mitchell,Both Sides Now,2020-12-17 00:23:00
Pearl Jam,Alive,2020-12-17 00:17:00
Bob Marley & The Wailers,Three Little Birds,2020-12-17 00:12:00
Foo Fighters,Everlong,2020-12-17 00:08:00
Elvis Costello,"(What's So Funny 'bout) Peace, Love & Understanding",2020-12-17 00:05:00
Paul Simon,You Can Call Me Al,2020-12-17 00:00:00
