Artist,Title,Air Time
Prince,Bat Dance,2018-11-28 23:56:00
The Replacements,Bastards Of Young,2018-11-28 23:51:00
Mantronix,Bassline,2018-11-28 23:45:00
Kurtis Blow,Basketball,2018-11-28 23:39:00
The Smiths,Barbarism Begins At Home,2018-11-28 23:31:00
Bad Brains,Banned In D.C.,2018-11-28 23:29:00
Todd Rundgren,Bang The Drum All Day,2018-11-28 23:26:00
Robyn Hitchcock & The Egyptians,Balloon Man,2018-11-28 23:22:00
Felt,Ballad Of The Band,2018-11-28 23:17:00
Love And Rockets,Ball Of Confusion,2018-11-28 23:14:00
XTC,Ball And Chain,2018-11-28 23:10:00
Madness,Baggy Trousers,2018-11-28 23:05:00
Baby Flamehead,Badadadadup,2018-11-28 23:01:00
George Thorogood & The Destroyers,Bad to the Bone,2018-11-28 22:56:00
Beat Happening,Bad Seeds,2018-11-28 22:54:00
Joan Jett,Bad Reputation,2018-11-28 22:50:00
The Fuzztones,Bad News Travels Fast,2018-11-28 22:47:00
Bon Jovi,Bad Medicine,2018-11-28 22:42:00
Warren Zevon,Bad Luck Streak In Dancing School,2018-11-28 22:39:00
Eric Clapton,Bad Love,2018-11-28 22:34:00
Luther Vandross,Bad Boy / Having A Party,2018-11-28 22:29:00
John Prine,Bad Boy,2018-11-28 22:25:00
Michael Jackson,Bad,2018-11-28 22:20:00
U2,Bad,2018-11-28 22:14:00
Del Fuegos,Backseat Nothing,2018-11-28 22:11:00
George Thorogood & The Destroyers,Back To Wentzville,2018-11-28 22:08:00
John Hiatt,Back To Normal,2018-11-28 22:03:00
Soul II Soul,Back To Life,2018-11-28 22:00:00
Richard & Linda Thompson,Back Street Slide,2018-11-28 21:55:00
The Pretenders,Back On The Chain Gang,2018-11-28 21:50:00
Steve Winwood,Back in the High Life Again,2018-11-28 21:45:00
AC/DC,Back In Black,2018-11-28 21:41:00
Steely Dan,Babylon Sisters,2018-11-28 21:34:00
Bow Wow Wow,"Baby, Oh No",2018-11-28 21:31:00
Patti Austin and James Ingram,"Baby, Come To Me",2018-11-28 21:28:00
A.R. Kane,Baby Milk Snatcher,2018-11-28 21:22:00
Prince,Baby I'm A Star,2018-11-28 21:16:00
Milli Vanilli,Baby Don't Forget My Number,2018-11-28 21:12:00
Harold Faltermeyer,Axel F,2018-11-28 21:07:00
Nick Lowe,Awesome,2018-11-28 21:04:00
The Feelies,Away,2018-11-28 20:59:00
Lou Reed,Average Guy,2018-11-28 20:56:00
Roxy Music,Avalon,2018-11-28 20:52:00
Prince,Automatic,2018-11-28 20:42:00
The Adult Net,August,2018-11-28 20:37:00
Meat Puppets,Attacked By Monsters,2018-11-28 20:31:00
Lydia Lunch,Atomic Bongos,2018-11-28 20:29:00
Tom Robinson,Atmospherics (Listen To The Radio),2018-11-28 20:25:00
Joy Division,Atmosphere,2018-11-28 20:19:00
Bruce Springsteen,Atlantic City,2018-11-28 20:15:00
The Who,Athena,2018-11-28 20:12:00
Skinny Puppy,Assimilate,2018-11-28 20:03:00
The Smiths,Ask,2018-11-28 20:00:00
Johnny Clegg & Savuka,Asimbonanga,2018-11-28 19:55:00
David Bowie,Ashes To Ashes,2018-11-28 19:49:00
Stevie Wonder,As If You Read My Mind,2018-11-28 19:46:00
