Artist,Title,Air Time
Poco,Hurry Up,2017-12-03 23:55:00
Bob Dylan,Hurricane,2017-12-03 23:44:00
Can,Hunters And Collectors,2017-12-03 23:40:00
Peter Gabriel,Humdrum,2017-12-03 23:36:00
Neil Young,Human Highway,2017-12-03 23:33:00
The Cramps,Human Fly,2017-12-03 23:31:00
John Hartford,Howard Hughes' Blues,2017-12-03 23:28:00
John Lennon,How?,2017-12-03 23:24:00
Ambrosia,How Much I Feel,2017-12-03 23:19:00
Freddie King,How Many More Years,2017-12-03 23:15:00
The Pointer Sisters,How Long (Betcha' Got a Chick on the Side),2017-12-03 23:08:00
ACE,How Long,2017-12-03 23:04:00
Slade,How Does It Feel?,2017-12-03 22:58:00
John Lennon,How Do You Sleep?,2017-12-03 22:52:00
Mouth & MacNeal,How Do You Do?,2017-12-03 22:49:00
Bee Gees,How Deep Is Your Love,2017-12-03 22:44:00
Bee Gees,How Can You Mend A Broken Heart,2017-12-03 22:40:00
Al Green,How Can You Mend A Broken Heart,2017-12-03 22:34:00
Ry Cooder,How Can You Keep Moving,2017-12-03 22:31:00
Cat Stevens,How Can I Tell You,2017-12-03 22:26:00
Led Zeppelin,Houses Of The Holy,2017-12-03 22:22:00
Led Zeppelin,Hots On For Nowhere,2017-12-03 22:17:00
The Eagles,Hotel California,2017-12-03 22:11:00
Night,Hot Summer Nights,2017-12-03 22:05:00
The Rolling Stones,Hot Stuff,2017-12-03 22:00:00
Donna Summer,Hot Stuff,2017-12-03 21:56:00
Commander Cody & His Lost Planet Airmen,Hot Rod Lincoln,2017-12-03 21:53:00
James Brown,Hot Pants,2017-12-03 21:50:00
Bob Welch,Hot Love Cold World,2017-12-03 21:45:00
T Rex,Hot Love,2017-12-03 21:40:00
Led Zeppelin,Hot Dog,2017-12-03 21:36:00
Nick Gilder,Hot Child in the City,2017-12-03 21:33:00
Paul McCartney,Hot As Sun/Glasses,2017-12-03 21:31:00
America,Horse With No Name,2017-12-03 21:25:00
Santana,Hope You're Feeling Better,2017-12-03 21:21:00
Aretha Franklin,Hooked On Your Love,2017-12-03 21:16:00
Blue Swede,Hooked On A Feeling,2017-12-03 21:14:00
Elton John,Honky Tonk Women,2017-12-03 21:07:00
Elton John,Honky Cat,2017-12-03 21:02:00
Siouxsie & The Banshees,Hong Kong Garden,2017-12-03 20:59:00
10cc,Honeymoon With B Troop,2017-12-03 20:56:00
James Taylor,Honey Don't Leave L.A.,2017-12-03 20:53:00
Mott The Hoople,Honaloochie Boogie,2017-12-03 20:50:00
The J. Geils Band,Homework,2017-12-03 20:47:00
Tom Petty & The Heartbreakers,Hometown Blues,2017-12-03 20:44:00
Neil Young,Homegrown,2017-12-03 20:42:00
Steely Dan,Home At Last,2017-12-03 20:37:00
Carole King,Home Again,2017-12-03 20:34:00
Karla Bonoff,Home,2017-12-03 20:30:00
Kool & The Gang,Hollywood Swinging,2017-12-03 20:24:00
Bob Seger & The Silver Bullet Band,Hollywood Nights,2017-12-03 20:19:00
Boz Scaggs,Hollywood,2017-12-03 20:16:00
Sex Pistols,Holidays In The Sun,2017-12-03 20:13:00
Elton John,Holiday Inn,2017-12-03 20:09:00
The Police,Hole In My Life,2017-12-03 20:02:00
L.T.D.,Holding On (When Love Is Gone),2017-12-03 19:59:00
Ambrosia,Holdin' On To Yesterday,2017-12-03 19:54:00
Argent,Hold Your Head Up,2017-12-03 19:48:00
Steve Winwood,Hold On,2017-12-03 19:42:00
Ian Gomm,Hold On,2017-12-03 19:39:00
The Trammps,Hold Back The Night,2017-12-03 19:36:00
Emerson Lake & Palmer,Hoedown,2017-12-03 19:32:00
Focus,Hocus Pocus,2017-12-03 19:24:00
Vanity Fare,Hitchin' A Ride,2017-12-03 19:21:00
Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,2017-12-03 19:17:00
Funkadelic,Hit It And Quit It,2017-12-03 19:13:00
Joni Mitchell,Hissing Of Summer Lawns,2017-12-03 19:09:00
AC/DC,Highway To Hell,2017-12-03 19:05:00
Deep Purple,Highway Star,2017-12-03 18:59:00
Blackfoot,Highway Song,2017-12-03 18:52:00
Kool & The Gang,Higher Plane,2017-12-03 18:47:00
Stevie Wonder,Higher Ground,2017-12-03 18:43:00
Joe Cocker,High Time We Went,2017-12-03 18:39:00
Dead Boys,High Tension Wire,2017-12-03 18:36:00
Traffic,Hidden Treasure,2017-12-03 18:31:00
Little Feat,Hi Roller,2017-12-03 18:28:00
Paul McCartney & Wings,Hi Hi Hi,2017-12-03 18:24:00
Pink Floyd,Hey You,2017-12-03 18:20:00
Bachman-Turner Overdrive,Hey You,2017-12-03 18:16:00
Creedence Clearwater Revival,Hey Tonight,2017-12-03 18:12:00
Flash And The Pan,Hey Saint Peter,2017-12-03 18:09:00
The Meters,Hey Pocky Way,2017-12-03 18:04:00
The Rolling Stones,Hey Negrita,2017-12-03 17:59:00
James Taylor,"Hey Mister, That's Me Up On The Jukebox",2017-12-03 17:55:00
Dead Boys,Hey Little Girl,2017-12-03 17:52:00
Neil Young,"Hey Hey, My My (Into the Black)",2017-12-03 17:45:00
Rare Earth,Hey Big Brother,2017-12-03 17:40:00
Lou Reed,Heroin,2017-12-03 17:28:00
Fleetwood Mac,Heroes Are Hard To Find,2017-12-03 17:22:00
David Bowie,Heroes,2017-12-03 17:16:00
The Doobie Brothers,Here To Love You,2017-12-03 17:12:00
Al Green,Here I Am (Come And Take Me),2017-12-03 17:07:00
Brian Eno,Here He Comes,2017-12-03 17:01:00
Tuff Darts,Here Comes Trouble,2017-12-03 16:59:00
The Jam,Here Comes The Weekend,2017-12-03 16:55:00
Richie Havens,Here Comes The Sun,2017-12-03 16:51:00
The Undertones,Here Comes The Summer,2017-12-03 16:50:00
Tom Petty & The Heartbreakers,Here Comes My Girl,2017-12-03 16:45:00
Jackson Browne,Here Come Those Tears Again,2017-12-03 16:42:00
Jonathan Richman And The Modern Lovers,Here Come The Martian Martians,2017-12-03 16:38:00
Captain Beefheart,Her Eyes Are A Blue Million Miles,2017-12-03 16:35:00
New Riders Of The Purple Sage,Henry,2017-12-03 16:32:00
The Band,Helpless,2017-12-03 16:27:00
Crosby Stills Nash & Young,Helpless,2017-12-03 16:24:00
The Carpenters,Help!,2017-12-03 16:20:00
The Undisputed Truth,Help Yourself,2017-12-03 16:17:00
Joe Walsh,Help Me Thru The Night,2017-12-03 16:14:00
Kris Kristofferson,Help Me Make It Through The Night,2017-12-03 16:11:00
Joni Mitchell,Help Me,2017-12-03 16:08:00
Eric Clapton,Hello Old Friend,2017-12-03 16:01:00
Creedence Clearwater Revival,Hello Mary Lou,2017-12-03 15:59:00
Todd Rundgren,Hello It's Me,2017-12-03 15:55:00
John Prine,Hello In There,2017-12-03 15:50:00
Joan Baez,Hello In There,2017-12-03 15:47:00
Conway Twitty,Hello Darlin',2017-12-03 15:45:00
Bill Bruford,Hell's Bells,2017-12-03 15:40:00
XTC,Helicopter,2017-12-03 15:36:00
Paul McCartney & Wings,Helen Wheels,2017-12-03 15:33:00
Joni Mitchell,Hejira,2017-12-03 15:26:00
The Staple Singers,Heavy Makes You Happy (sha-na-boom Boom),2017-12-03 15:23:00
Van Morrison,Heavy Connection,2017-12-03 15:18:00
Cheap Trick,Heaven Tonight,2017-12-03 15:11:00
Tavares,Heaven Must Be Missing An Angel,2017-12-03 15:04:00
Stevie Wonder,Heaven Is A Zillion Light Years Away,2017-12-03 14:59:00
Talking Heads,Heaven,2017-12-03 14:55:00
XTC,Heatwave,2017-12-03 14:51:00
Linda Ronstadt,Heatwave,2017-12-03 14:48:00
The Jam,Heat Wave,2017-12-03 14:46:00
Graham Parker,Heat Treatment,2017-12-03 14:43:00
Grand Funk Railroad,Heartbreaker,2017-12-03 14:36:00
The Dictators,Heartaches,2017-12-03 14:32:00
The Eagles,Heartache Tonight,2017-12-03 14:27:00
Yes,Heart Of The Sunrise,2017-12-03 14:17:00
Paul McCartney,Heart Of The Country,2017-12-03 14:14:00
Nick Lowe,Heart Of The City,2017-12-03 14:12:00
Neil Young,Heart Of Gold,2017-12-03 14:08:00
Blondie,Heart Of Glass,2017-12-03 14:02:00
Kate & Anna McGarrigle,Heart Like A Wheel,2017-12-03 13:59:00
Dan Fogelberg,Heart Hotels,2017-12-03 13:55:00
The Guess Who,Heart Broken Bopper,2017-12-03 13:50:00
The Soul Children,Hearsay,2017-12-03 13:44:00
Earth Wind & Fire,Head To The Sky,2017-12-03 13:39:00
The Velvet Underground,Head Held High,2017-12-03 13:36:00
The Babys,Head First,2017-12-03 13:32:00
Sister Sledge,He's The Greatest Dancer,2017-12-03 13:25:00
Stevie Wonder,He's Mistra Know It All,2017-12-03 13:20:00
Bobby Charles,He's Got All The Whisky,2017-12-03 13:15:00
John Kongos,He's Gonna Step On You Again,2017-12-03 13:11:00
Cheap Trick,He's A Whore,2017-12-03 13:06:00
Ry Cooder,He'll Have To Go,2017-12-03 13:01:00
Tony Orlando and Dawn,He Don't Love You (Like I Love You),2017-12-03 12:57:00
Candi Staton,He Called Me Baby,2017-12-03 12:54:00
Nick Drake,Hazy Jane II,2017-12-03 12:49:00
Nick Drake,Hazey Jane I,2017-12-03 12:45:00
Carly Simon,Haven't Got Time For The Pain,2017-12-03 12:41:00
Jefferson Starship,Have You Seen The Stars Tonight,2017-12-03 12:37:00
The Chi-Lites,Have You Seen Her,2017-12-03 12:31:00
Olivia Newton-John,Have You Never Been Mellow,2017-12-03 12:28:00
Creedence Clearwater Revival,Have You Ever Seen The Rain?,2017-12-03 12:25:00
Stevie Wonder,Have A Talk With God,2017-12-03 12:15:00
Paul Simon,Have A Good Time,2017-12-03 12:12:00
Pink Floyd,Have A Cigar,2017-12-03 12:06:00
The Clash,Hateful,2017-12-03 12:03:00
Warren Zevon,Hasten Down The Wind,2017-12-03 12:00:00
The Isley Brothers,Harvest For The World,2017-12-03 11:56:00
Neil Young,Harvest,2017-12-03 11:53:00
Chicago,Harry Truman,2017-12-03 11:49:00
Bobbi Humphrey,Harlem River Drive,2017-12-03 11:36:00
John Handy,Hard Work,2017-12-03 11:33:00
The Rubinoos,Hard To Get,2017-12-03 11:30:00
Steeleye Span,Hard Times of Old England,2017-12-03 11:23:00
Boz Scaggs,Hard Times,2017-12-03 11:19:00
Kiss,Hard Luck Woman,2017-12-03 11:15:00
Frank Zappa & The Mothers,Happy Together,2017-12-03 11:13:00
The Rolling Stones,Happy,2017-12-03 11:07:00
Brian Auger's Oblivion Express,Happiness Is Just Around The Bend,2017-12-03 11:00:00
The Nerves,Hanging On The Telephone,2017-12-03 10:57:00
Blondie,Hanging On The Telephone,2017-12-03 10:55:00
Lou Reed,Hangin' Round,2017-12-03 10:50:00
David Bowie,Hang Onto Yourself,2017-12-03 10:47:00
The Rolling Stones,Hand Of Fate,2017-12-03 10:43:00
Black Sabbath,Hand Of Doom,2017-12-03 10:34:00
The Guess Who,Hand Me Down World,2017-12-03 10:31:00
The Roches,Hammond Song,2017-12-03 10:26:00
Sweathog,Hallelujah,2017-12-03 10:20:00
Janis Joplin,Half Moon,2017-12-03 10:16:00
Cher,Half Breed,2017-12-03 10:14:00
Steely Dan,Haitian Divorce,2017-12-03 10:06:00
Graham Central Station,Hair,2017-12-03 10:01:00
Faces,Had Me A Real Good Time,2017-12-03 09:54:00
Hall & Oates,Had I Known you Better Then,2017-12-03 09:49:00
Cher,"Gypsys, Tramps & Thieves",2017-12-03 09:47:00
War,Gypsy Man,2017-12-03 09:42:00
Devo,Gut Feeling/Slap Your Mammy,2017-12-03 09:37:00
The Outlaws,Gunsmoke,2017-12-03 09:31:00
The Clash,Guns On The Roof,2017-12-03 09:28:00
Randy Newman,Guilty,2017-12-03 09:26:00
Mick Ronson,Growing Up And I'm Fine,2017-12-03 09:22:00
Bruce Springsteen,Growing Up,2017-12-03 09:18:00
Elton John,Grow Some Funk Of Your Own,2017-12-03 09:14:00
New Riders Of The Purple Sage,Groupie,2017-12-03 09:10:00
King Floyd,Groove Me,2017-12-03 09:06:00
Sugarloaf,Green-Eyed Lady,2017-12-03 08:59:00
Elvis Costello,Green Shirt,2017-12-03 08:56:00
Roy Buchanan,Green Onions,2017-12-03 08:47:00
The Outlaws,Green Grass & High Tides,2017-12-03 08:37:00
Steely Dan,Green Earrings,2017-12-03 08:31:00
Bob Weir,Greatest Story Ever Told,2017-12-03 08:27:00
Ted Nugent,Great White Buffalo,2017-12-03 08:19:00
Frankie Valli,Grease,2017-12-03 08:16:00
Steve Martin,Grandmother's Song,2017-12-03 08:13:00
Bill Withers,Grandma's Hands,2017-12-03 08:11:00
The Modern Lovers,Government Center,2017-12-03 08:08:00
Bob Dylan,Gotta Serve Somebody,2017-12-03 08:03:00
Harry Nilsson,Gotta Get Up,2017-12-03 08:00:00
Bloodrock,Gotta Find A Way,2017-12-03 07:53:00
Marvin Gaye,Got To Give It Up,2017-12-03 07:41:00
Earth Wind & Fire,Got To Get You Into My Life,2017-12-03 07:34:00
Joe Jackson,Got The Time,2017-12-03 07:32:00
Average White Band,Got The Love,2017-12-03 07:28:00
John Hartford,Got No Place To Go,2017-12-03 07:24:00
Elvis Costello,Goon Squad,2017-12-03 07:19:00
Elton John,Goodbye Yellow Brick Road,2017-12-03 07:16:00
The Stranglers,Goodbye Toulouse,2017-12-03 07:13:00
The Carpenters,Goodbye To Love,2017-12-03 07:08:00
Supertramp,Goodbye Stranger,2017-12-03 07:02:00
Jeff Beck,Goodbye Pork Pie Hat,2017-12-03 06:56:00
Squeeze,Goodbye Girl,2017-12-03 06:53:00
Todd Rundgren,Good Vibrations,2017-12-03 06:49:00
The Cars,Good Times Roll,2017-12-03 06:45:00
Chic,Good Times,2017-12-03 06:37:00
Montrose,Good Rocking Tonight,2017-12-03 06:32:00
The American Dream,Good News,2017-12-03 06:28:00
Muddy Waters,Good Morning Little School Girl,2017-12-03 06:25:00
Diana Ross,Good Morning Heartache,2017-12-03 06:23:00
Grateful Dead,Good Lovin',2017-12-03 06:17:00
Isaac Hayes,Good Love,2017-12-03 06:12:00
The Knack,Good Girls Don't,2017-12-03 06:08:00
Bonnie Raitt,Good Enough,2017-12-03 06:05:00
The Eagles,Good Day In Hell,2017-12-03 06:00:00
Queen,Good Company,2017-12-03 05:56:00
Bob Dylan,Gonna Change My Way Of Thinking,2017-12-03 05:50:00
Bad Company,Gone Gone Gone,2017-12-03 05:46:00
Crazy Horse,Gone Dead Train,2017-12-03 05:42:00
Paul Simon,Gone At Last,2017-12-03 05:38:00
Caravan,Golf Girl,2017-12-03 05:33:00
David Bowie,Golden Years,2017-12-03 05:29:00
Stevie Wonder,Golden Lady,2017-12-03 05:24:00
Fleetwood Mac,Gold Dust Woman,2017-12-03 05:19:00
John Stewart,Gold,2017-12-03 05:15:00
Bob Dylan,"Going, Going, Gone",2017-12-03 05:11:00
Steve Miller Band,Going To The Country,2017-12-03 05:07:00
Led Zeppelin,Going To California,2017-12-03 05:04:00
The Who,Going Mobile,2017-12-03 05:00:00
Yes,Going For The One,2017-12-03 04:54:00
Jeff Beck,Going Down,2017-12-03 04:46:00
Freddie King,Going Down,2017-12-03 04:43:00
Bob Dylan And The Band,Goin' To Acapulco,2017-12-03 04:38:00
Steve Forbert,Goin' Down To Laurel,2017-12-03 04:33:00
Nils Lofgren,Goin' Back,2017-12-03 04:29:00
Blue Oyster Cult,Godzilla,2017-12-03 04:25:00
The Sex Pistols,God Save The Queen,2017-12-03 04:22:00
Marvin Gaye,God Is Love,2017-12-03 04:20:00
Argent,God Gave Rock And Roll To You,2017-12-03 04:13:00
John Lennon,God,2017-12-03 04:09:00
Fleetwood Mac,Go Your Own Way,2017-12-03 04:06:00
Stephen Stills,Go Back Home,2017-12-03 03:59:00
Donny Osmond,Go Away Little Girl,2017-12-03 03:57:00
The Raspberries,Go All The Way,2017-12-03 03:53:00
Television,Glory,2017-12-03 03:48:00
Patti Smith,Gloria,2017-12-03 03:43:00
New Riders Of The Purple Sage,Glendale Train,2017-12-03 03:39:00
Van Morrison,Glad Tidings,2017-12-03 03:35:00
Faces,Glad And Sorry,2017-12-03 03:32:00
The Rezillos,Glad All Over,2017-12-03 03:30:00
Traffic,Glad,2017-12-03 03:23:00
Parliament,Give Up The Funk (Tear The Roof Off The Sucker),2017-12-03 03:16:00
The O'Jays,Give The People What They Want,2017-12-03 03:13:00
Eric Clapton,Give Me Strength,2017-12-03 03:10:00
George Harrison,Give Me Love,2017-12-03 03:07:00
Chairmen Of The Board,Give Me Just A Little More Time,2017-12-03 03:03:00
Robert Palmer,Give Me An Inch,2017-12-03 03:00:00
Bonnie Raitt,Give It Up Or Let Me Go,2017-12-03 02:55:00
Curtis Mayfield,Give It Up,2017-12-03 02:51:00
The J. Geils Band,Give It To Me,2017-12-03 02:45:00
Supertramp,Give A Little Bit,2017-12-03 02:40:00
Dave Edmunds,Girls Talk,2017-12-03 02:37:00
The Undertones,Girls Don't Like It,2017-12-03 02:35:00
The Modern Lovers,Girlfriend,2017-12-03 02:31:00
Bram Tchaikovsky,Girl Of My Dreams,2017-12-03 02:27:00
Bachman-Turner Overdrive,Gimme Your Money Please,2017-12-03 02:22:00
Lynyrd Skynyrd,Gimme Three Steps,2017-12-03 02:17:00
Boz Scaggs,Gimme The Goods,2017-12-03 02:13:00
John Lennon,Gimme Some Truth,2017-12-03 02:10:00
Merry Clayton,Gimme Shelter,2017-12-03 02:06:00
The Ramones,Gimme Gimme Shock Treatment,2017-12-03 02:04:00
The Pipkins,Gimme Dat Ding,2017-12-03 02:02:00
Iggy & The Stooges,Gimme Danger,2017-12-03 01:59:00
Lynyrd Skynyrd,Gimme Back My Bullets,2017-12-03 01:55:00
Garland Jeffreys,Ghostwriter,2017-12-03 01:50:00
Suicide,Ghost Rider,2017-12-03 01:46:00
Patti Smith,Ghost Dance,2017-12-03 01:41:00
The Who,Gettin' In Tune,2017-12-03 01:37:00
Earth Wind & Fire,Getaway,2017-12-03 01:32:00
Roger Voudouris,Get Used To It,2017-12-03 01:30:00
Bob Marley & The Wailers,"Get Up, Stand Up",2017-12-03 01:26:00
James Brown,"Get Up, Get Into It, And Get Involved",2017-12-03 01:19:00
James Brown,Get Up Offa That Thing,2017-12-03 01:15:00
James Brown,Get Up I Feel Like Being A Sex Machine,2017-12-03 01:09:00
The Dramatics,Get Up & Get Down,2017-12-03 01:06:00
Brothers Johnson,Get The Funk Out Ma Face,2017-12-03 01:00:00
NRBQ,Get Rhythm,2017-12-03 00:56:00
Willie Hutch,Get Ready For The Get Down,2017-12-03 00:52:00
Eric Clapton,Get Ready,2017-12-03 00:48:00
The Undertones,Get Over You,2017-12-03 00:44:00
Mighty Diamonds,Get Out Of My Life Woman,2017-12-03 00:41:00
Bob Seger,Get Out Of Denver,2017-12-03 00:38:00
James Brown,Get On The Good Foot,2017-12-03 00:33:00
Foxy,Get Off,2017-12-03 00:29:00
Wilson Pickett,"Get Me Back On Time, Engine Number 9",2017-12-03 00:23:00
Janis Joplin,Get It While You Can,2017-12-03 00:19:00
Billy Joel,Get It Right The First Time,2017-12-03 00:15:00
Queen,"Get Down, Make Love",2017-12-03 00:11:00
Joe Simon,"Get Down, Get Down",2017-12-03 00:07:00
KC and the Sunshine Band,Get Down Tonight,2017-12-03 00:04:00
Slade,Get Down And Get With It,2017-12-03 00:00:00
