Artist,Title,Album,Air Time
Janet Jackson,Together Again,The Velvet Rope,2022-12-07 12:41:05
Smashing Pumpkins,Today,Siamese Dream,2022-12-07 12:37:37
"10,000 Maniacs",To Sir With Love,"<Few & Far Between"" (single)",2022-12-07 12:32:36
Cowboy Junkies,To Live Is To Fly,Black Eyed Man,2022-12-07 12:27:37
Weezer,Tired Of Sex,Pinkerton,2022-12-07 12:24:37
Royal Crescent Mob,Timebomb,Midnight Rose's,2022-12-07 12:19:41
Velvet Crush,Time Wraps Around You,Teenage Symphonies To God,2022-12-07 12:15:25
Tom Petty,Time To Move On,Wildflowers,2022-12-07 12:12:15
Nanci Griffith,Time Of Inconvenience,The Flyer,2022-12-07 12:07:24
Rancid,Time Bomb,And Out Come The Wolves,2022-12-07 12:04:17
Old 97's,Time Bomb,Too Far To Care,2022-12-07 12:01:13
Gin Blossoms,Til I Hear It From You,Empire Records (Original Soundtrack),2022-12-07 11:57:03
Blue Rodeo,Til I Am Myself Again,Casino,2022-12-07 11:52:00
Beat Happening,Tiger Trap,You Turn Me On,2022-12-07 11:45:14
Luna,Tiger Lily,Bewitched,2022-12-07 11:39:04
The Vaughan Brothers,Tick Tock,Family Style,2022-12-07 11:32:59
Morphine,Thursday,Cure For Pain,2022-12-07 11:29:30
AC/DC,Thunderstuck,The Razors Edge,2022-12-07 11:24:39
Bone Thugs-N-Harmony,Thuggish Ruggish Bone,Creepin' On Ah Come Up (e.p.),2022-12-07 11:19:11
John Hiatt,Through Your Hands,Stolen Moments,2022-12-07 11:14:26
The Wallflowers,Three Marlenas,Bringing Down The Horse,2022-12-07 11:09:36
Indigo Girls,Three Hits,Rites of Passage,2022-12-07 11:05:27
Nanci Griffith,Three Flights Up,"Other Voices, Other Rooms",2022-12-07 11:01:52
Liquid Soul,Threadin' The Needle,Make Some Noise,2022-12-07 10:57:17
Goodie Mob,Thought Process (ft. Andre 3000),Soul Food,2022-12-07 10:52:06
Shelby Lynne,Thought It Would Be Easier,I Am Shelby Lynne,2022-12-07 10:47:09
David Gray,This Year's Love,White Ladder,2022-12-07 10:43:10
Madonna,This Used to Be My Playground,(single),2022-12-07 10:37:59
Los Lobos,This Time,This Time,2022-12-07 10:32:46
Montell Jordan,This Is How We Do It,This Is How We Do It,2022-12-07 10:29:01
John Lee Hooker,This Is Hip,Mr. Lucky,2022-12-07 10:25:44
Cracker,This Is Cracker Soul,Cracker,2022-12-07 10:21:03
Foo Fighters,This is a Call,Foo Fighters,2022-12-07 10:17:12
Nanci Griffith,This Heart,The Flyer,2022-12-07 10:13:54
Sting,This Cowboy Song,Fields Of Gold-the Best Of Sting,2022-12-07 10:07:51
Smashing Pumpkins,Thirty Three,Melon Collie & The Infinite Sadness,2022-12-07 10:03:43
Johnny Cash,Thirteen,American Recordings,2022-12-07 10:01:17
Medeski Martin & Wood,Think,Shack-Man,2022-12-07 09:55:30
Indigenous,Things We Do,Things We Do,2022-12-07 09:50:43
Smokin Suckaz Wit Logic,Things Change,Playin' Foolz,2022-12-07 09:46:06
John Mellencamp,They're So Tough,Whenever We Wanted,2022-12-07 09:41:52
Das EFX,They Want EFX,Dead Serious,2022-12-07 09:38:03
Pete Rock and C.L. Smooth,They Reminisce Over You (T.R.O.Y.),Mecca and the Soul Brother,2022-12-07 09:33:31
Nanci Griffith,These Days In An Open Book,The Flyer,2022-12-07 09:28:48
"10,000 Maniacs",These Days,Rubaiyat - Elektra Records 40th Anniversary,2022-12-07 09:25:30
"10,000 Maniacs",These Are Days,Our Time In Eden,2022-12-07 09:21:49
Jonathan Richman,There's Something About Mary,There's Something About Mary OST,2022-12-07 09:20:04
Blur,There's No Other Way,Leisure,2022-12-07 09:15:21
The La's,There She Goes,The La's,2022-12-07 09:12:38
Sixpence None The Richer,There She Goes,Sixpence None The Richer,2022-12-07 09:10:03
Sheryl Crow,There Goes The Neighborhood,The Globe Sessions,2022-12-07 09:03:20
John Williams,Theme From Jurassic Park,Jurassic Park OST,2022-12-07 08:59:48
Paul McCartney,The World Tonight,Flaming Pie,2022-12-07 08:55:16
Nas,The World Is Yours,Illmatic,2022-12-07 08:49:03
Pizzicato Five,The World Is Spinning at 45 RPM,Happy End of the World,2022-12-07 08:42:43
Garbage,The World Is Not Enough,The World Is Not Enough Soundtrack,2022-12-07 08:37:06
Collective Soul,The World I Know,Collective Soul,2022-12-07 08:32:47
Rosanne Cash,The Wheel,The Wheel,2022-12-07 08:28:33
Phish,The Wedge,Rift,2022-12-07 08:20:11
Fastball,The Way,All The Pain Money Can Buy,2022-12-07 08:15:24
U2,The Wanderer (feat. Johnny Cash),Zooropa,2022-12-07 08:10:19
Dinosaur Jr,The Wagon,Green Mind,2022-12-07 08:04:27
Metallica,The Unforgiven II,Reload,2022-12-07 07:57:54
Dead Can Dance,The Ubiquitous Mr Lovegrove,Into The Labyrinth,2022-12-07 07:51:37
Radiohead,The Tourist,OK Computer,2022-12-07 07:45:10
Jerry Garcia & David Grisman,The Thrill Is Gone,Jerry Garcia / David Grisman,2022-12-07 07:40:24
The Pogues,The Sunny Side Of The Street,Hell's Ditch,2022-12-07 07:36:33
They Might Be Giants,The Statue Got Me High,Apollo 18,2022-12-07 07:31:57
Belle and Sebastian,The State I Am In,Tigermilk,2022-12-07 07:27:06
Sting,The Soul Cages,The Soul Cages,2022-12-07 07:17:28
PJ Harvey,The Sky Lit Up,Is This Desire?,2022-12-07 07:15:33
Stevie Ray Vaughan,The Sky Is Crying,The Sky Is Crying,2022-12-07 07:11:00
John Prine,The Sins Of Memphisto,The Missing Years,2022-12-07 07:05:16
Bela Fleck & The Flecktones,The Sinister Minister,Bela Fleck & The Flecktones,2022-12-07 07:00:35
Ace Of Base,The Sign,The Sign,2022-12-07 06:56:54
R. E. M.,The Sidewinder Sleeps Tonight,Automatic For The People,2022-12-07 06:49:56
Fatboy Slim,The Rockafeller Skank,"You've Come A Long Way, Baby",2022-12-07 06:43:04
