Artist,Title,Air Time
Tom Waits,Bad Liver And A Broken Heart (In Lowell),2017-11-29 23:55:00
Donna Summer,Bad Girls,2017-11-29 23:51:00
Bad Company,Bad Company,2017-11-29 23:45:00
Moon Martin,Bad Case of Loving You,2017-11-29 23:41:00
Neil Sedaka,Bad Blood,2017-11-29 23:38:00
Faces,Bad 'N' Ruin,2017-11-29 23:31:00
Bruce Springsteen,Backstreets,2017-11-29 23:25:00
Warren Zevon,Backs Turned Looking Down The Path,2017-11-29 23:22:00
Leon Russell,Back To The Island,2017-11-29 23:17:00
Graham Parker & The Rumor,Back To Schooldays,2017-11-29 23:14:00
Curved Air,Back Street Luv,2017-11-29 23:11:00
The O'Jays,Back Stabbers,2017-11-29 23:06:00
Ringo Starr,Back Off Boogaloo,2017-11-29 23:03:00
The Jags,Back Of My Hand,2017-11-29 22:59:00
Big Star,Back Of A Car,2017-11-29 22:57:00
Nils Lofgren,Back It Up,2017-11-29 22:54:00
MC5,Back In The USA,2017-11-29 22:51:00
Aerosmith,Back In The Saddle,2017-11-29 22:46:00
Funkadelic,Back In Our Minds,2017-11-29 22:43:00
Genesis,Back In N.Y.C.,2017-11-29 22:38:00
L.T.D.,Back In Love Again,2017-11-29 22:32:00
Bob Seger,Back In '72,2017-11-29 22:28:00
New York Dolls,Babylon,2017-11-29 22:24:00
Tom Petty & The Heartbreakers,Baby's A Rock N' Roller,2017-11-29 22:22:00
The Heptones,"Baby, I Need Your Loving",2017-11-29 22:16:00
Bob Dylan,Baby Stop Crying,2017-11-29 22:11:00
Todd Rundgren,Baby Let's Swing/The Last Thing You Said/Don't Tie My Hands,2017-11-29 22:04:00
Syd Barrett,Baby Lemonade,2017-11-29 22:00:00
Bread,Baby I'm A-Want You,2017-11-29 21:57:00
Dave Edmunds,Baby I Love You,2017-11-29 21:53:00
Eddie Money,Baby Hold On,2017-11-29 21:49:00
Wild Cherry,Baby Don't You Know,2017-11-29 21:43:00
Mac Davis,Baby Don't Get Hooked On Me,2017-11-29 21:40:00
Player,Baby Come Back,2017-11-29 21:37:00
T Rex,Baby Boomerang,2017-11-29 21:34:00
Badfinger,Baby Blue,2017-11-29 21:31:00
Styx,Babe,2017-11-29 21:25:00
The Who,Baba O'Riley,2017-11-29 21:20:00
Rachel Sweet,B.A.B.Y.,2017-11-29 21:16:00
Be Bop Deluxe,Axe Victim,2017-11-29 21:10:00
George Harrison,Awaiting On You All,2017-11-29 21:08:00
Andy Pratt,Avenging Annie,2017-11-29 21:00:00
Kraftwerk,Autobahn,2017-11-29 20:37:00
Hall & Oates,August Day,2017-11-29 20:32:00
Grateful Dead,Attics of My Life,2017-11-29 20:27:00
William Onyeabor,Atomic Bomb,2017-11-29 20:17:00
Janis Ian,At Seventeen,2017-11-29 20:13:00
Rufus,At Midnight (My Love Will Lift You Up),2017-11-29 20:06:00
Gang Of Four,At Home He's A Tourist,2017-11-29 20:03:00
The Modern Lovers,Astral Plane,2017-11-29 20:00:00
Dan Fogelberg,Aspen/These Days,2017-11-29 19:52:00
Patti Smith,Ask The Angels,2017-11-29 19:47:00
Stevie Wonder,As,2017-11-29 19:40:00
Talking Heads,Artists Only,2017-11-29 19:36:00
10cc,Art For Art's Sake,2017-11-29 19:30:00
Wings,Arrow Right Through Me,2017-11-29 19:25:00
Mark Lindsay,Arizona,2017-11-29 19:22:00
Waylon Jennings,Are You Sure Hank Done It This Way?,2017-11-29 19:20:00
XTC,Are You Receiving Me?,2017-11-29 19:17:00
Neil Young,Are You Ready For The Country?,2017-11-29 19:12:00
