Artist,Title,Album,Air Time
Joni Mitchell,Carey,Blue,2023-12-11 12:52:28
Big Mama Thornton,Hound Dog,"Blues Masters, Volume 5: Jump Blues Classics",2023-12-11 12:49:40
Phoebe Bridgers,Motion Sickness,Stranger In The Alps,2023-12-11 12:45:49
Emmylou Harris,Red Dirt Girl,Red Dirt Girl,2023-12-11 12:41:38
Courtney Barnett,Avant Gardener,The Double EP: A Sea of Spilt Peas,2023-12-11 12:34:50
Janis Joplin,Mercedes Benz,Pearl,2023-12-11 12:33:06
Ella Fitzgerald,Summertime,Pure Ella,2023-12-11 12:28:07
Brandi Carlile,Broken Horses,In These Silent Days,2023-12-11 12:23:12
Nancy Sinatra,These Boots Are Made For Walkin',Boots,2023-12-11 12:19:40
boygenius,Not Strong Enough,The Record,2023-12-11 12:15:05
Adele,Set Fire to the Rain,21,2023-12-11 12:11:09
Joni Mitchell,All I Want,Blue,2023-12-11 12:06:43
Brandi Carlile,You and Me on the Rock (feat. Lucius),In These Silent Days,2023-12-11 12:03:03
Sarah McLachlan,Possession,Fumbling Towards Ecstasy,2023-12-11 11:58:08
Adele,Chasing Pavements,19,2023-12-11 11:53:36
Ani DiFranco,32 Flavors,Not A Pretty Girl,2023-12-11 11:47:24
Judy Collins,Send In The Clowns,Judith,2023-12-11 11:43:34
Aimee Mann,Save Me,Magnolia (soundtrack),2023-12-11 11:37:51
k. d. lang,Constant Craving,Ingenue,2023-12-11 11:32:38
Robyn,Dancing On My Own,"Body Talk, Pt. 1",2023-12-11 11:28:02
Dar Williams,When I Was A Boy,The Honesty Room,2023-12-11 11:24:00
The Sundays,Here's Where The Story Ends,"Reading, Writing And Arithmetic",2023-12-11 11:18:21
The Carpenters,(They Long To Be) Close To You,The Singles 1969-1973,2023-12-11 11:13:00
Lady Gaga,Bad Romance,The Fame Monster,2023-12-11 11:09:47
Joni Mitchell,Woodstock,Ladies Of The Canyon,2023-12-11 11:02:05
Kirsty MacColl,In These Shoes?,Tropical Brainstorm,2023-12-11 10:58:00
Lulu,To Sir With Love,Love Loves To Love Lulu,2023-12-11 10:55:22
Bonnie Raitt,Thing Called Love,Nick Of Time,2023-12-11 10:51:26
Amy Winehouse,Tears Dry On Their Own,Back to Black,2023-12-11 10:47:05
Linda Ronstadt,Love Has No Pride,Don't Cry Now,2023-12-11 10:43:00
Madonna,Vogue,The Immaculate Collection,2023-12-11 10:37:47
