Artist,Title,Air Time
Mazzy Star,Rhymes Of An Hour,2020-12-14 17:26:00
Tom Petty & The Heartbreakers,Even The Losers,2020-12-14 17:22:00
Tom Rush,Child's Song,2020-12-14 17:18:00
Radiohead,Let Down,2020-12-14 17:11:00
Lynyrd Skynyrd,Simple Man,2020-12-14 17:06:00
Dave Matthews Band,#41,2020-12-14 16:59:00
The Flaming Lips,Do You Realize?,2020-12-14 16:55:00
Joan Baez,Diamonds And Rust,2020-12-14 16:49:00
Joni Mitchell,Carey,2020-12-14 16:46:00
Led Zeppelin,"Good Times, Bad Times",2020-12-14 16:42:00
The Byrds,Turn! Turn! Turn!,2020-12-14 16:38:00
Brothers Johnson,Strawberry Letter 23,2020-12-14 16:33:00
Led Zeppelin,Fool In The Rain,2020-12-14 16:26:00
Stevie Wonder,Higher Ground,2020-12-14 16:22:00
Arcade Fire,Sprawl II (Mountains Beyond Mountains),2020-12-14 16:17:00
The Beatles,Helter Skelter,2020-12-14 16:12:00
The Pretenders,Precious,2020-12-14 16:06:00
Sly & The Family Stone,Everyday People,2020-12-14 16:03:00
The Spinners,I'll Be Around,2020-12-14 16:00:00
The War On Drugs,Thinking Of A Place,2020-12-14 15:48:00
The Walker Brothers,The Sun Ain't Gonna Shine Anymore,2020-12-14 15:44:00
The Beatles,Lucy In The Sky With Diamonds,2020-12-14 15:41:00
Tom Waits,San Diego Serenade,2020-12-14 15:37:00
The Who,Who Are You,2020-12-14 15:30:00
Yes,Soon,2020-12-14 15:26:00
John Denver,"Take Me Home, Country Roads",2020-12-14 15:23:00
Talking Heads,Burning Down The House,2020-12-14 15:16:00
Marvin Gaye,Let's Get It On,2020-12-14 15:12:00
Roberta Flack,Killing Me Softly With His Song,2020-12-14 15:04:00
Bruce Springsteen,Glory Days,2020-12-14 15:00:00
Frank Zappa,Peaches En Regalia,2020-12-14 14:56:00
Grateful Dead,Franklin's Tower,2020-12-14 14:52:00
Indigo Girls,Galileo,2020-12-14 14:46:00
John Denver,Rocky Mountain High,2020-12-14 14:41:00
Stevie Wonder,For Once In My Life,2020-12-14 14:37:00
Tears For Fears,Head Over Heels,2020-12-14 14:32:00
The Impressions,People Get Ready,2020-12-14 14:30:00
Gerry Rafferty,Baker Street,2020-12-14 14:24:00
The Shins,New Slang,2020-12-14 14:19:00
Led Zeppelin,That's The Way,2020-12-14 14:13:00
Led Zeppelin,No Quarter,2020-12-14 14:04:00
The Doors,Roadhouse Blues,2020-12-14 14:00:00
Metallica,Enter Sandman,2020-12-14 13:54:00
Bob Dylan,"It's All Over Now, Baby Blue",2020-12-14 13:48:00
The Smiths,This Charming Man,2020-12-14 13:45:00
The Staple Singers,I'll Take You There,2020-12-14 13:41:00
A Tribe Called Quest,Scenario,2020-12-14 13:34:00
The Cure,A Forest,2020-12-14 13:29:00
Guns n Roses,Welcome To The Jungle,2020-12-14 13:25:00
Kate Bush,Cloudbusting,2020-12-14 13:20:00
Little Feat,Spanish Moon,2020-12-14 13:15:00
Paul Simon,Kodachrome,2020-12-14 13:11:00
The Rolling Stones,All Down The Line,2020-12-14 13:08:00
