Artist,Title,Album,Air Time
Aretha Franklin,Respect,I Never Loved A Man The Way I Love You,2023-12-12 17:50:44
Joni Mitchell,A Case Of You,Blue,2023-12-12 17:43:12
Dolly Parton,Jolene,Jolene,2023-12-12 17:40:31
Brandi Carlile,The Story,The Story,2023-12-12 17:34:02
Tracy Chapman,Fast Car,Tracy Chapman,2023-12-12 17:29:02
Etta James,At Last,At Last!,2023-12-12 17:26:04
Bonnie Raitt,Angel From Montgomery,Streetlights,2023-12-12 17:19:27
Joni Mitchell,"Both Sides, Now",Clouds,2023-12-12 17:14:49
Brandi Carlile,The Joke,"By The Way, I Forgive You",2023-12-12 17:10:15
Patsy Cline,Crazy,The Patsy Cline Story,2023-12-12 17:04:34
Fleetwood Mac,Landslide,Fleetwood Mac,2023-12-12 17:01:20
Sin ad O'Connor,Nothing Compares 2 U,I Do Not Want What I Haven't Got,2023-12-12 16:54:08
Big Brother & The Holding Company,Piece Of My Heart,Cheap Thrills,2023-12-12 16:49:54
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,Lady Soul,2023-12-12 16:47:16
Indigo Girls,Closer To Fine,Indigo Girls,2023-12-12 16:41:08
Whitney Houston,I Will Always Love You,The Bodyguard (soundtrack From The Motion Picture),2023-12-12 16:36:39
Carly Simon,You're So Vain,No Secrets,2023-12-12 16:32:21
Janis Joplin,Me and Bobby McGee,Pearl,2023-12-12 16:27:56
Billie Holiday,Strange Fruit,The Best Of Billie Holiday,2023-12-12 16:22:03
Joni Mitchell,River,Blue,2023-12-12 16:17:28
Bonnie Raitt,I Can't Make You Love Me,Luck Of The Draw,2023-12-12 16:12:03
Kate Bush,Running Up That Hill (A Deal with God),Hounds Of Love,2023-12-12 16:04:38
Carole King,Will You Love Me Tomorrow,Tapestry,2023-12-12 16:00:35
Jefferson Airplane,White Rabbit,Surrealistic Pillow,2023-12-12 15:57:34
Carole King,It's Too Late,Tapestry,2023-12-12 15:53:37
Adele,Rolling in the Deep,21,2023-12-12 15:49:50
Alanis Morissette,You Oughta Know,Jagged Little Pill,2023-12-12 15:44:46
Amy Winehouse,Back To Black,Back to Black,2023-12-12 15:40:49
Joni Mitchell,Coyote,Hejira,2023-12-12 15:35:55
Joan Baez,Diamonds and Rust,Diamonds and Rust,2023-12-12 15:30:00
Patti Smith,Because The Night,Easter,2023-12-12 15:26:35
Carole King,You've Got A Friend,Tapestry,2023-12-12 15:21:31
Gladys Knight & the Pips,Midnight Train To Georgia,Imagination,2023-12-12 15:15:33
Dolly Parton,I Will Always Love You,Jolene,2023-12-12 15:12:42
Ike & Tina Turner,Proud Mary,Workin' Together,2023-12-12 15:09:16
Joni Mitchell,Big Yellow Taxi,Ladies Of The Canyon,2023-12-12 15:07:03
Sin ad O'Connor,The Emperor's New Clothes,I Do Not Want What I Haven't Got,2023-12-12 15:00:35
Stevie Nicks,Edge Of Seventeen,Bella Donna,2023-12-12 14:54:42
Taylor Swift,All Too Well (10 minute version),Red (Taylor's Version),2023-12-12 14:43:49
Fairport Convention,Who Knows Where The Time Goes,Unhalfbricking,2023-12-12 14:38:43
The Pretenders,Brass In Pocket,Pretenders,2023-12-12 14:34:27
Tina Turner,What's Love Got To Do With It,Private Dancer,2023-12-12 14:30:46
Nina Simone,Feeling Good,I Put A Spell On You,2023-12-12 14:27:56
Patti Smith,Gloria,Horses,2023-12-12 14:22:08
Kate Bush,Wuthering Heights,The Kick Inside,2023-12-12 14:16:14
Carole King,I Feel The Earth Move,Tapestry,2023-12-12 14:12:34
Carole King,So Far Away,Tapestry,2023-12-12 14:08:47
Fleetwood Mac,Silver Springs,Rumours (Deluxe Version),2023-12-12 14:02:43
Dusty Springfield,Son Of A Preacher Man,Dusty in Memphis,2023-12-12 14:00:25
Linda Ronstadt,Blue Bayou,Simple Dreams,2023-12-12 13:56:06
The Cranberries,Zombie,No Need To Argue,2023-12-12 13:51:01
Heart,Crazy On You,Dreamboat Annie,2023-12-12 13:45:10
Carole King,(You Make Me Feel Like) A Natural Woman,Tapestry,2023-12-12 13:41:28
Blondie,Heart Of Glass,Parallel Lines,2023-12-12 13:35:52
Fleetwood Mac,Songbird,Rumours,2023-12-12 13:30:46
Cyndi Lauper,Time After Time,She's So Unusual,2023-12-12 13:26:46
Joan Armatrading,Love And Affection,Joan Armatrading,2023-12-12 13:23:30
Mark Ronson feat. Amy Winehouse,Valerie,Version,2023-12-12 13:17:19
The Cranberries,Linger,"Everybody Else Is Doing It, So Why Can't We?",2023-12-12 13:12:50
Judy Garland,Somewhere Over The Rainbow,Wizard Of Oz,2023-12-12 13:09:59
Mazzy Star,Fade Into You,So Tonight That I Might See,2023-12-12 13:05:17
Ike & Tina Turner,River Deep Mountain High,Back to Mono,2023-12-12 13:00:17
Heart,Barracuda,Little Queen,2023-12-12 12:55:24
Tori Amos,Silent All These Years,Little Earthquakes,2023-12-12 12:49:51
Linda Ronstadt,Long Long Time,Silk Purse,2023-12-12 12:45:26
Gloria Gaynor,I Will Survive,20th Century Masters - The Millennium Collection,2023-12-12 12:42:14
Fleetwood Mac,Dreams,Rumours,2023-12-12 12:36:21
Fleetwood Mac,Rhiannon,Fleetwood Mac,2023-12-12 12:32:15
Annie Lennox,Why,Diva,2023-12-12 12:27:25
Joni Mitchell,Blue,Blue,2023-12-12 12:23:22
Joni Mitchell,The Circle Game,Ladies Of The Canyon,2023-12-12 12:17:50
Bonnie Raitt,Something To Talk About,Luck Of The Draw,2023-12-12 12:14:17
Lesley Gore,You Don't Own Me,The Golden Hits Of Leslie Gore,2023-12-12 12:10:27
Nina Simone,Sinnerman,The Best Of Nina Simone,2023-12-12 12:00:14
Amy Winehouse,Rehab,Back to Black,2023-12-12 11:56:13
Lucinda Williams,Car Wheels On A Gravel Road,Car Wheels On A Gravel Road,2023-12-12 11:50:24
